Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=W,CPU1 temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU13 usage=%,CPU14 usage=%,CPU15 usage=%,CPU16 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU13 clock=MHz,CPU14 clock=MHz,CPU15 clock=MHz,CPU16 clock=MHz,CPU clock=MHz,RAM usage=MB,Framerate=FPS,Frametime=ms
0,50,6,4000.129,65,167,5,61.875,12.5,3.125002,12.5,4.687502,20.3125,9.375002,21.875,2.235174E-06,21.875,2.235174E-06,14.0625,2.235174E-06,17.1875,2.235174E-06,1.562502,12.5,9.472657,2087.5,2087.5,4175,4175,4175,4175,2087.5,2087.5,2087.5,2087.5,4175,4175,2087.5,2087.5,2087.5,2087.5,4175,6504,0,0
1019,50,6,3998.16,68,167,4,62.25,10.9375,6.250002,20.3125,3.125002,18.75,14.0625,32.8125,3.125002,28.125,1.562502,26.5625,59.375,18.75,4.687502,6.250002,9.375002,16.50391,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,6836,0,0
2023,50,6,3998.66,70,167,5,62.25,23.4375,6.250002,7.812502,29.6875,25,2.235174E-06,10.9375,10.9375,21.875,1.562502,17.1875,12.5,18.75,10.9375,2.235174E-06,9.375002,12.89063,4125,4125,2062.5,2062.5,4125,4125,4125,4125,2062.5,2062.5,4125,4150,2075,2075,2075,2075,4150,6515,0,0
3030,49,6,3813.047,45,167,4,61.25,10.58439,6.037829,15.13094,4.522311,13.61542,7.553349,13.61542,3.006792,7.553349,34.83269,10.58439,4.522311,12.09991,1.491273,3.006792,30.28613,11.15271,2050,2050,2050,2050,4100,4100,2050,2050,2050,2050,4100,4100,4100,4100,2050,2050,4100,6582,0,0
4152,50,0,3820.875,941,945,69,69.25,23.78049,20.60468,28.54421,9.489331,14.25305,14.25305,31.72002,20.60468,57.12653,9.489331,26.9563,28.54421,22.19258,9.489331,14.25305,42.83537,23.38351,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,4000,4000,4000,4000,4000,4000,6486,3.8,12093.91
5160,54,99,3820.344,1441,945,240,67.75,31.78934,14.3401,27.03046,12.75381,17.51269,23.85787,30.20305,9.581221,20.68528,14.3401,19.09899,22.27158,31.78934,7.994926,9.581221,33.37564,20.38785,2200,2200,2200,2200,2200,2200,2200,2200,2000,2000,2000,2000,4000,4000,2000,2000,4000,6486,152.5,90.43
6164,56,99,3820.406,1567,945,239,66.75,34.375,14.0625,28.125,28.125,46.875,4.687502,15.625,39.0625,25,20.3125,18.75,4.687502,20.3125,10.9375,17.1875,51.5625,23.73047,4050,4050,2700,2700,4050,4050,4050,4050,4050,4050,4050,4050,4050,4050,4050,4050,4050,6813,195.2,5.655
7169,57,99,3820.406,1577,945,241,65.625,43.75,9.375002,35.9375,21.875,34.375,7.812502,29.6875,10.9375,32.8125,12.5,31.25,4.687502,32.8125,4.687502,25,48.4375,24.12109,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,6473,191.4,7.461
8175,57,99,3827.406,1554,945,235,65,34.375,17.1875,35.9375,17.1875,23.4375,51.5625,32.8125,4.687502,31.25,6.250002,21.875,4.687502,26.5625,3.125002,18.75,56.25,24.12109,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,6786,200.9,45.737
9180,56,99,3903.918,1421,945,219,65,45.3125,26.5625,31.25,6.250002,32.8125,6.250002,23.4375,14.0625,43.75,7.812502,23.4375,1.562502,25,4.687502,14.0625,46.875,22.07031,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,6451,155.8,207.624
