Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=W,CPU1 temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU13 usage=%,CPU14 usage=%,CPU15 usage=%,CPU16 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU13 clock=MHz,CPU14 clock=MHz,CPU15 clock=MHz,CPU16 clock=MHz,CPU clock=MHz,RAM usage=MB,Framerate=FPS,Frametime=ms
0,55,31,4192.25,163,167,17,67,15.625,17.1875,21.875,2.235174E-06,18.75,4.687502,17.1875,0.06345401,6.408631,0.06345401,25.44416,0.06345401,12.75381,0.06345401,6.408631,9.581221,9.760175,3975,3975,3975,3975,1987.5,1987.5,3975,3975,1987.5,1987.5,3975,3975,1987.5,1987.5,1987.5,1987.5,3975,6873,0,0
1006,54,27,4190.047,162,167,16,65.875,12.5,14.0625,26.5625,1.562502,14.0625,1.562502,20.3125,3.125002,17.1875,3.125002,23.4375,2.235174E-06,17.1875,7.812502,10.9375,17.1875,11.91406,3075,3050,3050,3050,2033.333,2033.333,2033.333,2033.333,2033.333,2033.333,3050,3050,3050,3050,2033.333,2033.333,3075,6740,0,0
2280,54,27,4050.555,472,800,19,64.375,14.67577,10.6762,17.34215,4.010241,13.34258,8.009814,10.6762,13.34258,9.343005,6.676623,20.00853,6.676623,13.34258,1.343859,9.343005,41.33959,12.50933,2200,2200,2200,2200,2200,2200,2200,2200,2125,2125,2125,2125,2125,2125,4250,4150,4250,6689,0.8,6997.877
3290,55,0,3957.461,997,945,122,63.75,30.17814,11.30737,37.72645,16.9686,30.17814,22.62983,37.72645,30.17814,28.29107,13.19445,29.56702,22.15303,25.86003,18.44603,20.29953,31.42052,25.3828,3925,3925,3925,3925,3925,3925,3925,4150,2200,2200,2200,2200,2200,2200,2200,2200,4150,6667,49.8,168.78
4296,59,99,3957.461,1505,945,240,63.625,34.375,10.9375,37.5,3.125002,26.5625,7.812502,29.6875,9.375002,31.25,7.812502,30.20305,14.3401,25.44416,4.822337,19.09899,42.8934,20.95247,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,6670,195.8,6.5
5303,60,99,3957.461,1566,945,239,63.375,28.125,9.375002,23.4375,4.687502,26.5625,9.375002,28.125,3.125002,18.75,4.687502,23.4375,3.125002,26.5625,7.812502,18.75,46.875,17.67578,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,6670,196.8,5.594
6308,61,99,3943.164,1568,945,240,63.125,57.8125,9.375002,31.25,4.687502,34.375,1.562502,31.25,6.250002,16.87192,7.63547,26.10838,4.556653,23.02956,7.63547,13.79311,39.96305,19.75975,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,6650,191.6,7.261
7315,61,100,3950.172,1535,945,240,63,43.75,7.812502,46.875,7.812502,40.625,12.5,28.125,7.812502,28.61675,3.236043,25.44416,4.822337,25.44416,3.236043,20.68528,49.23858,22.25224,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,6609,196.7,34.124
8321,58,99,4013.594,1233,800,43,62.875,40.625,12.5,34.375,4.687502,20.3125,3.017244,39.96305,1.477835,12.2537,4.556653,19.95074,12.2537,16.87192,0,12.2537,26.10838,16.32543,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,6570,131.5,225.87
9327,61,93,4047.578,1541,945,237,63.75,46.875,25,46.875,20.3125,39.0625,25.44416,38.13452,20.68528,38.13452,15.9264,30.20305,15.9264,38.13452,14.3401,41.30711,60.34264,32.29398,4075,4075,4075,4075,2716.667,2716.667,4075,4075,2716.667,2716.667,4075,4075,4075,4075,4075,4075,4075,6603,161.3,8.465
