Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=W,CPU1 temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU13 usage=%,CPU14 usage=%,CPU15 usage=%,CPU16 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU13 clock=MHz,CPU14 clock=MHz,CPU15 clock=MHz,CPU16 clock=MHz,CPU clock=MHz,RAM usage=MB,Framerate=FPS,Frametime=ms
0,72,99,3851.91,1512,945,239,67.875,20.3125,3.125002,31.25,1.562502,14.0625,3.125002,17.1875,3.125002,9.375002,6.250002,9.375002,3.125002,9.375002,6.250002,1.562502,10.9375,9.375001,2037.5,2037.5,4075,4075,2037.5,2037.5,4075,4075,2037.5,2037.5,2050,2050,4100,4100,2050,2050,4100,4851,152.9,7.284
304,72,99,3851.91,1512,945,239,67.875,20.3125,3.125002,31.25,1.562502,14.0625,3.125002,17.1875,3.125002,9.375002,6.250002,9.375002,3.125002,9.375002,6.250002,1.562502,10.9375,9.375001,2037.5,2037.5,4075,4075,2037.5,2037.5,4075,4075,2037.5,2037.5,2050,2050,4100,4100,2050,2050,4100,4851,152.9,7.284
610,72,99,3851.91,1512,945,239,67.875,20.3125,3.125002,31.25,1.562502,14.0625,3.125002,17.1875,3.125002,9.375002,6.250002,9.375002,3.125002,9.375002,6.250002,1.562502,10.9375,9.375001,2037.5,2037.5,4075,4075,2037.5,2037.5,4075,4075,2037.5,2037.5,2050,2050,4100,4100,2050,2050,4100,4851,152.9,7.284
917,72,99,3851.91,1512,945,239,67.875,20.3125,3.125002,31.25,1.562502,14.0625,3.125002,17.1875,3.125002,9.375002,6.250002,9.375002,3.125002,9.375002,6.250002,1.562502,10.9375,9.375001,2037.5,2037.5,4075,4075,2037.5,2037.5,4075,4075,2037.5,2037.5,2050,2050,4100,4100,2050,2050,4100,4851,152.9,7.284
1222,72,99,3856.277,1513,945,238,66.5,9.375002,2.235174E-06,21.875,1.562502,7.812502,1.562502,9.375002,9.375002,10.9375,6.250002,12.5,1.562502,14.0625,9.375002,7.812502,14.0625,8.593751,2050,2050,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,2050,2050,4100,4851,152.5,7.247
1620,72,99,3856.277,1513,945,238,66.5,9.375002,2.235174E-06,21.875,1.562502,7.812502,1.562502,9.375002,9.375002,10.9375,6.250002,12.5,1.562502,14.0625,9.375002,7.812502,14.0625,8.593751,2050,2050,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,2050,2050,4100,4851,152.5,7.247
1925,72,99,3856.277,1513,945,238,66.5,9.375002,2.235174E-06,21.875,1.562502,7.812502,1.562502,9.375002,9.375002,10.9375,6.250002,12.5,1.562502,14.0625,9.375002,7.812502,14.0625,8.593751,2050,2050,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,2050,2050,4100,4851,152.5,7.247
2267,67,99,3577.465,1119,800,19,65.5,9.068868,6.037829,25.73957,0,12.09991,1.491273,7.553349,28.77061,12.09991,4.522311,3.006792,3.006792,1.491273,7.553349,3.006792,7.553349,8.312622,3850,3850,3850,3850,3850,3850,2200,2200,2200,2200,3850,3850,3850,3850,2200,2200,3850,4826,62.7,386.517
2572,67,99,3577.465,1119,800,19,65.5,9.068868,6.037829,25.73957,0,12.09991,1.491273,7.553349,28.77061,12.09991,4.522311,3.006792,3.006792,1.491273,7.553349,3.006792,7.553349,8.312622,3850,3850,3850,3850,3850,3850,2200,2200,2200,2200,3850,3850,3850,3850,2200,2200,3850,4826,62.7,386.517
2880,67,99,3577.465,1119,800,19,65.5,9.068868,6.037829,25.73957,0,12.09991,1.491273,7.553349,28.77061,12.09991,4.522311,3.006792,3.006792,1.491273,7.553349,3.006792,7.553349,8.312622,3850,3850,3850,3850,3850,3850,2200,2200,2200,2200,3850,3850,3850,3850,2200,2200,3850,4826,62.7,386.517
