Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=W,CPU1 temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU13 usage=%,CPU14 usage=%,CPU15 usage=%,CPU16 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU13 clock=MHz,CPU14 clock=MHz,CPU15 clock=MHz,CPU16 clock=MHz,CPU clock=MHz,RAM usage=MB,Framerate=FPS,Frametime=ms
0,54,6,4534.082,50,167,7,67.375,12.5,1.562502,17.1875,3.125002,12.5,4.687502,15.625,3.125002,20.3125,9.375002,18.75,3.125002,9.375002,14.0625,7.812502,10.9375,10.25391,3400,3400,3400,3400,1942.857,1942.857,1942.857,1942.857,1942.857,1942.857,1942.857,1942.857,3400,3400,3400,3400,3400,6961,0,0
305,54,6,4534.082,50,167,7,67.375,12.5,1.562502,17.1875,3.125002,12.5,4.687502,15.625,3.125002,20.3125,9.375002,18.75,3.125002,9.375002,14.0625,7.812502,10.9375,10.25391,3400,3400,3400,3400,1942.857,1942.857,1942.857,1942.857,1942.857,1942.857,1942.857,1942.857,3400,3400,3400,3400,3400,6961,0,0
611,53,7,4531.012,38,167,7,66.125,14.0625,1.562502,25,2.235174E-06,29.6875,2.235174E-06,21.875,3.125002,17.1875,6.250002,10.9375,1.562502,14.0625,14.0625,6.250002,21.875,11.71875,1950,1950,1950,1950,3900,3900,3900,3900,1950,1950,3900,3900,3900,3900,1950,1950,3900,6931,0,0
915,53,7,4531.012,38,167,7,66.125,14.0625,1.562502,25,2.235174E-06,29.6875,2.235174E-06,21.875,3.125002,17.1875,6.250002,10.9375,1.562502,14.0625,14.0625,6.250002,21.875,11.71875,1950,1950,1950,1950,3900,3900,3900,3900,1950,1950,3900,3900,3900,3900,1950,1950,3900,6931,0,0
1222,53,7,4531.012,38,167,7,66.125,14.0625,1.562502,25,2.235174E-06,29.6875,2.235174E-06,21.875,3.125002,17.1875,6.250002,10.9375,1.562502,14.0625,14.0625,6.250002,21.875,11.71875,1950,1950,1950,1950,3900,3900,3900,3900,1950,1950,3900,3900,3900,3900,1950,1950,3900,6931,0,0
1526,53,7,4531.012,38,167,7,66.125,14.0625,1.562502,25,2.235174E-06,29.6875,2.235174E-06,21.875,3.125002,17.1875,6.250002,10.9375,1.562502,14.0625,14.0625,6.250002,21.875,11.71875,1950,1950,1950,1950,3900,3900,3900,3900,1950,1950,3900,3900,3900,3900,1950,1950,3900,6931,0,0
1833,53,0,4533.012,49,167,8,65.125,20.3125,7.812502,21.875,2.235174E-06,9.375002,2.235174E-06,15.625,2.235174E-06,12.5,3.125002,20.3125,2.235174E-06,7.812502,17.1875,1.562502,12.5,9.375002,2062.5,2062.5,4125,4125,2062.5,2062.5,4125,4125,2062.5,2062.5,4125,4125,4125,4125,2062.5,2062.5,4125,6942,0,0
2201,53,0,4533.012,49,167,8,65.125,20.3125,7.812502,21.875,2.235174E-06,9.375002,2.235174E-06,15.625,2.235174E-06,12.5,3.125002,20.3125,2.235174E-06,7.812502,17.1875,1.562502,12.5,9.375002,2062.5,2062.5,4125,4125,2062.5,2062.5,4125,4125,2062.5,2062.5,4125,4125,4125,4125,2062.5,2062.5,4125,6942,0,0
2507,53,0,4533.012,49,167,8,65.125,20.3125,7.812502,21.875,2.235174E-06,9.375002,2.235174E-06,15.625,2.235174E-06,12.5,3.125002,20.3125,2.235174E-06,7.812502,17.1875,1.562502,12.5,9.375002,2062.5,2062.5,4125,4125,2062.5,2062.5,4125,4125,2062.5,2062.5,4125,4125,4125,4125,2062.5,2062.5,4125,6942,0,0
2811,56,11,4370.301,903,945,240,63.875,23.4375,4.687502,20.3125,6.250002,20.3125,2.235174E-06,21.875,1.562502,18.75,10.9375,21.875,1.562502,12.5,15.625,7.812502,39.0625,14.16016,2050,2050,2050,2050,2050,2050,4100,4100,4075,4075,4075,4075,4075,4075,2037.5,2037.5,4100,6923,7.3,6241.399
