Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=W,CPU1 temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU13 usage=%,CPU14 usage=%,CPU15 usage=%,CPU16 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU13 clock=MHz,CPU14 clock=MHz,CPU15 clock=MHz,CPU16 clock=MHz,CPU clock=MHz,RAM usage=MB,Framerate=FPS,Frametime=ms
0,49,5,3902.469,43,167,7,61.125,1.562502,1.562502,3.125002,3.125002,1.562502,1.562502,3.125002,1.562502,2.235174E-06,3.125002,1.562502,1.562502,9.375002,3.125002,1.562502,2.235174E-06,2.343752,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,6433,0,0
305,49,5,3902.469,43,167,7,61.125,1.562502,1.562502,3.125002,3.125002,1.562502,1.562502,3.125002,1.562502,2.235174E-06,3.125002,1.562502,1.562502,9.375002,3.125002,1.562502,2.235174E-06,2.343752,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,6433,0,0
611,49,5,3902.469,43,167,7,61.125,1.562502,1.562502,3.125002,3.125002,1.562502,1.562502,3.125002,1.562502,2.235174E-06,3.125002,1.562502,1.562502,9.375002,3.125002,1.562502,2.235174E-06,2.343752,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,6433,0,0
918,49,5,3902.469,43,167,7,61.125,1.562502,1.562502,3.125002,3.125002,1.562502,1.562502,3.125002,1.562502,2.235174E-06,3.125002,1.562502,1.562502,9.375002,3.125002,1.562502,2.235174E-06,2.343752,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,6433,0,0
1223,49,0,3896.32,180,800,12,59.625,3.125002,1.562502,6.250002,2.235174E-06,7.812502,1.562502,0,3.125002,3.125002,4.687502,7.812502,2.235174E-06,6.250002,7.812502,4.687502,3.125002,3.808595,2100,2100,4200,4200,4200,4200,2100,2100,4200,4200,2100,2100,2100,2100,4200,4200,4200,6430,0,0
1528,49,0,3896.32,180,800,12,59.625,3.125002,1.562502,6.250002,2.235174E-06,7.812502,1.562502,0,3.125002,3.125002,4.687502,7.812502,2.235174E-06,6.250002,7.812502,4.687502,3.125002,3.808595,2100,2100,4200,4200,4200,4200,2100,2100,4200,4200,2100,2100,2100,2100,4200,4200,4200,6430,0,0
1835,49,0,3896.32,180,800,12,59.625,3.125002,1.562502,6.250002,2.235174E-06,7.812502,1.562502,0,3.125002,3.125002,4.687502,7.812502,2.235174E-06,6.250002,7.812502,4.687502,3.125002,3.808595,2100,2100,4200,4200,4200,4200,2100,2100,4200,4200,2100,2100,2100,2100,4200,4200,4200,6430,0,0
2142,52,0,3896.32,1113,945,117,58.25,9.375002,3.125002,18.75,1.562502,4.687502,2.235174E-06,1.562502,3.125002,15.625,1.562502,3.125002,1.562502,6.250002,1.562502,2.235174E-06,25,6.054689,4125,4125,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,4125,4125,4125,6434,0.9,62483.64
2450,52,0,3896.32,1113,945,117,58.25,9.375002,3.125002,18.75,1.562502,4.687502,2.235174E-06,1.562502,3.125002,15.625,1.562502,3.125002,1.562502,6.250002,1.562502,2.235174E-06,25,6.054689,4125,4125,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,4125,4125,4125,6434,0.9,62483.64
2759,52,0,3896.32,1113,945,117,58.25,9.375002,3.125002,18.75,1.562502,4.687502,2.235174E-06,1.562502,3.125002,15.625,1.562502,3.125002,1.562502,6.250002,1.562502,2.235174E-06,25,6.054689,4125,4125,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,4125,4125,4125,6434,0.9,62483.64
