Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=W,CPU1 temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU13 usage=%,CPU14 usage=%,CPU15 usage=%,CPU16 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU13 clock=MHz,CPU14 clock=MHz,CPU15 clock=MHz,CPU16 clock=MHz,CPU clock=MHz,RAM usage=MB,Framerate=FPS,Frametime=ms
1,46,13,4390.945,49,167,4,65.125,14.0625,7.812502,34.375,4.687502,23.4375,2.235174E-06,17.1875,4.687502,26.5625,3.125002,15.625,2.235174E-06,9.375002,9.375002,6.250002,12.5,11.81641,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,2050,2050,2050,4125,2062.5,2062.5,4125,4998,0,0
1006,45,6,4389.477,39,167,4,63.875,23.4375,6.250002,21.875,9.375002,23.4375,1.562502,12.5,4.687502,20.3125,2.235174E-06,20.3125,4.687502,23.4375,1.562502,1.562502,64.0625,14.94141,2087.5,2087.5,2087.5,2087.5,4175,4175,4175,4175,4175,4175,2087.5,2087.5,2087.5,2087.5,4175,4175,4175,5330,0,0
2012,45,5,4389.977,34,167,3,63.125,20.3125,3.125002,34.375,4.687502,18.75,3.125002,20.3125,4.687502,14.0625,3.125002,12.5,2.235174E-06,14.0625,2.235174E-06,3.125002,42.1875,12.40234,2062.5,2062.5,2062.5,2062.5,4125,4125,2062.5,2062.5,4125,4125,2062.5,2062.5,4125,4125,4125,4150,4150,5004,0,0
3017,45,0,4356.777,357,800,12,61.625,10.9375,1.562502,23.4375,3.125002,12.5,4.687502,12.5,9.375002,9.375002,9.375002,25,7.812502,25,3.125002,4.687502,18.75,11.32813,2087.5,2087.5,4175,4175,2087.5,2087.5,2087.5,2087.5,2087.5,2087.5,2087.5,2087.5,4175,4175,4175,4175,4175,5325,0,0
4024,50,0,4360.805,1295,945,153,61.5,18.75,2.235174E-06,3.125002,7.812502,7.812502,1.562502,7.812502,39.0625,3.125002,1.562502,4.687502,3.125002,7.812502,7.812502,2.235174E-06,25,8.691407,4150,4150,2075,2075,4150,4150,2075,2075,2075,2075,2075,2075,2075,2075,4150,4050,4150,5006,7.5,7228.721
5028,52,99,4368.57,1439,800,115,60,15.625,3.125002,35.9375,4.687502,12.5,6.250002,10.9375,4.687502,10.9375,1.562502,10.9375,2.235174E-06,21.875,3.125002,9.375002,18.75,10.64453,3975,3975,1987.5,1987.5,1987.5,1987.5,3975,3975,3975,3975,1987.5,1987.5,3975,3975,3975,3975,3975,5097,77,13.323
6036,53,0,4786.617,1472,945,240,60.5,23.4375,9.375002,45.3125,20.3125,57.8125,31.25,17.1875,7.812502,23.4375,6.250002,15.625,6.250002,32.8125,12.5,9.375002,51.5625,23.14453,2075,2075,4125,4125,4125,4125,2062.5,2062.5,2200,2200,2200,2200,2200,2200,2200,2200,4125,5062,46.8,192.273
7043,54,99,4806.809,1532,945,241,60.375,29.6875,15.625,20.3125,7.812502,15.625,9.375002,15.625,21.875,17.1875,6.250002,10.9375,12.5,17.1875,3.125002,6.250002,54.6875,16.50391,4225,4225,2112.5,2112.5,2112.5,2112.5,4225,4225,2112.5,2112.5,4225,4225,2112.5,2112.5,4225,4225,4225,5114,44.1,23.365
8049,55,100,4810.316,1537,945,239,61.125,20.3125,20.3125,35.9375,29.6875,34.375,12.5,20.3125,3.125002,18.75,10.9375,34.375,7.812502,31.25,3.125002,9.375002,60.9375,22.07031,4075,4075,4075,4075,4150,4150,2075,2075,2075,2075,2075,2075,4100,4100,4100,4125,4150,5493,42.5,24.098
9056,55,99,4828.887,1531,945,239,61.25,28.125,28.125,26.5625,4.687502,15.625,4.687502,21.875,7.812502,25,9.375002,12.5,3.125002,23.4375,25,15.625,42.1875,18.35938,4150,4150,4100,4100,2050,2050,2050,2050,2050,2050,2050,2050,4100,4150,2075,2075,4150,5278,41.6,24.144
10064,56,99,4898.723,1537,945,239,61.375,46.875,23.4375,56.25,14.0625,29.6875,20.3125,31.25,21.875,31.25,35.9375,31.25,28.125,23.4375,12.5,20.3125,39.0625,29.10156,4175,4175,2087.5,2087.5,2087.5,2087.5,2087.5,2087.5,2087.5,2087.5,2087.5,2087.5,2087.5,2087.5,4175,4175,4175,5737,41.5,25.472
11069,55,99,5008.688,1404,945,238,61.75,28.125,32.8125,40.625,7.812502,20.3125,6.250002,23.4375,18.75,26.5625,4.687502,43.75,6.250002,57.8125,4.687502,7.812502,54.6875,24.02344,2112.5,2112.5,4225,4225,2112.5,2112.5,2112.5,2112.5,2112.5,2112.5,4175,4175,4125,4125,4125,4125,4225,5534,26.6,165.762
12076,56,99,5141.766,1529,945,240,61.75,42.1875,15.625,42.1875,26.5625,29.6875,18.75,28.125,14.0625,25,18.75,25,9.375002,21.875,12.5,12.5,65.625,25.48828,4150,4150,2075,2075,2062.5,2062.5,2062.5,2062.5,4125,4125,2062.5,2062.5,2062.5,2062.5,4125,4125,4150,5917,40.4,30.471
13085,55,99,5891.508,1428,945,146,62.5,37.5,28.125,37.5,32.8125,42.1875,18.75,21.875,37.5,39.0625,18.75,29.6875,15.625,21.875,6.250002,17.1875,60.9375,29.10156,4000,4000,4000,4000,4000,4000,4000,4000,4000,3975,3975,3975,3975,3975,3975,4000,4000,5753,37.5,90.081
14093,57,99,5914.125,1531,945,240,62.25,37.5,14.0625,51.5625,17.1875,37.5,17.1875,20.3125,26.5625,28.125,15.625,26.5625,18.75,26.5625,12.5,17.1875,70.3125,27.34375,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,5877,40.4,27.503
