Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=W,CPU1 temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU13 usage=%,CPU14 usage=%,CPU15 usage=%,CPU16 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU13 clock=MHz,CPU14 clock=MHz,CPU15 clock=MHz,CPU16 clock=MHz,CPU clock=MHz,RAM usage=MB,Framerate=FPS,Frametime=ms
0,45,0,5682.688,61,167,7,60.625,18.75,1.562502,20.3125,34.375,20.3125,4.687502,10.9375,3.125002,18.75,26.5625,20.3125,9.375002,12.5,25,12.5,3.125002,15.13672,2075,2075,4150,4150,4150,4150,2075,2075,4150,4050,2025,2025,4050,4025,2012.5,2012.5,4150,7126,0,0
304,45,0,5682.688,61,167,7,60.625,18.75,1.562502,20.3125,34.375,20.3125,4.687502,10.9375,3.125002,18.75,26.5625,20.3125,9.375002,12.5,25,12.5,3.125002,15.13672,2075,2075,4150,4150,4150,4150,2075,2075,4150,4050,2025,2025,4050,4025,2012.5,2012.5,4150,7126,0,0
610,45,5,5675.094,42,167,6,60.375,23.4375,15.625,12.5,42.1875,7.812502,1.562502,3.125002,4.687502,4.687502,9.375002,4.687502,4.687502,15.625,15.625,3.125002,18.75,11.71875,3925,3925,3925,3925,1962.5,1962.5,1962.5,1962.5,1962.5,1962.5,1962.5,1962.5,3925,3925,1962.5,1962.5,3925,7117,0,0
917,45,5,5675.094,42,167,6,60.375,23.4375,15.625,12.5,42.1875,7.812502,1.562502,3.125002,4.687502,4.687502,9.375002,4.687502,4.687502,15.625,15.625,3.125002,18.75,11.71875,3925,3925,3925,3925,1962.5,1962.5,1962.5,1962.5,1962.5,1962.5,1962.5,1962.5,3925,3925,1962.5,1962.5,3925,7117,0,0
1224,45,5,5675.094,42,167,6,60.375,23.4375,15.625,12.5,42.1875,7.812502,1.562502,3.125002,4.687502,4.687502,9.375002,4.687502,4.687502,15.625,15.625,3.125002,18.75,11.71875,3925,3925,3925,3925,1962.5,1962.5,1962.5,1962.5,1962.5,1962.5,1962.5,1962.5,3925,3925,1962.5,1962.5,3925,7117,0,0
1530,44,0,5675.391,254,800,13,60.5,13.87795,21.56742,43.09793,1.574805,6.188487,0.03691169,7.72638,4.650593,21.56742,4.650593,7.72638,0.03691169,3.112699,13.87795,4.650593,9.264274,10.22546,4000,4000,4000,4000,2000,2000,2000,2000,2000,2000,2000,2000,4000,4000,2000,2000,4000,7116,0,0
1835,44,0,5675.391,254,800,13,60.5,13.87795,21.56742,43.09793,1.574805,6.188487,0.03691169,7.72638,4.650593,21.56742,4.650593,7.72638,0.03691169,3.112699,13.87795,4.650593,9.264274,10.22546,4000,4000,4000,4000,2000,2000,2000,2000,2000,2000,2000,2000,4000,4000,2000,2000,4000,7116,0,0
2144,44,0,5675.391,254,800,13,60.5,13.87795,21.56742,43.09793,1.574805,6.188487,0.03691169,7.72638,4.650593,21.56742,4.650593,7.72638,0.03691169,3.112699,13.87795,4.650593,9.264274,10.22546,4000,4000,4000,4000,2000,2000,2000,2000,2000,2000,2000,2000,4000,4000,2000,2000,4000,7116,0,0
2450,44,0,5675.391,254,800,13,60.5,13.87795,21.56742,43.09793,1.574805,6.188487,0.03691169,7.72638,4.650593,21.56742,4.650593,7.72638,0.03691169,3.112699,13.87795,4.650593,9.264274,10.22546,4000,4000,4000,4000,2000,2000,2000,2000,2000,2000,2000,2000,4000,4000,2000,2000,4000,7116,0,0
2755,50,0,5676.094,1315,945,240,59,17.42886,1.549799,17.42886,4.725612,15.84096,6.313519,14.25305,9.489331,9.489331,11.07724,15.84096,3.137705,12.66514,23.78049,7.901425,22.19258,12.06968,4150,4150,2075,2075,4150,4150,2075,2075,4150,4150,2075,2075,2075,2075,4150,4150,4150,7110,2.2,27631.7
3063,50,0,5676.094,1315,945,240,59,17.42886,1.549799,17.42886,4.725612,15.84096,6.313519,14.25305,9.489331,9.489331,11.07724,15.84096,3.137705,12.66514,23.78049,7.901425,22.19258,12.06968,4150,4150,2075,2075,4150,4150,2075,2075,4150,4150,2075,2075,2075,2075,4150,4150,4150,7110,2.2,27631.7
3370,50,0,5676.094,1315,945,240,59,17.42886,1.549799,17.42886,4.725612,15.84096,6.313519,14.25305,9.489331,9.489331,11.07724,15.84096,3.137705,12.66514,23.78049,7.901425,22.19258,12.06968,4150,4150,2075,2075,4150,4150,2075,2075,4150,4150,2075,2075,2075,2075,4150,4150,4150,7110,2.2,27631.7
3679,52,99,5676.094,1479,945,239,57.375,21.875,1.562502,10.9375,1.562502,7.812502,1.562502,12.5,2.235174E-06,10.9375,0,14.0625,0,7.812502,18.75,3.125002,26.5625,8.691408,3925,3925,3925,3925,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,3900,3900,3925,7094,68.7,15.376
3985,52,99,5676.094,1479,945,239,57.375,21.875,1.562502,10.9375,1.562502,7.812502,1.562502,12.5,2.235174E-06,10.9375,0,14.0625,0,7.812502,18.75,3.125002,26.5625,8.691408,3925,3925,3925,3925,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,3900,3900,3925,7094,68.7,15.376
