Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=W,CPU1 temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU13 usage=%,CPU14 usage=%,CPU15 usage=%,CPU16 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU13 clock=MHz,CPU14 clock=MHz,CPU15 clock=MHz,CPU16 clock=MHz,CPU clock=MHz,RAM usage=MB,Framerate=FPS,Frametime=ms
0,48,2,4617.184,40,167,6,62.75,6.250002,1.562502,6.250002,2.235174E-06,1.562502,1.562502,1.562502,3.125002,3.125002,1.562502,3.125002,1.562502,6.250002,7.812502,1.562502,1.562502,3.027346,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,6440,0,0
304,48,2,4617.184,40,167,6,62.75,6.250002,1.562502,6.250002,2.235174E-06,1.562502,1.562502,1.562502,3.125002,3.125002,1.562502,3.125002,1.562502,6.250002,7.812502,1.562502,1.562502,3.027346,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,6440,0,0
608,48,0,4611.34,39,167,7,61.125,2.235174E-06,2.235174E-06,1.562502,1.562502,4.687502,0,2.235174E-06,3.125002,2.235174E-06,6.250002,4.687502,2.235174E-06,0,12.5,1.562502,4.687502,2.539064,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,6440,0,0
915,48,0,4611.34,39,167,7,61.125,2.235174E-06,2.235174E-06,1.562502,1.562502,4.687502,0,2.235174E-06,3.125002,2.235174E-06,6.250002,4.687502,2.235174E-06,0,12.5,1.562502,4.687502,2.539064,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,6440,0,0
1221,48,0,4611.34,39,167,7,61.125,2.235174E-06,2.235174E-06,1.562502,1.562502,4.687502,0,2.235174E-06,3.125002,2.235174E-06,6.250002,4.687502,2.235174E-06,0,12.5,1.562502,4.687502,2.539064,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,6440,0,0
1528,48,2,4611.762,223,800,23,59.75,7.812502,3.125002,6.250002,2.235174E-06,6.250002,1.562502,3.125002,2.235174E-06,6.250002,4.687502,1.562502,2.235174E-06,4.687502,3.125002,3.125002,3.125002,3.417971,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,6456,0,80510.66
1836,48,2,4611.762,223,800,23,59.75,7.812502,3.125002,6.250002,2.235174E-06,6.250002,1.562502,3.125002,2.235174E-06,6.250002,4.687502,1.562502,2.235174E-06,4.687502,3.125002,3.125002,3.125002,3.417971,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,6456,0,80510.66
2144,48,2,4611.762,223,800,23,59.75,7.812502,3.125002,6.250002,2.235174E-06,6.250002,1.562502,3.125002,2.235174E-06,6.250002,4.687502,1.562502,2.235174E-06,4.687502,3.125002,3.125002,3.125002,3.417971,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,6456,0,80510.66
2453,54,54,4611.512,1311,945,240,58.125,10.9375,3.125002,12.5,2.235174E-06,9.375002,1.562502,4.687502,4.687502,18.75,2.235174E-06,9.375002,1.562502,7.812502,2.235174E-06,1.562502,21.875,6.738282,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,6455,43.8,34.67
3580,56,99,4611.512,1467,945,241,56.625,7.812502,2.235174E-06,10.9375,3.125002,3.125002,1.562502,7.812502,1.562502,21.875,1.562502,6.250002,1.562502,9.375002,3.125002,2.235174E-06,18.75,6.152346,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,6454,43.9,48.015
3888,56,99,4611.512,1467,945,241,56.625,7.812502,2.235174E-06,10.9375,3.125002,3.125002,1.562502,7.812502,1.562502,21.875,1.562502,6.250002,1.562502,9.375002,3.125002,2.235174E-06,18.75,6.152346,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,6454,43.9,48.015
4196,56,99,4611.512,1467,945,241,56.625,7.812502,2.235174E-06,10.9375,3.125002,3.125002,1.562502,7.812502,1.562502,21.875,1.562502,6.250002,1.562502,9.375002,3.125002,2.235174E-06,18.75,6.152346,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,6454,43.9,48.015
4506,53,99,4554.785,1253,800,31,55.125,4.687502,2.235174E-06,15.625,1.562502,4.687502,0,3.125002,1.562502,4.687502,3.125002,3.125002,3.125002,1.562502,4.687502,2.235174E-06,9.375002,3.808596,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,6453,52.9,27.871
4812,53,99,4554.785,1253,800,31,55.125,4.687502,2.235174E-06,15.625,1.562502,4.687502,0,3.125002,1.562502,4.687502,3.125002,3.125002,3.125002,1.562502,4.687502,2.235174E-06,9.375002,3.808596,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,6453,52.9,27.871
5117,53,99,4554.785,1253,800,31,55.125,4.687502,2.235174E-06,15.625,1.562502,4.687502,0,3.125002,1.562502,4.687502,3.125002,3.125002,3.125002,1.562502,4.687502,2.235174E-06,9.375002,3.808596,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,6453,52.9,27.871
5425,51,5,3548.063,1100,800,26,55.375,12.5,2.235174E-06,9.375002,43.75,34.375,6.250002,15.625,12.5,10.9375,12.5,7.812502,3.125002,14.0625,4.687502,4.687502,7.812502,12.5,4175,4175,4175,4175,2087.5,2087.5,4175,4175,2087.5,2087.5,4175,4175,4175,4175,2087.5,2087.5,4175,6334,60,30.24
5733,51,5,3548.063,1100,800,26,55.375,12.5,2.235174E-06,9.375002,43.75,34.375,6.250002,15.625,12.5,10.9375,12.5,7.812502,3.125002,14.0625,4.687502,4.687502,7.812502,12.5,4175,4175,4175,4175,2087.5,2087.5,4175,4175,2087.5,2087.5,4175,4175,4175,4175,2087.5,2087.5,4175,6334,60,30.24
6039,51,5,3548.063,1100,800,26,55.375,12.5,2.235174E-06,9.375002,43.75,34.375,6.250002,15.625,12.5,10.9375,12.5,7.812502,3.125002,14.0625,4.687502,4.687502,7.812502,12.5,4175,4175,4175,4175,2087.5,2087.5,4175,4175,2087.5,2087.5,4175,4175,4175,4175,2087.5,2087.5,4175,6334,60,30.24
6349,51,5,3548.063,1100,800,26,55.375,12.5,2.235174E-06,9.375002,43.75,34.375,6.250002,15.625,12.5,10.9375,12.5,7.812502,3.125002,14.0625,4.687502,4.687502,7.812502,12.5,4175,4175,4175,4175,2087.5,2087.5,4175,4175,2087.5,2087.5,4175,4175,4175,4175,2087.5,2087.5,4175,6334,60,30.24
6655,51,5,3919.383,1069,800,27,64.5,15.625,3.125002,7.812502,42.1875,10.9375,29.6875,57.8125,0,20.3125,3.125002,18.75,0,6.250002,3.125002,1.562502,25,15.33203,1987.5,1987.5,3975,3975,3975,3975,3975,3975,1987.5,1987.5,1987.5,1987.5,3975,3975,4000,4000,4000,6341,59.9,17.031
6963,51,5,3919.383,1069,800,27,64.5,15.625,3.125002,7.812502,42.1875,10.9375,29.6875,57.8125,0,20.3125,3.125002,18.75,0,6.250002,3.125002,1.562502,25,15.33203,1987.5,1987.5,3975,3975,3975,3975,3975,3975,1987.5,1987.5,1987.5,1987.5,3975,3975,4000,4000,4000,6341,59.9,17.031
7272,51,5,3919.383,1069,800,27,64.5,15.625,3.125002,7.812502,42.1875,10.9375,29.6875,57.8125,0,20.3125,3.125002,18.75,0,6.250002,3.125002,1.562502,25,15.33203,1987.5,1987.5,3975,3975,3975,3975,3975,3975,1987.5,1987.5,1987.5,1987.5,3975,3975,4000,4000,4000,6341,59.9,17.031
7578,50,5,4182.406,1075,800,25,63.125,15.625,1.562502,10.9375,32.8125,10.9375,32.8125,40.625,3.125002,15.625,1.562502,17.1875,2.235174E-06,10.9375,3.125002,6.250002,15.625,13.67188,2062.5,2062.5,4125,4100,4100,4100,4100,4100,2050,2050,2050,2050,2050,2050,4100,4100,4125,6348,59.9,16.946
7887,50,5,4182.406,1075,800,25,63.125,15.625,1.562502,10.9375,32.8125,10.9375,32.8125,40.625,3.125002,15.625,1.562502,17.1875,2.235174E-06,10.9375,3.125002,6.250002,15.625,13.67188,2062.5,2062.5,4125,4100,4100,4100,4100,4100,2050,2050,2050,2050,2050,2050,4100,4100,4125,6348,59.9,16.946
8197,50,5,4182.406,1075,800,25,63.125,15.625,1.562502,10.9375,32.8125,10.9375,32.8125,40.625,3.125002,15.625,1.562502,17.1875,2.235174E-06,10.9375,3.125002,6.250002,15.625,13.67188,2062.5,2062.5,4125,4100,4100,4100,4100,4100,2050,2050,2050,2050,2050,2050,4100,4100,4125,6348,59.9,16.946
8506,50,5,4531.805,1068,800,26,62.375,14.0625,3.125002,12.5,31.25,14.0625,35.9375,53.125,1.562502,17.1875,1.562502,17.1875,2.235174E-06,9.375002,9.375002,3.125002,12.5,14.74609,2062.5,2062.5,4125,4125,2062.5,4125,4125,4125,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,4125,4125,4125,6345,59.9,16.92
8813,50,5,4531.805,1068,800,26,62.375,14.0625,3.125002,12.5,31.25,14.0625,35.9375,53.125,1.562502,17.1875,1.562502,17.1875,2.235174E-06,9.375002,9.375002,3.125002,12.5,14.74609,2062.5,2062.5,4125,4125,2062.5,4125,4125,4125,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,4125,4125,4125,6345,59.9,16.92
9123,50,5,4531.805,1068,800,26,62.375,14.0625,3.125002,12.5,31.25,14.0625,35.9375,53.125,1.562502,17.1875,1.562502,17.1875,2.235174E-06,9.375002,9.375002,3.125002,12.5,14.74609,2062.5,2062.5,4125,4125,2062.5,4125,4125,4125,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,4125,4125,4125,6345,59.9,16.92
9429,50,5,4371.988,1072,800,27,61.5,17.1875,2.235174E-06,7.812502,25,18.75,31.25,32.8125,4.687502,10.9375,6.250002,15.625,2.235174E-06,12.5,2.235174E-06,3.125002,20.3125,12.89063,2100,2100,3675,3675,3675,3650,3650,3650,2200,2200,2200,2200,2200,2200,2200,2200,3675,6328,60,29.166
9737,50,5,4371.988,1072,800,27,61.5,17.1875,2.235174E-06,7.812502,25,18.75,31.25,32.8125,4.687502,10.9375,6.250002,15.625,2.235174E-06,12.5,2.235174E-06,3.125002,20.3125,12.89063,2100,2100,3675,3675,3675,3650,3650,3650,2200,2200,2200,2200,2200,2200,2200,2200,3675,6328,60,29.166
10043,50,5,4371.988,1072,800,27,61.5,17.1875,2.235174E-06,7.812502,25,18.75,31.25,32.8125,4.687502,10.9375,6.250002,15.625,2.235174E-06,12.5,2.235174E-06,3.125002,20.3125,12.89063,2100,2100,3675,3675,3675,3650,3650,3650,2200,2200,2200,2200,2200,2200,2200,2200,3675,6328,60,29.166
