Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=W,CPU1 temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU13 usage=%,CPU14 usage=%,CPU15 usage=%,CPU16 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU13 clock=MHz,CPU14 clock=MHz,CPU15 clock=MHz,CPU16 clock=MHz,CPU clock=MHz,RAM usage=MB,Framerate=FPS,Frametime=ms
0,71,99,4272.566,1473,945,240,68.875,10.9375,2.235174E-06,28.125,7.812502,14.0625,4.687502,6.250002,1.562502,12.5,3.125002,9.375002,4.687502,9.375002,1.562502,3.125002,7.812502,7.8125,1975,1975,3825,3825,2171.428,2171.428,2171.428,2171.428,3800,3800,3800,3800,2171.428,2171.428,2171.428,2171.428,3825,4887,70.2,23.131
305,71,99,4272.566,1473,945,240,68.875,10.9375,2.235174E-06,28.125,7.812502,14.0625,4.687502,6.250002,1.562502,12.5,3.125002,9.375002,4.687502,9.375002,1.562502,3.125002,7.812502,7.8125,1975,1975,3825,3825,2171.428,2171.428,2171.428,2171.428,3800,3800,3800,3800,2171.428,2171.428,2171.428,2171.428,3825,4887,70.2,23.131
610,71,99,4272.566,1473,945,240,68.875,10.9375,2.235174E-06,28.125,7.812502,14.0625,4.687502,6.250002,1.562502,12.5,3.125002,9.375002,4.687502,9.375002,1.562502,3.125002,7.812502,7.8125,1975,1975,3825,3825,2171.428,2171.428,2171.428,2171.428,3800,3800,3800,3800,2171.428,2171.428,2171.428,2171.428,3825,4887,70.2,23.131
917,72,99,4271.637,1475,945,238,67.375,3.125002,1.562502,9.375002,2.235174E-06,10.9375,0,10.9375,1.562502,9.375002,3.125002,7.812502,4.687502,6.250002,4.687502,9.375002,10.9375,5.859376,4175,4175,4175,4175,4175,4175,4175,4175,2087.5,2087.5,4175,4175,2087.5,2087.5,2087.5,2087.5,4175,4888,70.7,15.03
1222,72,99,4271.637,1475,945,238,67.375,3.125002,1.562502,9.375002,2.235174E-06,10.9375,0,10.9375,1.562502,9.375002,3.125002,7.812502,4.687502,6.250002,4.687502,9.375002,10.9375,5.859376,4175,4175,4175,4175,4175,4175,4175,4175,2087.5,2087.5,4175,4175,2087.5,2087.5,2087.5,2087.5,4175,4888,70.7,15.03
1528,72,99,4271.637,1475,945,238,67.375,3.125002,1.562502,9.375002,2.235174E-06,10.9375,0,10.9375,1.562502,9.375002,3.125002,7.812502,4.687502,6.250002,4.687502,9.375002,10.9375,5.859376,4175,4175,4175,4175,4175,4175,4175,4175,2087.5,2087.5,4175,4175,2087.5,2087.5,2087.5,2087.5,4175,4888,70.7,15.03
1835,71,99,4265.605,1394,945,240,66,9.375002,4.687502,15.625,3.125002,9.375002,2.235174E-06,6.250002,12.5,7.812502,2.235174E-06,9.375002,2.235174E-06,7.812502,1.562502,3.125002,9.375002,6.250001,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2128.572,2128.572,2128.572,2128.572,2980,4898,56.3,219.765
2143,71,99,4265.605,1394,945,240,66,9.375002,4.687502,15.625,3.125002,9.375002,2.235174E-06,6.250002,12.5,7.812502,2.235174E-06,9.375002,2.235174E-06,7.812502,1.562502,3.125002,9.375002,6.250001,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2128.572,2128.572,2128.572,2128.572,2980,4898,56.3,219.765
2450,71,99,4265.605,1394,945,240,66,9.375002,4.687502,15.625,3.125002,9.375002,2.235174E-06,6.250002,12.5,7.812502,2.235174E-06,9.375002,2.235174E-06,7.812502,1.562502,3.125002,9.375002,6.250001,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2128.572,2128.572,2128.572,2128.572,2980,4898,56.3,219.765
2757,71,99,2877.781,1507,945,239,66.75,14.0625,1.562502,31.25,0,7.812502,3.125002,2.235174E-06,84.375,15.625,3.125002,4.687502,15.625,1.562502,4.687502,4.687502,14.0625,12.89063,2062.5,2062.5,4125,4125,2750,2750,2062.5,2062.5,4125,4125,2062.5,2062.5,2062.5,2062.5,4125,4125,4125,4909,2122.5,114.521
