FrameTime,RenderTime,NumberOfLight,SetPass,RendererInView,DrawCalls,Batches,Triangeles,Vertices,RenderTextureCount,Resolution
0.02,0.0220291,33,334,0,529,529,333787,253654,2,1983x803
0.02,0.0220291,33,334,0,529,529,333787,253654,2,1983x803
0.2436583,0.01753915,33,334,330,529,529,333787,253654,40,2564x1271
0.02730596,0.0892782,33,479,345,769,456,379039,313841,40,2564x1271
0.01656785,0.006396781,33,462,346,748,432,390875,304623,40,2564x1271
0.02883237,0.006229027,33,470,346,747,440,393313,306477,40,2564x1271
0.03439981,0.01409704,33,472,347,743,442,395269,307879,40,2564x1271
0.02865713,0.0146771,33,475,347,758,443,398009,309783,40,2564x1271
0.01723166,0.009711349,33,476,348,749,446,402473,313069,40,2564x1271
0.01733064,0.006691802,33,478,347,753,449,405321,315339,40,2564x1271
0.01580285,0.005086092,33,477,348,764,448,407451,316897,40,2564x1271
0.01656647,0.004420072,33,481,348,752,448,409305,318213,40,2564x1271
0.01663939,0.003663661,33,482,348,754,452,411625,319985,40,2564x1271
0.01700318,0.003790376,33,481,351,756,451,412895,319473,40,2564x1271
0.01605711,0.004230137,33,486,351,758,451,414381,321324,40,2564x1271
0.01656813,0.004204074,33,486,349,757,453,416161,322518,40,2564x1271
0.01656508,0.003651738,33,480,350,753,448,417735,323555,40,2564x1271
0.016826,0.003748785,33,476,350,762,445,419201,324626,40,2564x1271
0.01700346,0.003861082,33,478,350,753,446,421065,325953,40,2564x1271
0.01600304,0.0038511,33,478,350,764,446,422889,327243,40,2564x1271
0.01643476,0.003882155,33,473,350,764,442,424879,328904,40,2564x1271
0.01659004,0.003912101,33,474,351,762,442,426991,330530,40,2564x1271
0.01654429,0.003731594,33,479,352,750,442,428897,332021,40,2564x1271
0.01744571,0.004516288,33,481,352,760,448,431377,333945,40,2564x1271
0.01568639,0.004115622,33,481,351,756,448,433131,335222,40,2564x1271
0.01732371,0.004126714,33,480,351,766,447,435259,336804,40,2564x1271
0.01600526,0.004092054,33,481,351,752,447,436679,337813,40,2564x1271
0.01637071,0.004288089,33,483,352,761,447,438949,339520,40,2564x1271
0.01663995,0.004345208,33,482,352,761,446,440791,340825,40,2564x1271
0.01701261,0.004274779,33,484,352,762,446,441339,341245,40,2564x1271
0.01604741,0.004294189,33,483,351,742,444,412529,323458,40,2564x1271
0.01695161,0.004012198,33,482,351,748,443,414347,324729,40,2564x1271
0.01618188,0.004452236,33,483,351,738,444,416039,326159,40,2564x1271
0.01656647,0.004155827,33,489,348,745,448,417967,327775,40,2564x1271
0.01726243,0.004301676,33,488,341,735,448,419875,328991,40,2564x1271
0.01600249,0.004069871,33,465,338,703,428,388133,308301,40,2564x1271
0.01643532,0.004224592,33,449,336,687,415,387459,306926,40,2564x1271
0.01657201,0.003929846,33,449,319,681,415,389345,308168,40,2564x1271
0.0165612,0.004333008,33,438,308,682,409,384453,304780,40,2564x1271
0.01656675,0.003989184,33,416,306,676,398,383083,303772,40,2564x1271
0.016887,0.003987243,33,414,305,654,395,385109,304917,40,2564x1271
0.01700207,0.004117286,33,412,304,655,393,385147,304980,40,2564x1271
0.01600138,0.004364894,33,412,304,659,393,386387,305743,40,2564x1271
0.01637653,0.00416581,33,412,305,658,392,388573,307151,40,2564x1271
0.01665132,0.003794813,33,355,304,551,290,387213,303064,40,2564x1271
0.01648162,0.00292749,33,352,302,555,288,388971,304397,40,2564x1271
0.01656758,0.002962982,33,347,302,551,284,389409,304947,40,2564x1271
0.01656647,0.002950227,33,348,302,551,284,389689,305264,40,2564x1271
0.01656702,0.00291834,33,346,301,551,284,389869,305490,40,2564x1271
0.01656647,0.002977123,33,346,300,547,283,390207,305851,40,2564x1271
0.01656675,0.002887286,33,344,300,549,282,390003,305463,40,2564x1271
0.01669235,0.003025924,33,344,300,549,282,390337,305775,40,2564x1271
0.01700318,0.002841258,33,345,300,549,282,390799,306144,40,2564x1271
0.01600443,0.002925826,33,346,300,545,282,390995,306274,40,2564x1271
0.01656647,0.002882017,33,344,297,547,282,391359,306582,40,2564x1271
0.01744072,0.00273201,33,343,297,539,277,390681,305753,40,2564x1271
0.01600581,0.002877303,33,343,297,537,276,390833,305887,40,2564x1271
0.0162537,0.00302121,33,339,297,536,274,300049,250018,40,2564x1271
0.01675335,0.002784692,33,341,297,537,275,300613,250503,40,2564x1271
0.01637986,0.002939968,33,343,297,541,276,301171,250997,40,2564x1271
0.01662719,0.002822125,33,342,297,541,276,300255,248680,40,2564x1271
0.01700346,0.002855121,33,341,297,528,275,300341,248782,40,2564x1271
0.01606931,0.002887562,33,341,295,541,274,300499,248875,40,2564x1271
0.01656647,0.002869817,33,339,293,539,273,300205,248272,40,2564x1271
0.01656702,0.002904199,33,334,293,522,269,299707,247345,40,2564x1271
0.01656675,0.002811311,33,336,293,522,270,299705,247258,40,2564x1271
0.01656619,0.0026455,33,337,292,535,270,299635,247138,40,2564x1271
0.01668625,0.002890058,33,336,289,521,269,299779,247075,40,2564x1271
0.0170054,0.003095797,33,330,290,518,267,299503,246795,40,2564x1271
0.01600859,0.002985996,33,327,291,528,265,298989,244972,40,2564x1271
0.01699763,0.002788298,33,333,294,519,268,300957,248200,40,2564x1271
0.01613586,0.002852071,33,338,296,539,275,303509,251439,40,2564x1271
0.01687147,0.003216136,33,343,297,538,279,395305,308843,40,2564x1271
0.01700401,0.002908358,33,347,300,543,282,395613,309047,40,2564x1271
0.01600221,0.002931649,33,344,302,541,280,395427,304439,40,2564x1271
0.01700346,0.00285318,33,344,309,542,281,395753,305225,40,2564x1271
0.01601968,0.00272286,33,354,323,560,285,397749,306664,40,2564x1271
0.01698876,0.002944127,33,362,331,565,290,401031,309166,40,2564x1271
0.01607763,0.00290919,33,368,333,582,294,405013,311931,40,2564x1271
0.01693026,0.002787188,33,370,333,581,295,406255,312856,40,2564x1271
0.01620213,0.002790793,33,373,336,588,295,436983,331970,40,2564x1271
0.0168113,0.002983223,33,385,337,595,304,439331,334492,40,2564x1271
0.01700124,0.003029806,33,403,341,611,315,442225,337341,40,2564x1271
0.0160047,0.003769303,33,404,342,628,317,443405,338277,40,2564x1271
0.01645112,0.00323,33,405,344,620,317,443803,338660,40,2564x1271
0.01656508,0.003339247,33,410,344,618,318,443843,338587,40,2564x1271
0.01699237,0.003269373,33,409,344,631,319,444153,338875,40,2564x1271
0.01614113,0.003100234,33,410,344,620,319,444169,338846,40,2564x1271
0.01656675,0.003063079,33,409,346,625,318,444443,339067,40,2564x1271
0.01656675,0.003000692,33,407,347,620,319,474903,358017,40,2564x1271
0.01676028,0.002962427,33,406,347,640,321,476039,358799,40,2564x1271
0.01637293,0.003301814,33,407,346,622,321,476031,358868,40,2564x1271
0.01656647,0.003279078,33,407,347,646,322,474791,358042,40,2564x1271
0.01705142,0.002830444,33,399,347,621,314,473307,356935,40,2564x1271
0.01608207,0.00273201,33,395,348,619,311,471763,355997,40,2564x1271
0.01692554,0.002907526,33,397,348,636,309,470171,355161,40,2564x1271
0.01620795,0.002983223,33,394,348,617,310,468329,354319,40,2564x1271
0.01656647,0.002948009,33,396,348,617,310,466877,353329,40,2564x1271
0.0165673,0.002820185,33,398,348,617,312,466529,353069,40,2564x1271
0.01656591,0.002702619,33,394,348,629,311,464999,351994,40,2564x1271
0.01656675,0.002826561,33,394,348,617,310,462945,350693,40,2564x1271
0.01656869,0.002730347,33,395,348,617,311,460569,349125,40,2564x1271
0.01698266,0.002719532,33,396,348,615,310,459369,348383,40,2564x1271
0.01614889,0.002812143,33,395,348,616,310,459577,348636,40,2564x1271
0.01656647,0.002844307,33,395,350,623,316,458559,348818,40,2564x1271
0.01656675,0.002898654,33,416,348,645,339,459363,353013,40,2564x1271
0.01673173,0.002820184,33,418,347,647,343,458305,352590,40,2564x1271
0.02157437,0.002745319,33,412,349,644,338,457955,352242,40,2564x1271
0.01743324,0.002822402,33,411,348,645,337,458191,352707,40,2564x1271
0.01570025,0.002562317,33,412,348,657,338,457959,352477,40,2564x1271
0.01656647,0.002801884,33,411,350,657,337,457673,352073,40,2564x1271
0.0167442,0.002826284,33,419,350,646,338,457219,351802,40,2564x1271
0.01638901,0.002831276,33,419,350,663,343,457751,352337,40,2564x1271
0.01662054,0.002830721,33,418,350,651,343,458099,352664,40,2564x1271
0.01700124,0.002768611,33,419,350,662,343,457621,352380,40,2564x1271
0.01607818,0.002878967,33,419,348,649,343,457927,352646,40,2564x1271
0.01656675,0.00248052,33,417,349,664,340,457801,352591,40,2564x1271
0.01656952,0.002866212,33,411,349,659,335,456867,351972,40,2564x1271
0.0168016,0.002722305,33,412,349,643,335,457301,352461,40,2564x1271
0.01632884,0.002546789,33,412,349,655,335,456499,352023,40,2564x1271
0.01656702,0.00274726,33,412,349,643,335,454743,350936,40,2564x1271
0.01656647,0.00276362,33,412,349,659,335,454889,351100,40,2564x1271
0.01656675,0.003112711,33,411,349,640,333,453429,350121,40,2564x1271
0.01698876,0.002533203,33,411,349,651,333,450623,348253,40,2564x1271
0.01614445,0.002718423,33,412,348,652,334,449427,347404,40,2564x1271
0.01656647,0.002503811,33,410,347,653,331,447647,346369,40,2564x1271
0.01730097,0.002574517,33,407,347,653,330,445299,344905,40,2564x1271
0.0160036,0.002465547,33,405,347,653,329,444735,344449,40,2564x1271
0.0170029,0.002427837,33,405,347,644,329,444755,344426,40,2564x1271
0.01600387,0.00256398,33,407,347,654,330,443967,344266,40,2564x1271
0.01700318,0.002502702,33,411,347,648,334,443319,344215,40,2564x1271
0.01608678,0.002644668,33,411,347,648,334,442005,343386,40,2564x1271
0.0169211,0.002403991,33,411,347,648,334,440195,342376,40,2564x1271
0.01621211,0.002985164,33,414,348,647,333,439273,341802,40,2564x1271
0.01656675,0.002597808,33,420,348,643,330,437387,340564,40,2564x1271
0.01656619,0.002705946,33,417,347,648,334,436449,340018,40,2564x1271
0.01656702,0.002676,33,415,347,634,332,434867,339055,40,2564x1271
0.0171127,0.002725078,33,415,347,646,332,432403,337124,40,2564x1271
0.01700096,0.002671842,33,417,345,654,334,431121,336487,40,2564x1271
0.01600415,0.002735615,33,417,344,642,332,430279,335944,40,2564x1271
0.01615111,0.002880353,33,417,345,629,331,428795,335000,40,2564x1271
0.01685678,0.002714819,33,411,343,629,327,395557,314431,40,2564x1271
0.01700401,0.002866766,33,411,340,638,327,394333,313666,40,2564x1271
0.01602328,0.002864826,33,405,331,619,323,393329,312888,40,2564x1271
0.01638014,0.00257424,33,385,307,582,304,385095,305545,40,2564x1271
0.01660612,0.002565921,33,362,296,571,292,345387,280215,40,2564x1271
0.01701843,0.002403436,33,348,294,554,283,341261,277076,40,2564x1271
0.01607569,0.00240815,33,343,294,546,278,338663,275040,40,2564x1271
0.01691833,0.002413419,33,346,294,543,279,336681,273688,40,2564x1271
0.0162146,0.002367669,33,344,293,543,279,335603,272989,40,2564x1271
0.01656647,0.002412032,33,346,293,547,279,333959,271883,40,2564x1271
0.0165673,0.002381255,33,346,292,547,279,333123,271308,40,2564x1271
0.01666629,0.002437542,33,346,292,547,279,331019,269815,40,2564x1271
0.01646665,0.0023929,33,345,291,547,279,329715,269361,40,2564x1271
0.01656675,0.002412033,33,343,290,547,279,328399,268626,40,2564x1271
0.01656647,0.002385414,33,341,290,547,278,327211,267879,40,2564x1271
0.01656702,0.002386801,33,341,290,556,278,325091,266541,40,2564x1271
0.01685068,0.002391514,33,342,290,559,278,323765,265650,40,2564x1271
0.01628281,0.002389573,33,342,290,557,277,322047,264541,40,2564x1271
0.01672507,0.002384305,33,342,290,558,277,320613,263666,40,2564x1271
0.01700429,0.002535976,33,344,289,554,277,319753,263091,40,2564x1271
0.01600304,0.00236545,33,342,288,553,276,317995,261936,40,2564x1271
0.01700512,0.002370995,33,341,288,551,274,316081,260618,40,2564x1271
0.01609621,0.002377928,33,340,286,550,274,314471,259461,40,2564x1271
0.01656591,0.002317481,33,339,284,547,273,312717,258227,40,2564x1271
0.01656675,0.002290308,33,318,284,540,266,309475,251132,40,2564x1271
0.0168052,0.00230029,33,320,284,539,266,309849,251476,40,2564x1271
0.01632801,0.002283931,33,320,284,539,266,309871,251495,40,2564x1271
0.01666102,0.002300567,33,320,284,539,266,310065,251591,40,2564x1271
0.01702342,0.002379591,33,321,285,536,266,309479,251067,40,2564x1271
0.01601552,0.002369054,33,321,285,542,266,309431,250987,40,2564x1271
0.01697046,0.002346041,33,318,287,538,265,309305,250844,40,2564x1271
0.01616303,0.002386523,33,322,287,542,267,309429,250818,40,2564x1271
0.01684485,0.002332177,33,323,288,539,268,309635,250871,40,2564x1271
0.01628864,0.002299458,33,323,293,541,268,309603,250796,40,2564x1271
0.01672091,0.002347427,33,329,300,543,272,310835,251869,40,2564x1271
0.01700207,0.002454179,33,339,308,553,275,312853,253105,40,2564x1271
