FrameTime,RenderTime,NumberOfLight,SetPass,RendererInView,DrawCalls,Batches,Triangeles,Vertices,RenderTextureCount,Resolution
0.02,0.002608622,3,32,0,45,45,107026,99735,2,1983x803
0.02,0.002608622,3,32,0,45,45,107026,99735,2,1983x803
0.1627885,0.002669068,3,32,15,45,45,107026,99735,11,2564x1271
0.02624288,0.005361428,3,29,15,40,35,98875,93484,21,2564x1271
0.01754914,0.0004824619,3,29,15,40,35,98875,93484,21,2564x1271
0.01599084,0.000429502,3,29,15,40,35,98875,93484,21,2564x1271
0.01700235,0.0004264519,3,29,15,40,35,98875,93484,21,2564x1271
0.01601829,0.0004444748,3,29,15,40,35,98875,93484,21,2564x1271
0.01700401,0.0004272839,3,29,15,40,35,98875,93484,21,2564x1271
0.01583529,0.0004383753,3,29,15,40,35,98875,93484,21,2564x1271
0.01656675,0.0004278384,3,29,15,40,35,98875,93484,18,2564x1271
0.01660778,0.0004400383,3,29,15,40,35,98875,93484,8,2564x1271
0.01652682,0.0004802434,3,29,15,40,35,98875,93484,8,2564x1271
0.0165673,0.0005390262,3,29,15,40,35,98875,93484,8,2564x1271
0.01656564,0.0005772912,3,29,15,40,35,98875,93484,8,2564x1271
0.01734368,0.0005490088,3,29,15,40,35,98875,93484,8,2564x1271
0.01600249,0.0005842223,3,29,15,40,35,98875,93484,8,2564x1271
0.0163538,0.0005692496,3,29,15,40,35,98875,93484,8,2564x1271
0.01656647,0.0005132393,3,29,15,40,35,98875,93484,8,2564x1271
0.01709219,0.0005149037,3,29,15,40,35,98875,93484,8,2564x1271
0.0160413,0.0005126849,3,29,15,40,35,98875,93484,8,2564x1271
0.01656619,0.0005282128,3,29,15,40,35,98875,93484,8,2564x1271
0.01656702,0.0005076946,3,29,15,40,35,98875,93484,8,2564x1271
0.01685983,0.0004977125,3,29,15,40,35,98875,93484,8,2564x1271
0.01700207,0.0005442948,3,29,15,40,35,98875,93484,8,2564x1271
0.0160047,0.0005417989,3,29,15,40,35,98875,93484,8,2564x1271
0.01639982,0.0005495625,3,29,15,40,35,98875,93484,8,2564x1271
0.0165673,0.0005243305,3,29,15,40,35,98875,93484,8,2564x1271
0.01707388,0.0005379177,3,29,15,40,35,98875,93484,8,2564x1271
0.01605877,0.0005063075,3,29,15,40,35,98875,93484,8,2564x1271
0.01701177,0.0005290448,3,29,15,40,35,98875,93484,8,2564x1271
0.01612199,0.0005043669,3,29,15,40,35,98875,93484,8,2564x1271
0.01656647,0.0005370858,3,29,15,40,35,98875,93484,8,2564x1271
0.01656702,0.0005057534,3,29,15,40,35,98875,93484,8,2564x1271
0.01656841,0.0005090802,3,29,15,40,35,98875,93484,8,2564x1271
0.01730818,0.0005051988,3,29,15,40,35,98875,93484,8,2564x1271
0.01608262,0.0005528901,3,29,15,40,35,98875,93484,8,2564x1271
0.01630694,0.0005315398,3,29,15,40,35,98875,93484,8,2564x1271
0.01670178,0.000516012,3,29,15,40,35,98875,93484,8,2564x1271
0.01643199,0.0005282129,3,29,15,40,35,98875,93484,8,2564x1271
0.0166247,0.0005198944,3,29,15,40,35,98875,93484,8,2564x1271
0.01650852,0.0005085261,3,29,15,40,35,98875,93484,8,2564x1271
0.01656675,0.0005190621,3,29,15,40,35,98875,93484,8,2564x1271
0.01694939,0.0005320946,3,29,15,40,35,98875,93484,8,2564x1271
0.0169932,0.0005140711,3,29,15,40,35,98875,93484,8,2564x1271
0.01575737,0.0005179537,3,29,15,40,35,98875,93484,8,2564x1271
0.01656647,0.000512685,3,29,15,40,35,98875,93484,8,2564x1271
0.01668487,0.000525994,3,29,15,40,35,98875,93484,8,2564x1271
0.01644862,0.0005110216,3,29,15,40,35,98875,93484,8,2564x1271
0.01656647,0.0005040892,3,29,15,40,35,98875,93484,8,2564x1271
0.01656675,0.0005060309,3,29,15,40,35,98875,93484,8,2564x1271
0.01656675,0.0005332032,3,29,15,40,35,98875,93484,8,2564x1271
0.01656675,0.0005198942,3,29,15,40,35,98875,93484,8,2564x1271
0.01656647,0.000503258,3,29,15,40,35,98875,93484,8,2564x1271
0.01684014,0.0005076945,3,29,15,40,35,98875,93484,8,2564x1271
0.01629335,0.0005265492,3,29,15,40,35,98875,93484,8,2564x1271
