FrameTime,NumberOfLight,SetPass,RendererInView,DrawCalls,Batches,Triangeles,Vertices,RenderTextureCount
0.02,3,32,0,45,45,107026,99735,2
0.02,3,32,0,45,45,107026,99735,2
0.201533,3,32,15,45,45,107026,99735,10
0.02968195,3,29,15,40,35,98875,93484,21
0.01743019,3,29,15,40,35,98875,93484,21
0.01600637,3,29,15,40,35,98875,93484,21
0.07062328,3,29,15,40,35,98875,93484,21
0.0165673,3,29,15,40,35,98875,93484,21
0.01683265,3,29,15,40,35,98875,93484,21
0.01702259,3,29,15,40,35,98875,93484,21
0.01598474,3,29,15,40,35,98875,93484,19
0.01700346,3,29,15,40,35,98875,93484,8
0.01600387,3,29,15,40,35,98875,93484,8
0.01655316,3,29,15,40,35,98875,93484,8
0.01656647,3,29,15,40,35,98875,93484,8
0.01689227,3,29,15,40,35,98875,93484,8
0.01626812,3,29,15,40,35,98875,93484,8
0.01700179,3,29,15,40,35,98875,93484,8
0.01610452,3,29,15,40,35,98875,93484,8
0.01690863,3,29,15,40,35,98875,93484,8
0.01622486,3,29,15,40,35,98875,93484,8
0.01677554,3,29,15,40,35,98875,93484,8
0.01701954,3,29,15,40,35,98875,93484,8
0.0160036,3,29,15,40,35,98875,93484,8
0.01646804,3,29,15,40,35,98875,93484,8
0.01656702,3,29,15,40,35,98875,93484,8
0.0169602,3,29,15,40,35,98875,93484,8
0.01617274,3,29,15,40,35,98875,93484,8
0.01683432,3,29,15,40,35,98875,93484,8
0.01629862,3,29,15,40,35,98875,93484,8
0.01656675,3,29,15,40,35,98875,93484,8
0.01656675,3,29,15,40,35,98875,93484,8
0.3333333,3,29,16,40,35,98875,93484,9
0.01662858,3,50,16,63,57,138524,134122,9
0.01650491,3,46,16,60,54,136333,134394,9
0.01656758,3,46,15,60,54,136333,134394,9
0.01693774,3,27,15,41,35,103810,96759,9
0.01619436,3,27,15,41,35,103810,96759,9
0.0168113,3,27,15,41,35,103810,96759,9
0.01700401,3,27,15,41,35,103810,96759,9
0.01600387,3,27,15,41,35,103810,96759,9
0.01644752,3,27,17,41,35,103810,96759,9
0.0165673,3,50,17,64,57,143459,137397,9
0.01699708,3,49,16,62,56,137811,130283,9
0.01613558,3,29,16,42,36,103834,96807,9
0.01686759,3,29,16,42,36,103838,96815,9
0.01700457,3,29,16,42,36,103842,96823,9
0.01600415,3,29,16,42,36,103844,96827,9
0.01639012,3,29,16,42,36,103826,96791,9
0.01656647,3,29,16,42,36,103822,96783,9
0.0165673,3,29,16,42,36,103820,96779,8
0.01656675,3,29,16,42,36,103816,96771,8
0.01693719,3,29,15,42,36,103812,96763,8
0.01619908,3,27,15,41,35,103810,96759,8
0.01680409,3,27,15,41,35,103810,96759,8
0.01632579,3,27,15,41,35,103810,96759,8
0.01656702,3,27,15,41,35,103810,96759,8
