RenderTime,NumberOfLight,SetPass,RendererInView,DrawCalls,Batches,Triangeles,Vertices,RenderTextureCount
0.003561068,3,32,0,45,45,107026,99735,2
0.003561068,3,32,0,45,45,107026,99735,2
0.002255094,3,32,15,45,45,107026,99735,10
0.006044361,3,29,15,40,35,98875,93484,21
0.000452516,3,29,15,40,35,98875,93484,21
0.000409538,3,29,15,40,35,98875,93484,21
0.000389852,3,29,15,40,35,98875,93484,21
0.000574795,3,29,15,40,35,98875,93484,21
0.000513517,3,29,15,40,35,98875,93484,21
0.000489117,3,29,15,40,35,98875,93484,21
0.000468598,3,29,15,40,35,98875,93484,19
0.00048579,3,29,15,40,35,98875,93484,8
0.000526826,3,29,15,40,35,98875,93484,8
0.000454734,3,29,15,40,35,98875,93484,8
0.000458061,3,29,15,40,35,98875,93484,8
0.000452794,3,29,15,40,35,98875,93484,8
0.000479966,3,29,15,40,35,98875,93484,8
0.000453902,3,29,15,40,35,98875,93484,8
0.000489116,3,29,15,40,35,98875,93484,8
0.000488562,3,29,15,40,35,98875,93484,8
0.000474143,3,29,15,40,35,98875,93484,8
0.000461112,3,29,15,40,35,98875,93484,8
0.000460557,3,29,15,40,35,98875,93484,8
0.000461111,3,29,15,40,35,98875,93484,8
0.000462498,3,29,15,40,35,98875,93484,8
0.000464716,3,29,15,40,35,98875,93484,8
0.000529876,3,29,15,40,35,98875,93484,8
0.000476917,3,29,15,40,35,98875,93484,8
0.000460557,3,29,15,40,35,98875,93484,8
0.000463884,3,29,15,40,35,98875,93484,8
0.000482462,3,29,15,40,35,98875,93484,8
0.000473312,3,29,15,40,35,98875,93484,8
0.000464994,3,29,16,40,35,98875,93484,9
0.007918219,3,50,16,63,57,138524,134122,9
0.00065271,3,46,16,60,54,136333,134394,9
0.000629973,3,46,15,60,54,136333,134394,9
0.000498544,3,27,15,41,35,103810,96759,9
0.000457507,3,27,15,41,35,103810,96759,9
0.000473311,3,27,15,41,35,103810,96759,9
0.00045113,3,27,15,41,35,103810,96759,9
0.000459448,3,27,15,41,35,103810,96759,9
0.000460557,3,27,17,41,35,103810,96759,9
0.000617496,3,50,17,64,57,143459,137397,9
0.000704283,3,49,16,62,56,137811,130283,9
0.000495771,3,29,16,42,36,103834,96807,9
0.000485512,3,29,16,42,36,103838,96815,9
0.000475252,3,29,16,42,36,103842,96823,9
0.000312214,3,29,16,42,36,103844,96827,9
0.00036351,3,29,16,42,36,103826,96791,9
0.000298073,3,29,16,42,36,103822,96783,9
0.000423402,3,29,16,42,36,103820,96779,8
0.000435879,3,29,16,42,36,103816,96771,8
0.000483294,3,29,15,42,36,103812,96763,8
0.000481631,3,27,15,41,35,103810,96759,8
0.000497157,3,27,15,41,35,103810,96759,8
0.000562595,3,27,15,41,35,103810,96759,8
0.000507695,3,27,15,41,35,103810,96759,8
0.000471649,3,27,15,41,35,103810,96759,8
0.000496326,3,27,15,41,35,103810,96759,8
0.00045113,3,27,15,41,35,103810,96759,8
0.00045113,3,27,15,41,35,103810,96759,8
0.000443088,3,27,15,41,35,103810,96759,8
0.000452793,3,27,15,41,35,103810,96759,8
0.000446694,3,27,15,41,35,103810,96759,8
0.000476085,3,27,15,41,35,103810,96759,8
0.000444752,3,27,15,41,35,103810,96759,8
0.000454457,3,27,15,41,35,103810,96759,8
0.000436989,3,27,17,41,35,103810,96759,9
0.000776098,3,49,17,62,56,137807,130275,9
