FrameTime,RenderTime,NumberOfLight,SetPass,RendererInView,DrawCalls,Batches,Triangeles,Vertices,RenderTextureCount,Resolution
0.01645722,0.002158601,1,71,37,994,991,838918,606673,37,2564x1271
0.01656619,0.001902952,1,46,19,961,955,835242,556898,37,2564x1271
0.01699181,0.001673089,1,67,24,627,627,525686,386524,37,2564x1271
0.01614168,0.001882434,1,67,24,694,694,590602,426651,37,2564x1271
0.01684042,0.001622624,1,47,37,675,675,571470,405238,37,2564x1271
0.0162928,0.001810896,1,67,37,746,746,667146,477006,37,2564x1271
0.01671481,0.001946484,1,67,37,781,781,685076,487211,37,2564x1271
0.0164184,0.001985026,1,67,37,814,814,702088,496928,37,2564x1271
0.01659087,0.001862747,1,67,37,836,836,713540,503466,37,2564x1271
0.01700179,0.001970607,1,67,37,867,867,736682,516797,37,2564x1271
0.0161073,0.001731595,1,47,37,847,847,717038,495095,37,2564x1271
0.01690197,0.00195619,1,67,37,884,881,751648,525629,37,2564x1271
0.01623152,0.00193373,1,67,37,900,898,776196,539739,37,2564x1271
0.01656675,0.001894357,1,67,37,910,910,786570,547301,37,2564x1271
0.01656647,0.001980035,1,67,37,905,900,789432,549322,37,2564x1271
0.0166491,0.001813391,1,47,37,882,879,769284,527206,37,2564x1271
0.01700318,0.001904893,1,67,37,908,908,793626,551474,37,2564x1271
0.01604768,0.00190212,1,67,37,917,915,805282,558373,37,2564x1271
0.01695965,0.001909052,1,67,37,925,923,817272,565346,37,2564x1271
0.01617357,0.00198558,1,67,37,926,924,817784,565635,37,2564x1271
0.01683376,0.001881879,1,67,37,929,927,812574,559749,37,2564x1271
0.01629973,0.001795091,1,47,37,909,907,792930,538047,37,2564x1271
0.01670954,0.001924025,1,67,37,933,928,813086,560163,37,2564x1271
0.01642367,0.001937612,1,67,37,930,928,813086,560038,37,2564x1271
0.01658615,0.001876056,1,67,37,933,930,822068,565277,37,2564x1271
0.01700013,0.00190628,1,67,37,934,930,822084,565277,37,2564x1271
0.01611395,0.001931511,1,67,37,933,930,822092,565277,37,2564x1271
0.01689338,0.001864965,1,47,37,913,910,802448,543575,37,2564x1271
0.01624205,0.001930679,1,67,37,934,931,822604,565566,37,2564x1271
0.01676555,0.001926243,1,67,37,934,930,822100,565277,37,2564x1271
0.01636544,0.001976707,1,67,37,934,930,822224,565380,37,2564x1271
0.01666268,0.001925688,1,67,37,933,930,822224,565380,37,2564x1271
0.01647081,0.001925134,1,67,37,934,932,823248,565833,37,2564x1271
0.01656675,0.001807014,1,49,37,916,914,803788,544308,37,2564x1271
0.01656647,0.001966171,1,69,37,939,935,824090,566514,37,2564x1271
0.01656647,0.001960903,1,69,37,938,934,823578,566225,37,2564x1271
0.01656702,0.001999167,1,67,37,936,933,823074,565936,37,2564x1271
0.01656647,0.001954803,1,67,37,927,924,818378,563460,37,2564x1271
0.01656675,0.001962566,1,67,37,926,924,818378,563335,37,2564x1271
0.01656675,0.001856092,1,47,37,906,904,798734,541633,37,2564x1271
0.01657728,0.001910993,1,67,37,927,923,817874,563171,37,2564x1271
0.01655538,0.001920975,1,67,37,927,923,817874,563171,37,2564x1271
0.01656675,0.001816996,1,67,37,926,922,817370,562882,37,2564x1271
0.0168906,0.001982807,1,67,37,926,922,817370,562882,37,2564x1271
0.01624261,0.001886316,1,67,37,926,922,817370,562882,37,2564x1271
0.01676334,0.001726326,1,47,37,906,902,797726,541180,37,2564x1271
0.01637016,0.00191432,1,67,37,927,923,817874,563171,37,2564x1271
0.01663884,0.001927629,1,67,37,927,923,817874,563171,37,2564x1271
0.01649438,0.001873006,1,65,37,925,921,817690,562994,37,2564x1271
0.01656675,0.00192763,1,65,37,926,922,818194,563283,37,2564x1271
0.01656675,0.001718563,1,45,37,905,901,798046,541292,37,2564x1271
0.01656647,0.001933176,1,65,37,925,921,817690,562994,37,2564x1271
0.01656675,0.001845279,1,65,37,925,921,817690,562994,37,2564x1271
0.01656675,0.001903783,1,65,37,924,920,817178,562705,37,2564x1271
0.01670538,0.001864965,1,65,37,927,922,818194,563283,37,2564x1271
0.01700318,0.001873006,1,65,37,926,921,817682,562994,37,2564x1271
0.0160036,0.00173104,1,45,37,906,901,798038,541292,37,2564x1271
0.01700845,0.001633439,1,65,37,926,921,817682,562994,37,2564x1271
0.01611312,0.002082905,1,65,37,926,921,817682,562994,37,2564x1271
0.01689116,0.001897406,1,65,37,926,921,817682,562994,37,2564x1271
0.01624399,0.002154442,1,65,37,926,921,817682,562994,37,2564x1271
0.01676417,0.001943711,1,65,37,926,921,817682,562994,37,2564x1271
0.01636738,0.001826423,1,45,37,906,901,798038,541292,37,2564x1271
0.01666241,0.001942048,1,65,37,926,921,817682,562994,37,2564x1271
0.01647164,0.001884651,1,65,37,926,921,817682,562994,37,2564x1271
0.01656536,0.001924025,1,65,37,926,921,817682,562994,37,2564x1271
0.01697046,0.001899902,1,65,37,926,921,817682,562994,37,2564x1271
0.01616331,0.001990017,1,65,37,926,921,817682,562994,37,2564x1271
0.01682489,0.001800637,1,45,37,906,901,798038,541292,37,2564x1271
0.0163086,0.001938998,1,65,37,926,921,817682,562994,37,2564x1271
0.01670427,0.001945098,1,65,37,926,921,817682,562994,37,2564x1271
0.01699874,0.001940661,1,65,37,926,921,817682,562994,37,2564x1271
0.01600387,0.001940385,1,65,37,926,921,817682,562994,37,2564x1271
0.01655926,0.002059613,1,65,37,926,921,817682,562994,37,2564x1271
0.01656675,0.001775404,1,45,37,906,901,798038,541292,37,2564x1271
0.01688644,0.001845001,1,65,37,926,921,817682,562994,37,2564x1271
0.01624677,0.001891583,1,65,37,926,921,817682,562994,37,2564x1271
0.01676222,0.001877997,1,65,37,926,921,817682,562994,37,2564x1271
0.01700512,0.001832247,1,65,37,926,921,817682,562994,37,2564x1271
0.01600942,0.001849992,1,65,37,926,921,817682,562994,37,2564x1271
0.01649077,0.001794537,1,45,37,906,901,798038,541292,37,2564x1271
0.01656702,0.002009427,1,65,37,926,921,817682,562994,37,2564x1271
0.01695216,0.002018299,1,65,37,926,921,817682,562994,37,2564x1271
0.0161805,0.001914597,1,65,37,926,921,817682,562994,37,2564x1271
0.01682433,0.001935116,1,65,37,926,921,817682,562994,37,2564x1271
0.01630916,0.001827255,1,45,37,906,901,798038,541292,37,2564x1271
0.01670677,0.001955912,1,65,37,926,921,817682,562994,37,2564x1271
0.01642644,0.002013863,1,65,37,926,921,817682,562994,37,2564x1271
0.0165795,0.00195813,1,65,37,925,920,817178,562705,37,2564x1271
0.01700512,0.001994454,1,65,37,925,920,817178,562705,37,2564x1271
0.01611534,0.001908774,1,65,37,925,920,817178,562705,37,2564x1271
0.01689254,0.001810064,1,45,37,905,900,797534,541003,37,2564x1271
0.01701067,0.001929571,1,65,37,925,920,817178,562705,37,2564x1271
