Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),Context,,,,,,,,
25,11.89,11.91,4.64,11.73,0,,,,,,,,
50,12.26,12.27,5.18,12.39,0,,,,,,,,
75,15.92,15.98,6.25,16.34,0,,,,,,,,
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),Context,DrawPrimitiveCalls,MeshDrawCalls,LastRendered,LightsInScene,ShadowedLight,UnshadowedLight,StaticMeshTriangles,Triangles
0,12.57,8.71,3.18,0,0,not valid frame,not valid frame,14,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.01,11.24,11.81,3.53,14.78,0,not valid frame,not valid frame,0,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.02,10.3,10.39,3.59,11.26,0,not valid frame,not valid frame,14,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.03,10.79,10.52,3.33,10.3,0,39978168,30,0,237,not valid frame,1,14878,263
0.04,10.19,13.15,4.8,12.05,0,39978168,30,0,237,not valid frame,1,14878,263
0.06,13.18,8.84,3.63,8.95,0,39978168,30,14,237,not valid frame,1,14878,263
0.07,16.52,12.11,8.65,13.38,0,39978168,30,0,237,not valid frame,1,14878,263
0.08,13.69,17.1,4.97,16.48,0,39978168,30,0,237,not valid frame,1,14878,395
0.1,15.27,16.21,4.78,13.54,0,39978168,30,0,237,not valid frame,1,14878,395
0.11,11.64,11.84,6.73,15.24,0,39978168,30,14,237,not valid frame,1,14878,397
0.13,11.75,11.71,4.99,11.74,0,39978168,30,0,237,not valid frame,1,14878,397
0.14,22.96,12.44,9.31,16.1,0,39978168,30,0,237,not valid frame,1,14878,397
0.16,15.3,23.13,5.15,18.51,0,39978168,30,14,237,not valid frame,1,14878,397
0.18,12.23,14.49,5.49,15.42,0,39978168,30,15,237,not valid frame,1,14878,397
0.19,19.18,12.98,5.19,12.11,0,39978168,30,15,237,not valid frame,1,14878,397
0.21,19.24,19.07,4.14,18.85,0,39978072,32,15,237,not valid frame,1,15278,1781648
0.23,12.67,19.3,3.22,19.21,0,39977976,32,15,237,not valid frame,1,15278,1782672
0.24,11.99,11.93,3.38,12.74,0,39977880,32,0,237,not valid frame,1,15278,1783696
0.25,11.62,11.84,3.28,12,0,39977784,32,15,237,not valid frame,1,15278,1784720
0.26,11.65,11.67,3.36,11.96,0,39977688,32,0,237,not valid frame,1,15278,399
0.27,11.67,11.66,3.39,11.39,0,39977688,32,0,237,not valid frame,1,15278,398
0.29,11.75,11.64,3.2,11.63,0,39977688,32,0,237,not valid frame,1,15278,398
0.3,11.64,11.7,3.2,11.71,0,39977688,32,0,237,not valid frame,1,15278,397
0.31,11.72,11.68,3.28,11.67,0,39977688,32,0,237,not valid frame,1,15278,397
0.32,11.67,11.75,3.36,11.76,0,39977688,32,14,237,not valid frame,1,15278,398
0.33,11.59,11.6,3.16,11.61,0,39977688,30,0,237,not valid frame,1,14878,395
0.34,13.4,11.75,3.42,11.67,0,39977688,30,14,237,not valid frame,1,14878,395
0.36,13.98,13.24,3.58,13.47,0,39977688,30,14,237,not valid frame,1,14878,396
0.37,19.07,14.65,3.17,13.87,0,39977688,30,14,237,not valid frame,1,14878,396
0.39,19,19.16,3.17,19.06,0,39977688,30,14,237,not valid frame,1,14878,395
0.41,11.74,18.32,3.82,19.1,0,39977688,30,14,237,not valid frame,1,14878,395
0.42,11.16,11.48,4.98,12.01,0,39977688,30,14,237,not valid frame,1,14878,395
0.43,11.38,11.25,4.66,11.07,0,39977688,30,14,237,not valid frame,1,14878,395
0.44,11.35,11.37,4.93,11.42,0,39977688,30,0,237,not valid frame,1,14878,395
0.46,11.27,11.33,4.79,11.32,0,39977688,30,14,237,not valid frame,1,14878,395
0.47,11.37,11.32,4.65,11.3,0,39977496,30,0,237,not valid frame,1,14878,396
0.48,11.35,11.37,4.82,11.34,0,39977304,30,0,237,not valid frame,1,14878,395
0.49,17.88,11.3,4.94,11.49,0,39976920,30,14,237,not valid frame,1,14878,396
0.51,18.86,18.71,5.29,17.78,0,39976920,30,14,237,not valid frame,1,14878,396
0.53,12.26,18.86,4.59,18.87,0,39976728,30,14,237,not valid frame,1,14878,395
0.54,11.74,11.53,4.78,12.25,0,395,30,14,237,not valid frame,1,14878,30170
0.55,11.32,11.52,4.96,11.85,0,395,30,14,237,not valid frame,1,14878,30170
0.56,11.38,11.35,4.8,11.25,0,395,30,14,237,not valid frame,1,14878,30170
0.57,20.52,13.65,4.7,11.29,0,395,30,14,237,not valid frame,1,14878,30170
0.59,19.98,19.5,4.83,20.47,0,395,30,14,237,not valid frame,1,14878,30170
0.61,14.25,19.79,4.71,19.99,0,395,30,14,237,not valid frame,1,14878,30170
0.63,11.69,13.26,4.53,14.28,0,395,30,0,237,not valid frame,1,14878,30170
0.64,19.58,11.84,4.4,11.68,0,395,30,14,237,not valid frame,1,14878,30170
