Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),Context,,,,,,,,
25,14.7,14.72,6.8,14.67,0,,,,,,,,
50,15.44,15.47,7.34,15.8,0,,,,,,,,
75,19.88,19.88,9.21,20.05,0,,,,,,,,
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),Context,DrawPrimitiveCalls,MeshDrawCalls,LastRendered,LightsInScene,ShadowedLight,UnshadowedLight,StaticMeshTriangles,Triangles
0,9.62,9.14,4.7,0,0,not valid frame,not valid frame,110,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.01,9.07,8.93,5,9.41,0,not valid frame,not valid frame,110,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.02,9.13,9.42,4.89,9.11,0,not valid frame,not valid frame,111,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.03,9.06,8.69,5,9.5,0,56330068,578,0,296,not valid frame,1,17083,877
0.04,14.34,9.61,8.14,10.26,0,56330068,578,111,296,not valid frame,1,17083,877
0.05,23.09,15.54,9.8,9.69,0,56330068,578,0,296,not valid frame,1,17083,877
0.07,22.86,23,6.02,13.49,0,56330068,578,110,296,not valid frame,1,17083,1020
0.1,26.49,24.48,6.41,23.15,0,56330068,578,0,296,not valid frame,1,17083,1023
0.12,19.78,25.21,6.95,26.77,0,56330068,577,0,296,not valid frame,1,17083,1029
0.14,19.28,19.76,6.71,22.83,0,56330068,646,0,296,not valid frame,1,37935,1100
0.16,13.96,17.93,6.9,19.68,0,56330068,685,166,296,not valid frame,1,17083,1145
0.18,13.89,13.89,7.09,17.98,0,56330068,685,181,296,not valid frame,1,17083,1145
0.19,14.44,14.12,7.14,13.86,0,56330068,843,0,296,not valid frame,1,17083,1305
0.21,15.52,14.35,7.7,14.43,0,56330068,988,249,296,not valid frame,1,17083,2780752
0.22,23.43,16.67,8.6,15.05,0,56330068,1029,304,296,not valid frame,1,17083,2782288
0.24,19.73,23.68,8.53,16.08,0,56330068,1029,398,296,not valid frame,1,17083,2782288
0.26,25.01,18.32,9.85,23.92,0,56330068,1310,0,296,not valid frame,1,17083,2793616
