Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),Context,,,,,,,,
25,13.21,13.22,5.38,13.18,0,,,,,,,,
50,14.55,14.6,5.89,14.54,0,,,,,,,,
75,19.78,19.66,6.93,19.93,0,,,,,,,,
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),Context,DrawPrimitiveCalls,MeshDrawCalls,LastRendered,LightsInScene,ShadowedLight,UnshadowedLight,StaticMeshTriangles,Triangles
0,10.96,7.79,1.45,0,0,not valid frame,not valid frame,0,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.01,9.91,10.48,3.28,14.72,0,not valid frame,not valid frame,0,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.02,8.33,8.78,1.83,8.36,0,not valid frame,not valid frame,47,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.03,8.34,7.73,1.87,7.6,0,281,70,47,198,not valid frame,not valid frame,187834,189765
0.04,15.57,7.14,1.87,7.6,0,281,70,0,198,not valid frame,not valid frame,187834,189765
0.05,21.67,16.75,10.23,19.27,0,397,69,0,198,not valid frame,not valid frame,187834,201895
0.07,11.45,20.7,3.95,20.9,0,397,69,0,198,not valid frame,not valid frame,187834,201895
0.09,11.49,11.32,3.33,10.15,0,397,69,47,198,not valid frame,not valid frame,187834,201895
0.1,11.6,11.48,4.16,11.79,0,400,69,0,198,not valid frame,not valid frame,187834,201993
0.11,11.4,11.63,4.02,11.6,0,400,67,0,198,not valid frame,not valid frame,187386,201445
0.12,17.82,11.29,4.11,11.43,0,399,67,46,198,not valid frame,not valid frame,187386,201433
0.14,11.71,18.08,7.32,17.76,0,399,67,46,198,not valid frame,not valid frame,187386,201433
0.15,12.1,11.76,4.2,11.82,0,398,67,46,198,not valid frame,not valid frame,187386,201381
0.16,11.84,12.05,4.33,12.1,0,405,67,46,198,not valid frame,not valid frame,187386,201465
0.17,11.63,11.84,4.07,11.78,0,399,67,46,198,not valid frame,not valid frame,187386,201393
0.19,11.68,11.57,4.2,11.66,0,399,67,0,198,not valid frame,not valid frame,187386,201393
0.2,11.84,11.65,4.16,11.74,0,401,67,46,198,not valid frame,not valid frame,187386,201417
0.21,11.53,11.86,4.16,11.77,0,399,67,46,198,not valid frame,not valid frame,187386,201393
0.22,11.53,11.57,4.26,11.54,0,398,67,46,198,not valid frame,not valid frame,187386,201381
0.23,18.75,11.83,4.25,11.53,0,398,67,0,198,not valid frame,not valid frame,187386,201381
0.25,19.06,18.93,4.23,18.66,0,401,67,46,198,not valid frame,not valid frame,187386,201405
0.27,11.38,18.74,4.32,19.01,0,401,67,0,198,not valid frame,not valid frame,187386,201405
0.28,11.25,11,4.07,11.44,0,401,67,46,198,not valid frame,not valid frame,187386,201405
0.29,17.45,11.24,4.05,11.26,0,401,67,0,198,not valid frame,not valid frame,187386,201405
0.31,18.84,17.97,4.01,17.32,0,402,67,46,198,not valid frame,not valid frame,187386,201417
0.33,12.31,19.06,4.1,18.99,0,401,67,0,198,not valid frame,not valid frame,187386,201405
0.34,11.6,11.73,3.98,12.22,0,400,67,0,198,not valid frame,not valid frame,187386,201393
0.35,13.55,11.48,4.22,11.71,0,400,67,46,198,not valid frame,not valid frame,187386,201393
