Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),Context,,,,,,,,
25,13.58,13.57,6.5,13.44,0,,,,,,,,
50,13.83,13.78,7.65,13.91,0,,,,,,,,
75,14.26,14.1,8.84,14.67,0,,,,,,,,
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),Context,DrawPrimitiveCalls,MeshDrawCalls,LastRendered,LightsInScene,ShadowedLight,UnshadowedLight,StaticMeshTriangles,Triangles
0,8.57,8.16,5.86,0,0,not valid frame,not valid frame,0,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.01,8.49,8.24,6.22,9.44,0,not valid frame,not valid frame,165,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.02,8.68,8.75,10.8,11.78,0,not valid frame,not valid frame,165,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.03,12.38,8.82,6.72,9.32,0,1364,1027,0,2,1,1,60687,613796
0.04,14.1,12.93,6.47,6.9,0,1360,1031,165,2,1,1,60687,607556
0.05,14.07,14.29,13.44,15.77,0,1359,1031,165,2,1,1,60687,607480
0.07,13.55,13.28,11.11,10.37,0,1495,1028,165,2,1,1,60687,620718
0.08,13.05,13.45,11.42,13.57,0,1495,1028,165,2,1,1,60687,620718
0.09,13.56,13.25,11.04,13.59,0,1558,1060,165,2,1,1,60687,620906
0.11,13.29,13.52,9.11,13.11,0,1463,998,165,2,1,1,60687,620786
0.12,12.92,13.25,7.39,13.1,0,1463,998,0,2,1,1,60687,620786
0.13,13.68,13.59,7.13,13.53,0,1446,998,0,2,1,1,60687,620582
0.15,13.1,13,7.19,12.89,0,1465,998,0,2,1,1,60687,621776
0.16,13.26,13.2,7.27,13.6,0,1501,1028,165,2,1,1,60687,620786
0.17,13.14,13.21,7.31,13.28,0,1455,994,0,2,1,1,60687,620766
0.19,13.34,13.16,7.33,13.73,0,1493,1026,165,2,1,1,60687,620722
0.2,12.85,13.2,7.21,12.67,0,1493,1026,0,2,1,1,60687,620722
0.21,13.08,12.84,6.91,13.1,0,1462,994,0,2,1,1,60687,620842
0.23,13.56,13.29,7.72,12.95,0,1510,1025,165,2,1,1,60687,624038
0.24,13.03,13.4,7.36,13.59,0,1510,1025,0,2,1,1,60687,624038
0.25,13.13,12.93,7.98,13.68,0,1490,1028,0,2,1,1,60687,620654
0.26,13.49,13.12,14.97,13,0,1459,998,165,2,1,1,60687,620742
0.28,13.15,13.37,12.55,14.57,0,1459,998,165,2,1,1,60687,620742
0.29,13.26,13.41,10.01,13.39,0,1460,998,165,2,1,1,60687,620754
0.3,13.32,13.25,7.69,10.96,0,1545,1057,165,2,1,1,60687,635520
0.32,12.89,13.17,7.22,14.19,0,1545,1057,165,2,1,1,60687,635520
0.33,13.53,13.04,7.37,12.59,0,1455,996,0,2,1,1,60687,619350
0.34,13.99,13.52,7.68,13.04,0,1557,1064,165,2,1,1,60687,621680
0.36,13.76,13.95,7.55,13.23,0,1454,1000,0,2,1,1,60687,620676
0.37,13.19,13.66,7.95,14.45,0,1454,1000,0,2,1,1,60687,620676
0.39,13.4,13.3,7.45,12.3,0,1463,1000,165,2,1,1,60687,620772
0.4,13.22,13.28,7.27,13.83,0,1460,1000,165,2,1,1,60687,620736
0.41,13,13.19,7.14,13.94,0,1460,1000,165,2,1,1,60687,620736
0.43,13.51,13.16,7.34,13.16,0,1508,1030,0,2,1,1,60687,620840
0.44,12.95,13.31,7.21,13.56,0,1508,1030,165,2,1,1,60687,620840
0.45,13.67,13.17,7.38,13.22,0,1469,998,0,2,1,1,60687,620872
0.47,13.02,13.52,7.34,12.56,0,1469,998,0,2,1,1,60687,620872
0.48,13.2,13.03,7.05,13.84,0,1509,1030,165,2,1,1,60687,620852
0.49,13.63,13.35,7.46,12.79,0,1496,1032,0,2,1,1,60687,620742
0.51,13.2,13.53,7.31,13.8,0,1496,1032,165,2,1,1,60687,620742
0.52,13.44,13.23,7.51,13.63,0,1462,998,0,2,1,1,60687,619412
0.53,13.61,13.53,7.53,12.78,0,1551,1061,0,2,1,1,60687,635602
0.55,13.43,13.29,13.62,15.41,0,1463,998,0,2,1,1,60687,619414
0.56,13.06,13.56,7.34,11.78,0,1463,998,165,2,1,1,60687,619414
0.57,13.7,13.2,7.26,13.99,0,1500,1029,165,2,1,1,60687,635424
0.59,24.73,17.1,7.54,12.95,0,1509,1027,0,2,1,1,60687,635556
0.61,13.39,21.48,11.01,15.68,0,1509,1027,0,2,1,1,60687,635556
0.62,13.28,13.06,6.92,22.06,0,1514,1028,0,2,1,1,60687,619622
0.64,13.31,13.38,7.56,14.02,0,1442,996,0,2,1,1,60687,619194
0.65,13.32,13.24,7.32,12.87,0,1549,1059,0,2,1,1,60687,635598
0.66,13.34,13.33,7.41,13.09,0,1457,994,165,2,1,1,60687,619404
0.68,13.27,13.34,7.33,13.26,0,1548,1057,0,2,1,1,60687,622608
