Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=%,CPU temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU clock=MHz,CPU power=W,RAM usage=MB,Framerate=FPS,Frametime=ms
0,79,97,3987.84,1809.5,5508,80,45,35.9375,28.125,34.375,28.125,35.9375,46.875,32.8125,39.0625,40.625,28.125,32.8125,31.25,34.50521,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,32.69391,7979,111.9,10.253
1005,79,98,3987.465,1809.5,5508,79,52,18.75,25,29.6875,18.75,21.875,21.875,39.0625,14.0625,31.25,12.5,25,15.625,22.78646,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,28.88513,8313,112.1,9.987
2009,79,96,3987.465,1809.5,5508,78,44,39.0625,26.5625,31.25,26.5625,23.4375,31.25,20.3125,21.875,20.3125,15.625,14.0625,25,24.60938,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,24.35712,7989,111.8,9.838
3013,79,98,3987.465,1809.5,5508,80,51,29.6875,20.3125,31.25,17.1875,20.3125,28.125,31.25,28.125,25,23.4375,28.125,21.875,25.39063,799.1347,799.1347,799.1347,799.1347,799.1347,799.1347,799.1347,799.1347,799.1347,799.1347,799.1347,799.1347,799.1347,23.48065,8260,109.5,41.615
4018,78,96,3947.652,1809.5,5508,76,59,40.625,34.375,40.625,39.0625,42.1875,48.4375,53.125,50,40.625,40.625,56.25,43.75,44.14063,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,41.97137,7987,157.8,54.194
5023,75,21,4003.902,139,405,18,61,70.78002,66.16634,75.3937,72.31792,86.15896,78.46949,83.08317,84.62106,56.93898,73.8558,84.62106,95.38632,77.31607,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,64.91714,8300,149.7,281.195
6030,77,97,3975.527,1809.5,5508,76,60,87.29675,76.1814,85.70884,92.06047,90.47256,92.06047,93.64838,98.41209,80.94512,90.47256,87.29675,87.29675,88.48768,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,69.03572,8171,133.1,40.48
7037,78,97,3990.652,1809.5,5508,77,61,79.6875,73.4375,76.5625,78.125,92.1875,90.625,95.3125,92.1875,89.0625,85.9375,89.0625,93.75,86.32813,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,67.32379,8014,143.5,7.882
8043,78,97,3990.902,1809.5,5508,77,58,68.75,51.5625,57.8125,56.25,67.1875,62.5,75,71.875,59.375,57.8125,57.8125,64.0625,62.5,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,55.71637,8315,144,7.429
9048,78,97,4005.84,1809.5,5508,77,55,51.5625,42.1875,37.5,35.9375,35.9375,42.1875,45.3125,45.3125,42.1875,26.5625,43.75,42.1875,40.88542,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,41.39259,8040,143.6,7.29
10053,78,97,4008.215,1809.5,5508,80,59,59.375,39.0625,46.875,29.6875,40.625,51.5625,51.5625,46.875,50,42.1875,43.75,40.625,45.18229,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,46.35409,8448,144,7.215
11057,75,34,4007.652,139,405,18,50,39.0625,31.25,31.25,51.5625,42.1875,37.5,40.625,50,31.25,34.375,46.875,43.75,39.97396,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,44.31885,8157,105.2,194.527
