Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=W,CPU1 temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU13 usage=%,CPU14 usage=%,CPU15 usage=%,CPU16 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU13 clock=MHz,CPU14 clock=MHz,CPU15 clock=MHz,CPU16 clock=MHz,CPU clock=MHz,RAM usage=MB,Framerate=FPS,Frametime=ms
0,52,33,4657.418,203,167,17,67.75,31.25,6.250002,15.625,1.562502,15.625,0,6.250002,7.812502,7.812502,7.812502,32.8125,20.3125,10.9375,1.562502,29.6875,6.250002,12.59766,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7125,1.9,508.745
1006,52,12,4655.207,177,167,17,66.5,14.0625,25,9.375002,1.562502,7.812502,14.0625,10.9375,2.235174E-06,7.812502,26.5625,25,3.125002,40.625,2.235174E-06,12.5,9.375002,12.98828,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,7126,1.9,492.636
2013,51,22,4461.289,258,800,15,74.125,16.95374,15.41585,16.95374,0,9.264274,6.188487,7.72638,10.80217,7.72638,10.80217,55.40108,0.03691169,15.41585,7.72638,18.49164,27.719,14.164,2062.5,2062.5,2062.5,2075,2075,2075,4150,4150,2075,2075,4150,4150,2075,2075,2075,2075,4150,7006,0,0
3035,51,0,4476.09,955,800,26,72.625,38.72549,24.21311,33.88803,30.66306,54.85036,9.700725,32.27554,25.8256,48.40041,17.76316,48.40041,25.8256,43.56295,19.37565,27.43808,42.83537,32.73397,4000,4000,4000,4000,4100,4100,2050,2050,2200,2200,4050,4050,4050,4050,4175,4175,4175,7090,3.4,2103.617
4040,57,17,4624.059,1471,945,239,71.125,39.0625,18.75,46.875,10.9375,31.25,9.375002,28.125,14.0625,15.625,33.80542,23.02956,19.95074,30.7266,9.174879,24.56897,56.25,25.72304,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7134,73.5,52.53
5045,58,99,5350.77,1503,945,238,69.625,53.125,29.6875,26.5625,12.5,32.8125,12.5,25,6.250002,28.125,9.581221,33.37564,11.16751,28.61675,7.994926,17.51269,66.68782,25.09369,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7129,68.8,70.959
6052,58,99,5408.91,1559,945,239,68,43.75,14.0625,29.6875,17.1875,27.64779,15.33251,29.18719,21.49015,9.174879,19.95074,32.26601,4.556653,23.02956,16.87192,33.80542,70.75124,25.54697,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7140,75.7,16.548
7058,59,99,5417.941,1566,945,237,66.5,31.25,21.875,23.4375,12.2537,20.3125,14.0625,35.9375,14.0625,20.3125,12.5,23.4375,9.375002,21.875,12.5,18.75,62.5,22.15258,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7121,75.6,15.259
8064,59,99,5497.973,1566,945,239,65.125,28.125,14.0625,28.125,3.236043,28.61675,4.687502,17.1875,18.75,20.3125,20.3125,21.875,12.5,18.75,6.250002,29.6875,51.5625,20.25252,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7145,75,16.835
9069,56,99,5708.426,1252,800,78,64.125,41.50246,16.87192,26.10838,12.2537,38.42365,4.687502,34.375,10.9375,28.125,10.9375,37.5,9.375002,28.125,6.250002,21.875,60.9375,24.26782,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7176,50.7,93.568
10074,55,38,5707.184,1122,800,84,63.75,33.37564,7.994926,31.78934,4.822337,30.20305,4.687502,26.5625,6.250002,26.5625,6.250002,32.8125,4.687502,28.125,6.250002,12.5,65.625,20.53111,3975,3950,1975,1975,3925,3925,1937.5,1937.5,3750,3750,3750,3750,2142.857,2142.857,3750,3750,3975,7186,39.7,50.556
11080,57,39,5738.574,1313,945,212,63.75,57.8125,9.375002,50,4.687502,40.625,12.5,35.9375,17.1875,42.1875,6.250002,34.375,17.1875,29.6875,9.375002,18.75,70.3125,28.51563,4150,4150,2075,2075,4150,4150,2075,2075,2062.5,2062.5,4125,4125,2062.5,2062.5,4125,4125,4150,7189,49.9,45.853
12087,58,87,5754.637,1520,945,238,64.5,75.36946,32.26601,66.133,39.96305,64.5936,40.625,68.75,37.5,68.75,31.25,73.4375,28.125,54.6875,37.5,53.125,85.9375,53.62579,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7196,63.7,24.494
13097,59,99,5754.637,1559,945,239,74.25,79.6875,28.125,75,21.875,78.125,17.1875,78.125,29.6875,62.5,39.0625,65.625,25,70.3125,25,43.75,87.5,51.66016,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,7197,74.5,17.798
14112,60,98,5754.637,1555,945,237,72.625,44.4797,12.75381,44.4797,9.581221,38.13452,9.581221,39.72081,11.16751,31.78934,9.581221,47.65229,11.16751,37.5,10.9375,34.375,39.0625,26.99774,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7198,77,14.023
15119,58,98,6322.234,1449,800,87,71.25,26.5625,14.0625,26.5625,4.687502,29.6875,4.687502,27.64779,6.096061,24.56897,9.174879,26.10838,7.63547,21.875,3.125002,23.4375,34.375,18.14338,4075,4075,4075,4075,4075,4075,4075,4075,2037.5,2037.5,4075,4075,4075,4075,4075,4075,4075,7214,70.7,78.06
16127,59,27,6497.734,1510,945,226,69.625,46.875,18.75,48.4375,20.3125,56.25,17.1875,46.06599,17.51269,39.72081,17.51269,34.96193,25,50,14.0625,29.6875,65.625,34.2476,2200,2200,2200,2200,2200,2200,2200,2200,2112.5,2112.5,4225,4225,4225,4225,4225,4225,4225,7273,33.7,155.164
17134,59,94,6545.492,1596,945,229,68.125,62.5,15.625,51.5625,15.625,56.25,18.75,56.25,17.1875,51.5625,25,50,18.75,57.8125,20.3125,31.25,82.8125,39.45313,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7299,52.7,22.457
18142,60,99,6570.887,1609,945,226,67.25,71.875,35.9375,64.0625,28.125,60.9375,31.25,56.25,23.4375,64.5936,26.10838,67.67242,32.8125,67.1875,31.25,53.125,84.375,49.93746,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7312,58.9,20.618
19149,60,99,6486.781,1608,945,233,66.5,56.25,12.5,48.4375,25,45.3125,15.625,42.1875,15.625,40.625,15.625,50,17.1875,50,10.9375,32.8125,64.0625,33.88672,3975,3975,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,3975,4000,7311,64.7,22.387
20159,60,99,6489.039,1608,945,226,66.125,43.75,9.375002,43.75,15.625,39.0625,23.4375,35.9375,21.49015,29.6875,15.625,32.8125,18.75,37.5,15.625,10.9375,60.9375,28.39392,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7311,64.2,18.448
21165,60,99,6488.539,1607,945,234,65.75,54.6875,25,51.5625,18.75,59.375,25,53.125,20.68528,53.125,25,53.125,17.1875,65.625,12.5,35.9375,67.1875,39.86705,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7311,64.5,16.506
22173,60,99,6512.34,1608,945,229,65.75,48.4375,15.625,43.75,18.75,47.6601,9.174879,43.04187,16.87192,45.3125,17.1875,46.875,10.9375,39.0625,21.875,28.125,64.0625,32.2968,3975,3975,3975,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7312,63.4,16.895
23181,61,99,6512.074,1607,945,234,65.75,82.8125,18.75,73.4375,21.875,74.61929,18.75,73.4375,21.875,70.3125,20.3125,79.6875,14.0625,75,14.0625,29.6875,87.5,48.51136,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7312,63.5,16.645
24191,61,99,6507.816,1607,945,231,65.875,64.5936,32.26601,63.05419,30.7266,64.5936,26.5625,62.5,20.3125,54.6875,26.5625,64.0625,18.75,65.625,17.1875,56.25,68.75,46.03025,3975,3975,3975,3975,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7309,63.2,18.717
25198,61,99,6486.559,1607,945,230,65.875,63.51523,19.09899,39.72081,11.16751,47.65229,7.994926,50.82487,11.16751,49.23858,14.3401,42.8934,12.75381,41.30711,14.3401,41.30711,55.58376,32.68163,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7309,62.5,17.987
26206,61,99,6484.563,1608,945,229,66,56.25,28.125,57.8125,26.5625,59.375,14.0625,54.6875,20.3125,48.4375,20.3125,57.8125,23.4375,56.25,21.49015,33.80542,86.14532,41.5549,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7308,61,17.944
27214,61,99,6489.816,1609,945,228,66,59.375,28.125,53.125,25,56.25,12.5,35.9375,25,43.75,20.3125,48.4375,12.5,54.6875,12.5,21.875,84.375,37.10938,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7308,56.6,20.157
28224,61,99,6462.254,1610,945,225,66,65.625,12.5,68.75,14.0625,46.875,14.0625,54.6875,15.625,46.875,21.875,53.125,15.625,50,11.16751,22.27158,87.30965,37.52726,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7304,52.2,22.582
29231,61,99,6425.664,1610,945,229,66,57.8125,34.375,62.5,14.0625,56.25,23.4375,53.125,28.125,51.5625,15.625,50.73892,18.41133,50.73892,24.56897,29.18719,84.60591,40.94539,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,4000,4000,7304,51.9,20.45
30237,61,99,6445.789,1606,945,236,66,54.6875,10.9375,62.5,12.5,51.5625,21.875,51.5625,14.0625,48.4375,9.375002,44.4797,17.1875,46.875,12.5,21.875,82.8125,35.20186,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7318,47.5,22.951
31246,61,99,6497.668,1607,945,230,66,62.5,18.75,59.375,26.5625,51.5625,25,45.3125,23.4375,42.1875,10.9375,53.125,14.3401,50,17.1875,34.375,75,38.10329,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,3975,4000,4000,3975,3975,3975,4000,7328,45.7,23.405
32252,61,99,6520.953,1607,945,230,66,53.125,23.4375,53.125,18.75,54.6875,15.625,48.4375,12.5,50,21.875,50,15.625,42.8934,14.3401,31.78934,61.92894,35.50871,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7342,44.4,24.468
33259,61,99,6532.738,1606,945,231,66,56.25,9.375002,56.25,7.812502,43.75,9.375002,46.875,10.9375,39.0625,12.5,48.4375,7.812502,39.0625,12.5,32.8125,65.625,31.15234,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7342,43.8,26.097
34265,62,99,6500.434,1606,945,234,66,44.58128,21.49015,47.6601,9.174879,50.73892,12.2537,44.58128,12.2537,47.6601,12.2537,44.58128,7.63547,43.04187,7.63547,30.7266,76.90887,32.07358,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7344,44.3,24.055
35271,62,98,6476.941,1605,945,233,66,65.10152,12.75381,53.125,9.375002,48.4375,10.9375,43.75,6.250002,48.4375,12.5,43.75,9.375002,43.75,10.9375,34.375,73.4375,32.8933,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7338,43.8,23.468
36280,62,99,6438.547,1604,945,233,65.875,59.375,23.4375,50.82487,23.85787,53.99746,14.3401,47.65229,17.51269,47.65229,7.994926,47.65229,12.75381,42.8934,14.3401,31.25,73.4375,35.56076,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7333,44.1,24.447
37287,62,99,6454.398,1604,945,235,65.875,62.5,21.875,40.625,20.3125,48.4375,7.812502,43.75,17.1875,42.1875,15.625,43.75,17.1875,50.73892,16.87192,31.25,79.6875,34.9874,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7347,44.7,24.054
38295,62,99,6424.305,1606,945,237,66,60.9375,29.6875,62.5,15.625,56.25,18.75,46.875,18.75,46.875,20.3125,57.8125,18.75,42.8934,15.9264,46.875,70.3125,39.32077,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7346,43.4,25.91
39302,62,99,6434.219,1604,945,233,66,50,15.625,59.375,14.0625,54.6875,12.5,46.875,16.87192,46.12069,10.71429,39.96305,10.71429,38.42365,9.174879,18.75,68.75,32.03799,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7347,43.9,24.272
40309,62,99,6445.961,1603,945,236,66,60.9375,23.4375,54.6875,17.1875,62.5,20.3125,43.75,15.9264,46.06599,15.625,48.4375,14.0625,50,20.3125,37.5,81.25,38.24952,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7340,43.8,25.905
41317,63,98,6473.242,1604,945,234,66,63.05419,21.49015,58.43596,15.33251,53.81773,19.95074,50.73892,21.49015,52.27833,14.0625,45.3125,21.875,46.875,12.5,35.9375,73.4375,37.91179,4000,4000,4000,4000,4000,4000,4000,4000,3975,3975,4000,4000,4000,4000,4000,4000,4000,7340,43.5,24.023
42324,62,99,6442.695,1603,945,236,66,57.17005,23.85787,57.17005,15.9264,42.8934,20.68528,50.82487,17.51269,50,25,43.75,10.9375,50,17.1875,29.6875,67.1875,36.23692,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7350,44.2,24.141
43334,62,99,6461.969,1605,945,232,66,64.0625,9.375002,62.5,20.3125,54.6875,15.625,48.4375,9.375002,41.30711,15.625,45.3125,9.375002,42.1875,18.75,25,73.4375,34.7106,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7354,44.4,24.493
44341,62,99,6481.281,1606,945,230,66,50,21.875,54.6875,25,57.8125,12.5,48.4375,14.0625,45.3125,12.75381,50.82487,9.375002,46.875,14.0625,40.625,75,36.20023,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7359,44,25.532
45356,62,99,6459.555,1604,945,234,66,57.8125,21.875,64.0625,14.0625,53.125,14.0625,56.25,18.75,54.6875,20.3125,53.125,20.68528,46.06599,6.408631,41.30711,66.68782,38.07999,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7363,44.7,24.413
46371,62,99,6435.176,1603,945,234,66.125,63.05419,18.41133,64.5936,12.2537,64.5936,26.10838,53.81773,13.79311,52.27833,24.56897,50.73892,16.87192,53.81773,13.79311,38.42365,76.90887,40.25169,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7363,45.8,24.078
