Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=%,CPU temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU clock=MHz,CPU power=W,RAM usage=MB,Framerate=FPS,Frametime=ms
0,65,11,4656.09,164.5,405,14,49,35.50052,19.37565,35.50052,25.8256,38.72549,12.9257,35.50052,22.19258,38.07165,15.84096,53.95071,26.9563,30.03052,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,42.30059,8040,0,0
318,64,7,4656.277,164.5,405,13,50,33.31717,22.70854,21.19302,16.64646,15.13094,9.068868,12.09991,1.574805,9.264274,9.264274,12.34006,6.188487,14.0664,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,29.24137,8061,0,0
622,64,7,4656.277,164.5,405,13,50,33.31717,22.70854,21.19302,16.64646,15.13094,9.068868,12.09991,1.574805,9.264274,9.264274,12.34006,6.188487,14.0664,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,29.24137,8061,0,0
926,64,7,4656.277,164.5,405,13,50,33.31717,22.70854,21.19302,16.64646,15.13094,9.068868,12.09991,1.574805,9.264274,9.264274,12.34006,6.188487,14.0664,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,29.24137,8061,0,0
1230,64,7,4656.277,164.5,405,13,50,33.31717,22.70854,21.19302,16.64646,15.13094,9.068868,12.09991,1.574805,9.264274,9.264274,12.34006,6.188487,14.0664,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,29.24137,8061,0,0
1535,64,7,4656.277,139,405,13,50,36.48374,17.42886,19.01677,7.901425,11.07724,7.901425,9.489331,9.489331,4.725612,3.137705,12.66514,6.313519,12.13584,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,28.27801,8069,0,0
2034,64,7,4656.277,139,405,13,50,36.48374,17.42886,19.01677,7.901425,11.07724,7.901425,9.489331,9.489331,4.725612,3.137705,12.66514,6.313519,12.13584,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,28.27801,8069,0,0
2353,64,7,4656.277,139,405,13,50,36.48374,17.42886,19.01677,7.901425,11.07724,7.901425,9.489331,9.489331,4.725612,3.137705,12.66514,6.313519,12.13584,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,28.27801,8069,0,0
2677,64,1,4507.777,139,405,13,49,41.92956,8.167677,10.86863,2.765776,10.86863,1.4153,14.92005,2.765776,10.86863,5.466726,8.167677,13.56958,10.98117,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,27.04185,8022,0,0
3103,64,1,4507.777,139,405,13,49,41.92956,8.167677,10.86863,2.765776,10.86863,1.4153,14.92005,2.765776,10.86863,5.466726,8.167677,13.56958,10.98117,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,27.04185,8022,0,0
3408,68,90,4433.34,1797,5508,79,51,37.72645,16.9686,28.29107,13.19445,37.72645,15.08152,35.83937,9.420292,22.62983,20.74276,35.83937,16.9686,24.2024,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,33.4786,8070,3.9,11782.03
3713,68,90,4433.34,1797,5508,79,51,37.72645,16.9686,28.29107,13.19445,37.72645,15.08152,35.83937,9.420292,22.62983,20.74276,35.83937,16.9686,24.2024,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,33.4786,8070,3.9,11782.03
4017,68,90,4433.34,1797,5508,79,51,37.72645,16.9686,28.29107,13.19445,37.72645,15.08152,35.83937,9.420292,22.62983,20.74276,35.83937,16.9686,24.2024,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,33.4786,8070,3.9,11782.03
4322,71,98,4433.34,1822.5,5508,84,50,32.8125,21.875,29.6875,29.6875,28.125,17.1875,39.0625,21.875,29.6875,17.1875,28.125,20.3125,26.30208,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,30.74469,8071,123,20.23
4626,71,98,4433.34,1822.5,5508,84,50,32.8125,21.875,29.6875,29.6875,28.125,17.1875,39.0625,21.875,29.6875,17.1875,28.125,20.3125,26.30208,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,30.74469,8071,123,20.23
4931,71,98,4433.34,1822.5,5508,84,50,32.8125,21.875,29.6875,29.6875,28.125,17.1875,39.0625,21.875,29.6875,17.1875,28.125,20.3125,26.30208,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,30.74469,8071,123,20.23
