Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=%,CPU temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU clock=MHz,CPU power=W,RAM usage=MB,Framerate=FPS,Frametime=ms
0,83,100,4301.348,1721,5508,88,55,31.25,20.3125,40.625,37.5,35.9375,40.625,39.0625,25,34.375,20.3125,34.375,23.4375,31.90104,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,40.02856,6946,0,0
318,83,100,4301.348,1721,5508,88,55,31.25,20.3125,40.625,37.5,35.9375,40.625,39.0625,25,34.375,20.3125,34.375,23.4375,31.90104,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,40.02856,6946,0,0
622,84,100,4303.035,1721,5508,88,46,28.61675,9.581221,20.68528,14.3401,25.44416,9.581221,15.9264,7.994926,15.9264,9.581221,19.09899,9.581221,15.52982,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,20.14705,6949,0,0
926,84,100,4303.035,1721,5508,88,46,28.61675,9.581221,20.68528,14.3401,25.44416,9.581221,15.9264,7.994926,15.9264,9.581221,19.09899,9.581221,15.52982,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,20.14705,6949,0,0
1230,84,100,4303.035,1721,5508,88,46,28.61675,9.581221,20.68528,14.3401,25.44416,9.581221,15.9264,7.994926,15.9264,9.581221,19.09899,9.581221,15.52982,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,20.14705,6949,0,0
1677,82,82,4289.848,1784.5,5508,48,52,12.2537,9.174879,38.42365,15.33251,15.33251,12.2537,16.87192,6.096061,13.79311,7.63547,21.49015,6.096061,14.56281,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,18.96449,6890,0,0
1993,82,82,4289.848,1784.5,5508,48,52,12.2537,9.174879,38.42365,15.33251,15.33251,12.2537,16.87192,6.096061,13.79311,7.63547,21.49015,6.096061,14.56281,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,18.96449,6890,0,0
2357,82,82,4289.848,1784.5,5508,48,52,12.2537,9.174879,38.42365,15.33251,15.33251,12.2537,16.87192,6.096061,13.79311,7.63547,21.49015,6.096061,14.56281,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,18.96449,6890,0,0
2662,80,14,4079.598,1480.5,5508,66,55,19.09899,6.408631,28.61675,4.822337,20.68528,7.994926,44.4797,12.75381,22.27158,4.822337,20.68528,17.51269,17.51269,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,25.38062,6941,0.1,232237.9
2966,80,14,4079.598,1480.5,5508,66,55,19.09899,6.408631,28.61675,4.822337,20.68528,7.994926,44.4797,12.75381,22.27158,4.822337,20.68528,17.51269,17.51269,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,25.38062,6941,0.1,232237.9
