Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=%,CPU temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU clock=MHz,CPU power=W,RAM usage=MB,Framerate=FPS,Frametime=ms
0,84,98,4292.664,1759,5508,89,48,46.06599,31.78934,49.23858,25.44416,50.82487,22.27158,34.96193,25.44416,39.72081,23.85787,36.54823,30.20305,34.69754,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,36.04897,7377,152.9,9.514
304,84,98,4292.664,1759,5508,89,48,46.06599,31.78934,49.23858,25.44416,50.82487,22.27158,34.96193,25.44416,39.72081,23.85787,36.54823,30.20305,34.69754,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,36.04897,7377,152.9,9.514
608,83,97,4292.852,1759,5508,88,47,17.1875,7.812502,17.1875,6.250002,15.625,4.687502,9.375002,3.125002,31.25,4.687502,10.9375,7.812502,11.32813,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,21.28534,7389,153.7,8.491
912,83,97,4292.852,1759,5508,88,47,17.1875,7.812502,17.1875,6.250002,15.625,4.687502,9.375002,3.125002,31.25,4.687502,10.9375,7.812502,11.32813,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,21.28534,7389,153.7,8.491
1217,83,97,4292.852,1759,5508,88,47,17.1875,7.812502,17.1875,6.250002,15.625,4.687502,9.375002,3.125002,31.25,4.687502,10.9375,7.812502,11.32813,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,21.28534,7389,153.7,8.491
1681,81,15,4219.102,1733.5,5508,48,50,21.37466,7.079142,11.3678,8.508694,14.2269,5.64959,14.2269,11.3678,39.95883,8.508694,11.3678,19.94511,14.46516,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,20.8657,7347,154.2,8.786
2015,81,15,4219.102,1733.5,5508,48,50,21.37466,7.079142,11.3678,8.508694,14.2269,5.64959,14.2269,11.3678,39.95883,8.508694,11.3678,19.94511,14.46516,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,20.8657,7347,154.2,8.786
2320,81,15,4219.102,1733.5,5508,48,50,21.37466,7.079142,11.3678,8.508694,14.2269,5.64959,14.2269,11.3678,39.95883,8.508694,11.3678,19.94511,14.46516,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,20.8657,7347,154.2,8.786
2625,83,97,4158.402,1797,5508,96,48,22.47795,10.41897,17.30981,8.696254,20.75524,13.86439,36.25965,13.86439,36.25965,15.5871,24.20066,13.86439,19.46321,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,27.23958,7378,73.3,690.024
2936,83,97,4158.402,1797,5508,96,48,22.47795,10.41897,17.30981,8.696254,20.75524,13.86439,36.25965,13.86439,36.25965,15.5871,24.20066,13.86439,19.46321,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,27.23958,7378,73.3,690.024
