Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=W,CPU1 temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU13 usage=%,CPU14 usage=%,CPU15 usage=%,CPU16 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU13 clock=MHz,CPU14 clock=MHz,CPU15 clock=MHz,CPU16 clock=MHz,CPU clock=MHz,RAM usage=MB,Framerate=FPS,Frametime=ms
0,51,23,5724.098,160,167,16,62.5,17.1875,15.625,23.4375,3.125002,4.687502,3.125002,20.3125,3.125002,12.2537,3.125002,21.875,1.562502,18.75,2.235174E-06,3.125002,15.625,10.43383,1985.714,1957.143,3425,3425,3425,3425,1957.143,1957.143,1957.143,1957.143,3425,3425,3425,3425,1957.143,1957.143,3425,7105,0,0
1004,51,22,5712.926,154,167,16,62.375,18.75,19.95074,15.33251,3.017244,21.49015,3.017244,15.33251,3.017244,18.75,1.562502,25,2.235174E-06,18.75,4.687502,7.812502,15.625,12.00595,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7110,0,0
2012,51,10,5730.137,162,167,15,62,14.0625,12.75381,12.75381,0.06345401,17.51269,0.06345401,15.9264,0,20.68528,1.562502,28.125,2.235174E-06,18.75,3.125002,1.562502,9.375002,9.770087,1975,1987.5,3975,3975,3975,3975,3975,3975,1987.5,1987.5,3925,3925,1962.5,1962.5,1962.5,1962.5,3975,7112,0,0
3018,51,26,5730.887,158,167,16,61.875,14.0625,12.5,18.75,3.125002,12.5,2.235174E-06,17.1875,4.687502,7.812502,0.06345401,25,2.235174E-06,18.75,1.562502,3.125002,10.9375,9.378967,3575,3575,2042.857,2042.857,3575,3575,2042.857,2042.857,3575,3575,3575,3575,2042.857,2042.857,3575,3575,3575,7112,0,0
4022,54,25,5711.371,1146,945,241,61.375,7.812502,7.812502,14.0625,1.562502,12.5,3.125002,9.375002,7.812502,12.2537,7.63547,20.3125,1.562502,7.812502,3.125002,6.250002,17.1875,8.762605,4125,4125,4125,4125,4125,4125,2062.5,2062.5,2062.5,2062.5,4125,4125,4125,4125,4125,4125,4125,7081,4.3,7027.215
5027,57,100,5712.371,1477,945,240,60.5,10.71429,9.174879,9.174879,4.556653,7.63547,3.017244,10.71429,7.63547,1.562502,1.562502,18.75,4.687502,3.125002,6.250002,4.687502,15.625,7.429574,3975,3975,3975,3975,1987.5,1987.5,1987.5,1987.5,1987.5,1987.5,3975,3975,1987.5,1987.5,3975,3975,3975,7080,72.4,26.465
6032,54,100,5923.395,1256,945,130,60.375,17.1875,23.4375,20.3125,1.562502,14.0625,0,35.9375,3.125002,10.9375,3.125002,28.125,6.250002,18.75,3.125002,6.250002,21.875,13.37891,4100,4100,4100,4100,4100,4100,2050,2050,2050,2050,2050,2050,4100,4100,4100,4100,4100,7064,45.8,226.003
7038,57,99,5938.699,1502,945,240,61,21.875,17.1875,28.125,14.0625,26.5625,7.812502,21.875,14.0625,26.5625,23.4375,35.9375,3.125002,18.75,15.625,18.75,59.375,22.07031,2037.5,2037.5,4100,4100,2050,2075,2075,2075,2075,2075,4150,4150,2075,2075,4150,4125,4150,7116,45.6,23.587
8044,58,99,5941.957,1531,945,240,70.5,42.1875,10.9375,15.625,14.0625,26.5625,32.8125,15.625,7.812502,15.625,1.562502,29.6875,21.875,17.1875,9.375002,17.1875,26.5625,19.04297,3400,3400,1942.857,1942.857,4125,4125,2062.5,2062.5,2062.5,2062.5,4125,4125,2800,2800,4200,4200,4200,7124,41.1,24.923
9055,58,99,5953.965,1530,945,240,69.25,23.85787,12.5,20.3125,17.1875,17.1875,4.687502,17.1875,1.562502,20.3125,6.250002,18.75,23.4375,17.1875,6.250002,18.75,37.5,16.43252,4125,4125,4125,4100,2050,2050,2050,2050,2050,2050,2062.5,2062.5,2062.5,2062.5,4125,4125,4125,7210,40.2,25.221
