Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=%,CPU temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU clock=MHz,CPU power=W,RAM usage=MB,Framerate=FPS,Frametime=ms
0,50,5,4390.371,139,405,10,42,25.3684,19.01677,26.9563,12.66514,17.42886,12.66514,22.19258,28.54421,11.07724,11.07724,14.25305,30.13212,19.28142,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,33.94411,5809,0,0
1003,50,3,4389.996,139,405,10,52,28.125,23.4375,39.0625,25,20.3125,6.250002,18.75,6.250002,10.9375,12.5,21.875,7.812502,18.35938,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,31.1781,6147,0,0
2007,50,3,4389.996,139,405,10,44,31.25,25,32.8125,10.9375,25,7.812502,9.375002,7.812502,10.9375,1.562502,7.812502,6.250002,14.71354,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,29.13806,5834,0,0
3011,50,7,4389.996,139,405,10,49,26.50518,20.62559,20.62559,11.80621,17.6858,13.27611,13.27611,2.986832,11.80621,7.396522,5.926625,23.56538,14.62351,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,28.9627,6159,0,0
4206,54,99,4390.434,1797,5508,81,44,28.29509,16.6222,11.61953,31.63021,23.29243,23.29243,26.62754,3.281752,11.61953,8.28442,8.28442,24.95998,18.15079,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,31.95155,5924,0.4,56041.79
5210,58,99,4390.434,1847.5,5508,86,52,25,17.1875,12.5,14.0625,17.1875,23.4375,18.75,18.75,17.1875,14.0625,14.0625,12.5,17.05729,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,20.83588,6281,70.3,15.155
6215,59,98,4390.434,1835,5508,86,40,15.625,15.625,21.875,12.5,25,18.75,25,25,10.9375,12.5,10.9375,21.875,17.96875,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,22.96912,5684,70.3,14.8
7220,60,99,4426.797,1835,5508,86,51,20.3125,20.3125,17.1875,15.625,23.4375,14.0625,25,17.1875,12.5,6.250002,15.625,9.375002,16.40625,1997.837,1997.837,1997.837,1997.837,2397.404,2397.404,2397.404,2397.404,2397.404,2397.404,2397.404,2796.971,2796.971,18.67255,5914,69.8,18.377
8224,60,99,4426.797,1835,5508,84,43,23.4375,12.5,12.5,7.812502,21.875,20.3125,26.5625,7.812502,21.875,32.8125,12.5,9.375002,17.44792,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,23.1474,5662,66.9,15.192
9228,61,99,4386.441,1835,5508,87,49,25,29.6875,29.6875,29.6875,43.75,23.4375,35.9375,48.4375,26.5625,31.25,46.875,42.1875,34.375,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,33.02039,5781,89.4,46.942
10234,59,99,4806.852,1835,5508,80,57,53.125,51.5625,46.875,42.1875,59.375,62.5,56.25,56.25,60.9375,60.9375,60.9375,70.3125,56.77083,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,53.53607,5748,56.9,231.245
11239,61,99,4836.836,1835,5508,85,59,56.25,64.0625,64.0625,67.1875,64.0625,78.125,75,84.375,65.625,79.6875,64.0625,79.6875,70.18229,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,61.47839,5779,50.5,20.387
12245,62,99,4829.211,1835,5508,83,57,54.6875,56.25,51.5625,57.8125,50,62.5,62.5,81.25,60.9375,56.25,57.8125,59.375,59.24479,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,54.55347,6098,49.9,21.143
13250,62,99,4844.777,1835,5508,86,49,25,14.0625,18.75,9.375002,12.5,17.1875,20.3125,23.4375,12.5,17.1875,21.875,26.5625,18.22917,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,27.1239,5829,50.1,20.452
14257,62,99,4847.465,1835,5508,88,53,21.875,29.6875,29.6875,12.5,18.75,25,32.8125,42.1875,31.25,26.5625,20.3125,25,26.30209,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,32.81476,6297,50,20.276
15263,61,10,4917.332,1835,5508,37,50,32.8125,17.1875,15.625,26.5625,28.125,39.0625,28.125,28.125,12.5,23.4375,21.875,26.5625,25,4092.907,4092.907,4092.907,4092.907,4092.907,4092.907,4092.907,4092.907,4092.907,4092.907,4092.907,4092.907,4092.907,32.1004,6030,36.8,219.29
16269,63,99,5064.84,1835,5508,66,53,29.6875,42.1875,32.8125,32.8125,39.0625,26.5625,39.0625,43.75,23.4375,31.25,37.5,34.375,34.375,4092.907,4092.907,4092.907,4092.907,4092.907,4092.907,4092.907,4092.907,4092.907,4092.907,4092.907,4092.907,4092.907,39.52155,6555,44.5,81.616
