Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=%,CPU temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU clock=MHz,CPU power=W,RAM usage=MB,Framerate=FPS,Frametime=ms
0,63,0,5170.129,1480.5,5508,42,43,23.4375,18.75,1.562502,6.250002,14.0625,1.562502,14.0625,6.250002,9.375002,3.125002,6.250002,7.812502,9.375001,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,16.42847,6484,0,0
318,63,0,5170.129,1480.5,5508,42,43,23.4375,18.75,1.562502,6.250002,14.0625,1.562502,14.0625,6.250002,9.375002,3.125002,6.250002,7.812502,9.375001,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,16.42847,6484,0,0
622,63,1,5170.316,1480.5,5508,42,45,17.1875,4.687502,23.4375,26.5625,12.5,14.0625,10.9375,3.125002,4.687502,7.812502,12.5,4.687502,11.84896,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,18.13611,6487,0,0
926,63,1,5170.316,1480.5,5508,42,45,17.1875,4.687502,23.4375,26.5625,12.5,14.0625,10.9375,3.125002,4.687502,7.812502,12.5,4.687502,11.84896,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,18.13611,6487,0,0
1230,63,1,5170.316,1480.5,5508,42,45,17.1875,4.687502,23.4375,26.5625,12.5,14.0625,10.9375,3.125002,4.687502,7.812502,12.5,4.687502,11.84896,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,18.13611,6487,0,0
1534,62,0,5171.129,1354,5508,41,43,21.49015,15.33251,21.49015,10.71429,24.56897,7.63547,9.174879,7.63547,12.2537,6.096061,9.174879,7.63547,12.76683,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,19.48849,6497,0,0
1838,62,0,5171.129,1354,5508,41,43,21.49015,15.33251,21.49015,10.71429,24.56897,7.63547,9.174879,7.63547,12.2537,6.096061,9.174879,7.63547,12.76683,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,19.48849,6497,0,0
2143,62,0,5171.129,1354,5508,41,43,21.49015,15.33251,21.49015,10.71429,24.56897,7.63547,9.174879,7.63547,12.2537,6.096061,9.174879,7.63547,12.76683,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,19.48849,6497,0,0
2447,62,0,5171.129,1354,5508,41,43,21.49015,15.33251,21.49015,10.71429,24.56897,7.63547,9.174879,7.63547,12.2537,6.096061,9.174879,7.63547,12.76683,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,19.48849,6497,0,0
2751,61,9,5170.941,139,405,14,42,35.9375,12.5,18.75,6.250002,10.9375,7.812502,7.812502,3.125002,14.0625,3.125002,14.0625,7.812502,11.84896,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,21.63208,6499,0,0
