Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=%,CPU temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU clock=MHz,CPU power=W,RAM usage=MB,Framerate=FPS,Frametime=ms
0,84,100,4837.785,1733.5,5508,92,51,30.7266,12.2537,39.96305,18.41133,46.12069,16.87192,30.7266,12.2537,19.95074,15.33251,23.02956,21.49015,23.92755,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,32.88328,7790,0,0
322,83,100,4837.348,1670.5,5508,82,48,22.27158,7.994926,14.3401,6.408631,31.78934,6.408631,23.85787,6.408631,15.9264,9.581221,11.16751,4.822337,13.41477,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,26.04894,7858,0,0
626,83,100,4837.348,1670.5,5508,82,48,22.27158,7.994926,14.3401,6.408631,31.78934,6.408631,23.85787,6.408631,15.9264,9.581221,11.16751,4.822337,13.41477,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,26.04894,7858,0,0
931,83,100,4837.348,1670.5,5508,82,48,22.27158,7.994926,14.3401,6.408631,31.78934,6.408631,23.85787,6.408631,15.9264,9.581221,11.16751,4.822337,13.41477,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,26.04894,7858,0,0
1236,83,100,4709.41,1721,5508,50,51,10.58439,3.006792,28.77061,3.006792,13.61542,4.522311,13.61542,1.491273,6.037829,9.068868,9.068868,4.522311,8.942575,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,18.01354,7860,0,0
1542,83,100,4709.41,1721,5508,50,51,10.58439,3.006792,28.77061,3.006792,13.61542,4.522311,13.61542,1.491273,6.037829,9.068868,9.068868,4.522311,8.942575,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,18.01354,7860,0,0
1848,83,100,4709.41,1721,5508,50,51,10.58439,3.006792,28.77061,3.006792,13.61542,4.522311,13.61542,1.491273,6.037829,9.068868,9.068868,4.522311,8.942575,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,18.01354,7860,0,0
2152,84,98,4848.16,1771.5,5508,96,50,11.07724,3.137705,61.89024,4.725612,14.25305,4.725612,7.901425,6.313519,12.66514,4.725612,14.25305,7.901425,12.79747,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,22.86201,7844,0.2,247769.2
2456,84,98,4848.16,1771.5,5508,96,50,11.07724,3.137705,61.89024,4.725612,14.25305,4.725612,7.901425,6.313519,12.66514,4.725612,14.25305,7.901425,12.79747,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,22.86201,7844,0.2,247769.2
2760,84,98,4848.16,1771.5,5508,96,50,11.07724,3.137705,61.89024,4.725612,14.25305,4.725612,7.901425,6.313519,12.66514,4.725612,14.25305,7.901425,12.79747,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,22.86201,7844,0.2,247769.2
3064,84,98,4848.16,1771.5,5508,96,50,11.07724,3.137705,61.89024,4.725612,14.25305,4.725612,7.901425,6.313519,12.66514,4.725612,14.25305,7.901425,12.79747,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,22.86201,7844,0.2,247769.2
3369,82,79,3650.285,1797,5508,73,54,25,7.812502,76.5625,17.1875,21.875,9.375002,7.812502,6.250002,23.4375,9.375002,7.812502,12.5,18.75,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,29.18427,7859,1900.1,70.434
3674,82,79,3650.285,1797,5508,73,54,25,7.812502,76.5625,17.1875,21.875,9.375002,7.812502,6.250002,23.4375,9.375002,7.812502,12.5,18.75,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,29.18427,7859,1900.1,70.434
3978,82,79,3650.285,1797,5508,73,54,25,7.812502,76.5625,17.1875,21.875,9.375002,7.812502,6.250002,23.4375,9.375002,7.812502,12.5,18.75,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,29.18427,7859,1900.1,70.434
4282,82,81,3699.285,1797,5508,69,57,23.85787,11.16751,73.033,17.51269,34.96193,7.994926,19.09899,0.06345401,25.44416,11.16751,4.822337,7.994926,19.75994,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,32.03007,7884,1747.1,27.603
4586,82,81,3699.285,1797,5508,69,57,23.85787,11.16751,73.033,17.51269,34.96193,7.994926,19.09899,0.06345401,25.44416,11.16751,4.822337,7.994926,19.75994,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,32.03007,7884,1747.1,27.603
4891,82,81,3699.285,1797,5508,69,57,23.85787,11.16751,73.033,17.51269,34.96193,7.994926,19.09899,0.06345401,25.44416,11.16751,4.822337,7.994926,19.75994,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,32.03007,7884,1747.1,27.603
5195,82,80,3851.285,1797,5508,74,57,21.875,7.812502,81.25,20.3125,23.4375,4.687502,18.75,9.375002,28.125,1.562502,6.250002,20.3125,20.3125,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,33.71722,7905,1944.1,2.204
5500,82,80,3851.285,1797,5508,74,57,21.875,7.812502,81.25,20.3125,23.4375,4.687502,18.75,9.375002,28.125,1.562502,6.250002,20.3125,20.3125,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,33.71722,7905,1944.1,2.204
5805,82,80,3851.285,1797,5508,74,57,21.875,7.812502,81.25,20.3125,23.4375,4.687502,18.75,9.375002,28.125,1.562502,6.250002,20.3125,20.3125,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,33.71722,7905,1944.1,2.204
6110,82,80,3933.348,1797,5508,74,55,15.625,3.125002,56.25,29.6875,21.875,9.375002,43.75,12.5,23.4375,12.5,21.875,10.9375,21.74479,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,34.22247,8029,1934.4,98.647
6415,82,80,3933.348,1797,5508,74,55,15.625,3.125002,56.25,29.6875,21.875,9.375002,43.75,12.5,23.4375,12.5,21.875,10.9375,21.74479,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,34.22247,8029,1934.4,98.647
6720,82,80,3933.348,1797,5508,74,55,15.625,3.125002,56.25,29.6875,21.875,9.375002,43.75,12.5,23.4375,12.5,21.875,10.9375,21.74479,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,34.22247,8029,1934.4,98.647
7024,82,80,3933.348,1797,5508,74,55,15.625,3.125002,56.25,29.6875,21.875,9.375002,43.75,12.5,23.4375,12.5,21.875,10.9375,21.74479,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,34.22247,8029,1934.4,98.647
7328,82,79,4153.348,1797,5508,71,55,25,9.375002,78.125,15.625,26.5625,3.125002,21.875,17.1875,17.1875,9.375002,12.5,7.812502,20.3125,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,31.94244,8069,1895.2,2.069
