Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=%,CPU temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU clock=MHz,CPU power=W,RAM usage=MB,Framerate=FPS,Frametime=ms
2,83,99,4505.129,1784.5,5508,97,53,29.6875,14.0625,21.875,9.375002,45.3125,4.687502,23.4375,6.250002,28.125,10.9375,17.1875,10.9375,18.48958,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,29.46368,6847,0,0
306,83,99,4505.129,1784.5,5508,97,53,29.6875,14.0625,21.875,9.375002,45.3125,4.687502,23.4375,6.250002,28.125,10.9375,17.1875,10.9375,18.48958,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,29.46368,6847,0,0
610,83,99,4504.754,1759,5508,91,43,9.174879,6.096061,7.63547,9.174879,16.87192,3.017244,12.2537,7.63547,13.79311,10.71429,12.2537,13.79311,10.20115,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,17.79743,6848,0,0
915,83,99,4504.754,1759,5508,91,43,9.174879,6.096061,7.63547,9.174879,16.87192,3.017244,12.2537,7.63547,13.79311,10.71429,12.2537,13.79311,10.20115,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,17.79743,6848,0,0
1229,83,99,4504.754,1759,5508,91,43,9.174879,6.096061,7.63547,9.174879,16.87192,3.017244,12.2537,7.63547,13.79311,10.71429,12.2537,13.79311,10.20115,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,17.79743,6848,0,0
1534,84,99,4508.004,1784.5,5508,98,45,26.5625,9.375002,18.75,14.0625,15.625,14.0625,14.0625,15.625,20.3125,10.9375,14.0625,15.625,15.75521,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,15.59778,6851,0,0
1837,84,99,4508.004,1784.5,5508,98,45,26.5625,9.375002,18.75,14.0625,15.625,14.0625,14.0625,15.625,20.3125,10.9375,14.0625,15.625,15.75521,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,15.59778,6851,0,0
2142,84,99,4508.004,1784.5,5508,98,45,26.5625,9.375002,18.75,14.0625,15.625,14.0625,14.0625,15.625,20.3125,10.9375,14.0625,15.625,15.75521,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,15.59778,6851,0,0
2446,82,38,4506.691,1771.5,5508,76,45,18.75,7.812502,15.625,6.250002,10.9375,7.812502,12.5,6.250002,20.3125,9.375002,14.0625,10.9375,11.71875,3795.895,3795.895,3795.895,3795.895,3795.895,3795.895,3795.895,3795.895,3795.895,3795.895,3795.895,3795.895,3795.895,17.4201,6852,0,0
2751,82,38,4506.691,1771.5,5508,76,45,18.75,7.812502,15.625,6.250002,10.9375,7.812502,12.5,6.250002,20.3125,9.375002,14.0625,10.9375,11.71875,3795.895,3795.895,3795.895,3795.895,3795.895,3795.895,3795.895,3795.895,3795.895,3795.895,3795.895,3795.895,3795.895,17.4201,6852,0,0
