FrameTime,RenderTime,NumberOfLight,SetPass,RendererInView,DrawCalls,Batches,Triangeles,Vertices,RenderTextureCount,Resolution
0.02,0.0105104,33,335,0,531,531,335877,255197,2,1045x588
0.02,0.0105104,33,335,0,531,531,335877,255197,2,1045x588
0.1093441,0.005050179,33,335,331,531,531,335877,255197,40,2260x1271
0.01843725,0.01255424,33,488,332,786,462,380319,315421,40,2260x1271
0.01916425,0.004401868,33,462,332,755,432,378531,296635,40,2260x1271
0.01685582,0.003229089,33,462,332,751,433,380445,298053,40,2260x1271
0.01627788,0.003057868,33,463,347,755,432,382895,299813,40,2260x1271
0.01656685,0.002983063,33,470,347,761,438,384715,301541,40,2260x1271
0.01710212,0.002698803,33,473,347,761,442,387135,303565,40,2260x1271
0.02299538,0.002922665,33,472,347,763,442,388759,304925,40,2260x1271
0.01681814,0.01141499,33,472,347,764,442,390743,306451,40,2260x1271
0.01631583,0.003201938,33,472,347,764,442,393165,308285,40,2260x1271
0.01667989,0.002939012,33,474,347,761,442,394399,308085,40,2260x1271
0.01688962,0.002856726,33,475,347,765,443,396351,309509,40,2260x1271
0.01704893,0.002823202,33,475,347,755,443,398253,310829,40,2260x1271
0.01610998,0.002791618,33,475,348,765,445,400163,312173,40,2260x1271
0.01692647,0.002818492,33,478,348,769,445,401623,313211,40,2260x1271
0.01593627,0.002834561,33,478,348,769,449,403695,314667,40,2260x1271
0.02127819,0.002920172,33,478,348,764,449,405465,315859,40,2260x1271
0.01664415,0.009735199,33,479,348,779,449,407571,317647,40,2260x1271
0.01692924,0.002902163,33,485,348,784,454,410193,319545,40,2260x1271
0.01612688,0.002888864,33,485,347,774,454,411487,320429,40,2260x1271
0.01677852,0.007438404,33,478,347,771,448,413151,321511,40,2260x1271
0.01635462,0.002879722,33,477,348,765,447,413901,319781,40,2260x1271
0.01659982,0.004706629,33,484,349,767,447,415299,320685,40,2260x1271
0.01899995,0.002962284,33,485,350,776,453,417931,324847,40,2260x1271
0.01656657,0.007799685,33,490,350,749,451,419649,325973,40,2260x1271
0.01656685,0.003854128,33,488,349,760,450,421363,327062,40,2260x1271
0.01660979,0.003164812,33,489,350,754,449,421669,327249,40,2260x1271
0.01652335,0.002945384,33,488,348,750,448,393145,309760,40,2260x1271
