FrameTime, RenderTime,NumberOfLight, SetPass, RendererInView, DrawCalls,Batches,Triangles,Vertices,RenderTextureCount, Resolution
0.02,0.001066666,3,30,0,42,42,103810,96759,3,1044x587
0.02,0.001066666,3,30,0,42,42,103810,96759,3,1044x587
0.09948476,0.002648656,3,30,15,42,42,103810,96759,11,2260x1271
0.04200476,0.002343894,3,29,15,39,36,98875,93484,13,2260x1271
0.03295694,0.0003939738,3,29,15,39,36,98875,93484,15,2260x1271
0.01710046,0.0003745798,3,29,15,39,36,98875,93484,17,2260x1271
0.01603352,0.0003779045,3,29,15,39,36,98875,93484,22,2260x1271
0.016571,0.0004125368,3,29,15,39,36,98875,93484,22,2260x1271
0.01656242,0.0004582509,3,29,15,39,36,98875,93484,22,2260x1271
0.01657017,0.0008915663,3,29,15,39,36,98875,93484,22,2260x1271
0.01656602,0.0004310993,3,29,15,39,36,98875,93484,20,2260x1271
0.0165638,0.001735203,3,29,15,39,36,98875,93484,18,2260x1271
0.0165674,0.001414926,3,29,15,39,36,98875,93484,16,2260x1271
0.01678074,0.0004186321,3,29,15,39,36,98875,93484,14,2260x1271
0.01635158,0.0005036872,3,29,15,39,36,98875,93484,9,2260x1271
0.01661229,0.000443013,3,29,15,39,36,98875,93484,9,2260x1271
0.01687078,0.0004197398,3,29,15,39,36,98875,93484,9,2260x1271
0.01629478,0.0004283292,3,29,15,39,36,98875,93484,9,2260x1271
0.016489,0.0004383024,3,29,15,39,36,98875,93484,9,2260x1271
0.0166339,0.0004504934,3,29,15,39,36,98875,93484,9,2260x1271
0.01650313,0.000404779,3,29,15,39,36,98875,93484,9,2260x1271
0.01656657,0.0004540948,3,29,15,39,36,98875,93484,9,2260x1271
0.01656297,0.001701403,3,29,15,39,36,98875,93484,9,2260x1271
0.01656962,0.001642943,3,29,15,39,36,98875,93484,9,2260x1271
0.01675109,0.0004923287,3,29,15,39,36,98875,93484,9,2260x1271
0.01696775,0.001183584,3,29,15,39,36,98875,93484,9,2260x1271
0.01598198,0.0008971076,3,29,15,39,36,98875,93484,9,2260x1271
0.01693506,0.0004225105,3,29,15,39,36,98875,93484,9,2260x1271
0.01619449,0.0008461291,3,29,15,39,36,98875,93484,9,2260x1271
0.0168295,0.0004588046,3,29,15,39,36,98875,93484,9,2260x1271
0.01688796,0.0004474454,3,29,15,39,36,98875,93484,9,2260x1271
0.01605845,0.001761245,3,29,15,39,36,98875,93484,9,2260x1271
0.01649315,0.0006654889,3,29,15,39,36,98875,93484,9,2260x1271
0.01743099,0.001865973,3,29,15,39,36,98875,93484,9,2260x1271
0.0157016,0.0007588565,3,29,16,39,36,98875,93484,9,2260x1271
0.01656574,0.001586977,3,29,16,39,36,103810,96759,9,2260x1271
0.01666659,0.001038684,3,29,16,39,36,103810,96759,9,2260x1271
0.01646628,0.0007763117,3,29,16,39,36,103810,96759,9,2260x1271
0.01663805,0.0005078437,3,29,16,39,36,103810,96759,9,2260x1271
0.0169248,0.0004150298,3,29,16,39,36,103810,96759,9,2260x1271
0.01701817,0.0004610218,3,29,16,39,36,103810,96759,9,2260x1271
0.01587421,0.0004427355,3,29,16,39,36,103810,96759,9,2260x1271
0.01637928,0.001831341,3,29,16,39,36,103810,96759,9,2260x1271
0.01656685,0.001364502,3,29,16,39,36,103810,96759,9,2260x1271
0.01699435,0.0009630471,3,29,16,39,36,103810,96759,9,2260x1271
0.01613797,0.0006998437,3,29,16,39,36,103810,96759,9,2260x1271
0.01656602,0.0004532642,3,29,16,39,36,103810,96759,9,2260x1271
0.01657017,0.0004047786,3,29,16,39,36,103810,96759,9,2260x1271
0.01656352,0.0004186317,3,29,16,39,36,103810,96759,9,2260x1271
0.01656629,0.001732986,3,29,16,39,36,103810,96759,9,2260x1271
0.01656657,0.0005640864,3,29,16,39,36,103810,96759,9,2260x1271
0.01656685,0.0004100429,3,29,16,39,36,103810,96759,9,2260x1271
0.01656657,0.000460467,3,29,16,39,36,103810,96759,9,2260x1271
0.01656685,0.0004560347,3,29,16,39,36,103810,96759,9,2260x1271
0.01668543,0.000461853,3,29,16,39,36,103810,96759,9,2260x1271
0.01685055,0.0004241725,3,29,16,39,36,103810,96759,9,2260x1271
0.01616373,0.0004524331,3,27,16,37,34,82602,76963,9,2260x1271
0.01657045,0.0004330388,3,27,16,37,34,82602,76963,9,2260x1271
0.01656657,0.0004211257,3,27,16,37,34,82602,76963,9,2260x1271
0.01668571,0.001687272,3,27,16,37,34,82602,76963,9,2260x1271
0.01698714,0.001246475,3,27,16,37,34,82602,76963,9,2260x1271
0.01620446,0.0008461293,3,27,16,37,34,82602,76963,9,2260x1271
0.01638593,0.0005289,3,27,16,37,34,82602,76963,9,2260x1271
0.01683836,0.0004419046,3,27,16,37,34,82602,76963,9,2260x1271
