FrameTime,RenderTime,NumberOfLight,SetPass,RendererInView,DrawCalls,Batches,Triangeles,Vertices,RenderTextureCount,Resolution
0.02,0.002221436,3,30,0,42,42,103810,96759,3,1044x587
0.02,0.002221436,3,30,0,42,42,103810,96759,3,1044x587
0.108911,0.0002623722,3,30,15,42,42,103810,96759,15,2260x1271
0.03588985,0.002558059,3,29,15,39,36,98875,93484,17,2260x1271
0.03066956,0.0005405364,3,29,15,39,36,98875,93484,19,2260x1271
0.02516279,0.0004111513,3,29,15,39,36,98875,93484,21,2260x1271
0.01682146,0.0004524327,3,29,15,39,36,98875,93484,22,2260x1271
0.01631251,0.0004748741,3,29,15,39,36,98875,93484,22,2260x1271
0.01656685,0.0004513245,3,29,15,39,36,98875,93484,22,2260x1271
0.01669429,0.0004870651,3,29,15,39,36,98875,93484,22,2260x1271
0.01731268,0.0004712722,3,29,15,39,36,98875,93484,16,2260x1271
0.01569329,0.0004945446,3,29,15,39,36,98875,93484,14,2260x1271
0.01656962,0.0004740434,3,29,15,39,36,98875,93484,12,2260x1271
0.01659289,0.0004507702,3,29,15,39,36,98875,93484,10,2260x1271
0.01696304,0.00201032,3,29,15,39,36,98875,93484,9,2260x1271
0.01614046,0.001009869,3,29,15,39,36,98875,93484,9,2260x1271
0.01721183,0.00119716,3,29,15,39,36,98875,93484,9,2260x1271
0.01607757,0.0004250043,3,29,15,39,36,98875,93484,9,2260x1271
0.01687687,0.0004419046,3,29,15,39,36,98875,93484,9,2260x1271
0.01610389,0.0003920343,3,29,15,39,36,98875,93484,9,2260x1271
0.01656352,0.0003851074,3,29,15,39,36,98875,93484,9,2260x1271
0.01656657,0.001866526,3,29,15,39,36,98875,93484,9,2260x1271
0.01656629,0.0006255926,3,29,15,39,36,98875,93484,9,2260x1271
0.01716723,0.0004491078,3,29,15,39,36,98875,93484,9,2260x1271
0.0169104,0.0004031166,3,29,15,39,36,98875,93484,9,2260x1271
0.01562541,0.0005097837,3,29,15,39,36,98875,93484,9,2260x1271
0.01656657,0.001793938,3,29,15,39,36,98875,93484,9,2260x1271
0.01669236,0.001432657,3,29,15,39,36,98875,93484,9,2260x1271
0.01643829,0.0009849345,3,29,15,39,36,98875,93484,9,2260x1271
0.01661977,0.0004643456,3,29,15,39,36,98875,93484,9,2260x1271
0.01651393,0.000411151,3,29,15,39,36,98875,93484,9,2260x1271
0.01656602,0.0004083808,3,29,16,39,36,98875,93484,10,2260x1271
0.01691455,0.0008893505,3,46,16,58,55,128594,127602,10,2260x1271
0.02468016,0.0005108917,3,46,15,58,55,128598,127610,10,2260x1271
0.01737391,0.002163532,3,29,15,40,37,98899,93532,10,2260x1271
0.01596508,0.001061956,3,29,15,40,37,98905,93544,10,2260x1271
0.01636432,0.0006438787,3,29,15,40,37,98909,93552,10,2260x1271
0.01848075,0.000489281,3,29,15,40,37,98909,93552,10,2260x1271
0.01708577,0.001938838,3,29,16,40,37,98889,93512,10,2260x1271
0.01604654,0.001728553,3,48,16,60,56,134319,131338,10,2260x1271
0.01656906,0.001166406,3,48,15,60,56,134321,131342,10,2260x1271
0.01656713,0.000641108,3,29,15,40,37,98905,93544,10,2260x1271
0.01656934,0.001259774,3,29,15,40,37,98903,93540,10,2260x1271
0.01721821,0.001328761,3,29,15,40,37,98907,93548,10,2260x1271
0.01594652,0.0006086921,3,29,15,40,37,98907,93548,10,2260x1271
0.01701513,0.0004626836,3,29,15,40,37,98889,93512,10,2260x1271
0.01629755,0.0004238959,3,29,16,40,37,98885,93504,10,2260x1271
0.01635019,0.0005150476,3,49,16,61,57,138530,134134,10,2260x1271
0.01689128,0.0006383376,3,48,15,59,56,132880,127016,10,2260x1271
0.01624241,0.0004568652,3,29,15,40,37,98899,93532,10,2260x1271
0.01670953,0.0004729345,3,29,15,40,37,98903,93540,10,2260x1271
0.01642333,0.0004391336,3,29,15,40,37,98907,93548,10,2260x1271
0.0166652,0.0004272204,3,29,15,40,37,98909,93552,10,2260x1271
0.01695113,0.0004554802,3,29,15,40,37,98907,93548,10,2260x1271
0.01608394,0.0004033938,3,29,16,40,37,98887,93508,10,2260x1271
0.01719161,0.0005929004,3,48,16,59,56,132882,127020,10,2260x1271
0.0161762,0.0005272378,3,48,15,59,56,132882,127020,10,2260x1271
0.01633246,0.0004430126,3,29,15,40,37,98903,93540,10,2260x1271
0.01674832,0.0004435669,3,29,15,40,37,98903,93540,10,2260x1271
0.01638815,0.0004078265,3,29,16,40,37,98907,93548,10,2260x1271
0.01656297,0.0004449526,3,29,16,40,37,103844,96827,10,2260x1271
0.01657073,0.001960449,3,29,16,40,37,103842,96823,10,2260x1271
0.01822752,0.0003917575,3,29,17,40,37,103822,96783,10,2260x1271
0.017001,0.002762249,3,48,17,59,56,137817,130295,10,2260x1271
0.01803746,0.00114729,3,48,16,59,56,137817,130295,10,2260x1271
0.01656657,0.002019462,3,29,16,40,37,103838,96815,10,2260x1271
0.01657017,0.001021506,3,29,16,40,37,103838,96815,10,2260x1271
0.01744124,0.00046961,3,29,16,40,37,103842,96823,10,2260x1271
0.01656713,0.001680346,3,29,16,40,37,103842,96823,10,2260x1271
0.01685886,0.00100987,3,29,17,40,37,103822,96783,10,2260x1271
0.01696276,0.0005790473,3,48,17,59,56,137817,130295,10,2260x1271
0.01599999,0.000571013,3,48,16,59,56,137817,130295,10,2260x1271
0.01705724,0.0004873416,3,29,16,40,37,103838,96815,10,2260x1271
0.01596896,0.0004732122,3,29,16,40,37,103838,96815,10,2260x1271
0.01655244,0.001884258,3,29,16,40,37,103842,96823,10,2260x1271
0.01656602,0.001163082,3,29,16,40,37,103844,96827,10,2260x1271
0.01696886,0.0006690905,3,29,16,40,37,103842,96823,10,2260x1271
0.01705142,0.0004363632,3,29,17,40,37,103822,96783,10,2260x1271
0.01567971,0.000470718,3,46,17,57,54,136313,129375,10,2260x1271
0.01679376,0.0005167098,3,46,16,57,54,136313,129375,10,2260x1271
0.01691871,0.0004391342,3,29,16,40,37,103836,96811,10,2260x1271
0.01599196,0.0004399651,3,29,16,40,37,103838,96815,10,2260x1271
0.01656214,0.001793661,3,29,16,40,37,103842,96823,10,2260x1271
0.01656906,0.001551791,3,29,16,40,37,103844,96827,10,2260x1271
0.01690846,0.0004748744,3,29,16,40,37,103842,96823,10,2260x1271
0.01695916,0.0011689,3,29,16,40,37,103822,96783,10,2260x1271
0.01603629,0.0009392204,3,45,16,56,53,132050,121496,10,2260x1271
0.01689765,0.0006278091,3,45,15,56,53,132050,121496,10,2260x1271
0.01602936,0.0005735059,3,27,15,38,35,95358,86128,10,2260x1271
0.01656685,0.0004310991,3,27,15,38,35,95360,86132,10,2260x1271
0.01704837,0.0004402422,3,27,15,38,35,95364,86140,10,2260x1271
0.01693893,0.0004100426,3,27,15,38,35,95366,86144,10,2260x1271
0.01600027,0.0004438443,3,27,14,38,35,95364,86140,10,2260x1271
0.01698022,0.0004172467,3,24,15,35,32,63532,56406,10,2260x1271
0.01586562,0.001325714,3,41,14,52,49,100234,91794,10,2260x1271
0.016571,0.0004405192,3,39,13,49,47,88960,85044,10,2260x1271
0.01669429,0.0004449517,3,22,13,32,30,52272,49684,10,2260x1271
0.01643469,0.001987324,3,22,13,33,30,52274,49688,10,2260x1271
0.01656657,0.0004086576,3,22,13,33,30,52278,49696,10,2260x1271
0.01656685,0.0004660086,3,22,13,33,30,52280,49700,10,2260x1271
0.0165843,0.0004685023,3,22,13,33,30,52278,49696,10,2260x1271
0.01655272,0.0004491083,3,21,14,32,29,52258,49656,10,2260x1271
0.01802139,0.0004984244,3,38,14,49,46,88960,85044,10,2260x1271
0.01660813,0.002056033,3,38,13,49,46,88960,85044,10,2260x1271
0.01701457,0.001207688,3,21,13,32,29,52274,49688,10,2260x1271
0.01607646,0.0005965014,3,21,13,32,29,52274,49688,10,2260x1271
0.01719466,0.000475705,3,21,13,32,29,52278,49696,10,2260x1271
0.01593849,0.000435532,3,21,13,32,29,52278,49696,10,2260x1271
0.01716945,0.0004274978,3,21,13,32,29,52260,49660,10,2260x1271
0.01596453,0.0004851249,3,21,14,32,29,52256,49652,10,2260x1271
0.01656602,0.0005147699,3,38,14,49,46,88956,85036,10,2260x1271
0.01687078,0.0005430302,3,38,13,49,46,88958,85040,10,2260x1271
0.01626292,0.0005239131,3,23,13,34,31,62140,56230,10,2260x1271
0.01661699,0.0005216969,3,23,13,34,31,62144,56238,10,2260x1271
0.01651587,0.0004604676,3,23,13,34,31,62148,56246,10,2260x1271
0.01672699,0.0004103204,3,23,12,34,31,62150,56250,10,2260x1271
0.01710683,0.0004726582,3,23,12,32,30,62140,56230,10,2260x1271
0.01599528,0.0004571426,3,23,13,32,30,62120,56190,10,2260x1271
0.01643746,0.0005732294,3,39,13,49,47,103757,94853,10,2260x1271
0.016745,0.0004840171,3,39,12,49,47,103757,94853,10,2260x1271
0.0163887,0.000411151,3,23,12,32,30,62134,56218,10,2260x1271
0.01656629,0.0004277743,3,23,12,32,30,62136,56222,10,2260x1271
0.0171977,0.0004884495,3,23,12,32,30,62140,56230,10,2260x1271
0.01593655,0.0004227873,3,23,12,32,30,62142,56234,10,2260x1271
0.01697966,0.0004840175,3,23,12,32,30,62140,56230,10,2260x1271
0.01629367,0.0004316536,3,23,13,32,30,62120,56190,10,2260x1271
0.01642583,0.0004848479,3,41,13,51,49,107429,101129,10,2260x1271
0.0165674,0.0005372122,3,40,12,50,48,106677,100669,10,2260x1271
0.01703119,0.0003950821,3,25,12,34,32,65806,62494,10,2260x1271
0.01618617,0.0004696099,3,25,12,34,32,65808,62498,10,2260x1271
0.01648207,0.0005313941,3,25,12,34,32,65812,62506,10,2260x1271
0.01665661,0.0004942683,3,25,12,34,32,65814,62510,10,2260x1271
0.01718302,0.0005097834,3,25,12,34,32,65812,62506,10,2260x1271
0.01605706,0.0004682248,3,25,13,34,32,65792,62466,10,2260x1271
0.01637042,0.0005405366,3,40,13,50,48,101742,97394,10,2260x1271
0.01682617,0.0005095066,3,40,12,50,48,101742,97394,10,2260x1271
0.0169442,0.0004455067,3,25,12,34,32,65806,62494,10,2260x1271
0.01626874,0.0005424763,3,25,12,34,32,65808,62498,10,2260x1271
0.01622718,0.0004624062,3,25,12,34,32,65812,62506,10,2260x1271
0.01674195,0.0004186314,3,25,12,34,32,65814,62510,10,2260x1271
0.0163948,0.0004729353,3,25,12,34,32,65812,62506,10,2260x1271
0.01656297,0.0004582512,3,25,13,34,32,65792,62466,10,2260x1271
0.01656685,0.001329038,3,40,13,50,48,101742,97394,10,2260x1271
0.01656657,0.0005064582,3,40,12,50,48,101742,97394,10,2260x1271
0.01656685,0.0004258357,3,25,12,34,32,65806,62494,10,2260x1271
0.01656657,0.0004338701,3,25,12,34,32,65808,62498,10,2260x1271
0.01659234,0.0004460607,3,25,12,34,32,65812,62506,10,2260x1271
0.01654108,0.000479861,3,25,12,34,32,65814,62510,10,2260x1271
0.01656629,0.0005039655,3,25,12,34,32,65812,62506,10,2260x1271
0.01674444,0.0004125363,3,25,13,34,32,65792,62466,10,2260x1271
0.01687909,0.0005421989,3,40,13,50,48,101742,97394,10,2260x1271
0.01607646,0.0004737659,3,40,12,50,48,101742,97394,10,2260x1271
0.01698742,0.0003936972,3,25,12,34,32,65808,62498,10,2260x1271
0.01616844,0.0004211255,3,25,12,34,32,65808,62498,10,2260x1271
0.01654441,0.0004649,3,25,12,34,32,65812,62506,10,2260x1271
0.0166688,0.0004931603,3,25,12,34,32,65814,62510,10,2260x1271
0.01646461,0.0003759656,3,25,12,34,32,65812,62506,10,2260x1271
0.0171229,0.0004261121,3,25,13,34,32,65792,62466,10,2260x1271
0.01999182,0.0005651941,3,40,13,50,48,101742,97394,10,2260x1271
