FrameTime,NumberOfLight, SetPass, RendererInView, DrawCalls,Batches,Triangles,Vertices,RenderTextureCount
0.02,3,30,0,42,42,103810,96759,3
0.02,3,30,0,42,42,103810,96759,3
0.09948476,3,30,15,42,42,103810,96759,11
0.04200476,3,29,15,39,36,98875,93484,13
0.03295694,3,29,15,39,36,98875,93484,15
0.01710046,3,29,15,39,36,98875,93484,17
0.01603352,3,29,15,39,36,98875,93484,22
0.016571,3,29,15,39,36,98875,93484,22
0.01656242,3,29,15,39,36,98875,93484,22
0.01657017,3,29,15,39,36,98875,93484,22
0.01656602,3,29,15,39,36,98875,93484,20
0.0165638,3,29,15,39,36,98875,93484,18
0.0165674,3,29,15,39,36,98875,93484,16
0.01678074,3,29,15,39,36,98875,93484,14
0.01635158,3,29,15,39,36,98875,93484,9
0.01661229,3,29,15,39,36,98875,93484,9
0.01687078,3,29,15,39,36,98875,93484,9
0.01629478,3,29,15,39,36,98875,93484,9
0.016489,3,29,15,39,36,98875,93484,9
0.0166339,3,29,15,39,36,98875,93484,9
0.01650313,3,29,15,39,36,98875,93484,9
0.01656657,3,29,15,39,36,98875,93484,9
0.01656297,3,29,15,39,36,98875,93484,9
0.01656962,3,29,15,39,36,98875,93484,9
0.01675109,3,29,15,39,36,98875,93484,9
0.01696775,3,29,15,39,36,98875,93484,9
0.01598198,3,29,15,39,36,98875,93484,9
0.01693506,3,29,15,39,36,98875,93484,9
0.01619449,3,29,15,39,36,98875,93484,9
0.0168295,3,29,15,39,36,98875,93484,9
0.01688796,3,29,15,39,36,98875,93484,9
0.01605845,3,29,15,39,36,98875,93484,9
0.01649315,3,29,15,39,36,98875,93484,9
0.01743099,3,29,15,39,36,98875,93484,9
0.0157016,3,29,16,39,36,98875,93484,9
0.01656574,3,29,16,39,36,103810,96759,9
0.01666659,3,29,16,39,36,103810,96759,9
0.01646628,3,29,16,39,36,103810,96759,9
0.01663805,3,29,16,39,36,103810,96759,9
0.0169248,3,29,16,39,36,103810,96759,9
0.01701817,3,29,16,39,36,103810,96759,9
0.01587421,3,29,16,39,36,103810,96759,9
0.01637928,3,29,16,39,36,103810,96759,9
0.01656685,3,29,16,39,36,103810,96759,9
0.01699435,3,29,16,39,36,103810,96759,9
0.01613797,3,29,16,39,36,103810,96759,9
0.01656602,3,29,16,39,36,103810,96759,9
0.01657017,3,29,16,39,36,103810,96759,9
0.01656352,3,29,16,39,36,103810,96759,9
0.01656629,3,29,16,39,36,103810,96759,9
0.01656657,3,29,16,39,36,103810,96759,9
0.01656685,3,29,16,39,36,103810,96759,9
0.01656657,3,29,16,39,36,103810,96759,9
0.01656685,3,29,16,39,36,103810,96759,9
0.01668543,3,29,16,39,36,103810,96759,9
0.01685055,3,29,16,39,36,103810,96759,9
0.01616373,3,27,16,37,34,82602,76963,9
0.01657045,3,27,16,37,34,82602,76963,9
0.01656657,3,27,16,37,34,82602,76963,9
0.01668571,3,27,16,37,34,82602,76963,9
0.01698714,3,27,16,37,34,82602,76963,9
0.01620446,3,27,16,37,34,82602,76963,9
0.01638593,3,27,16,37,34,82602,76963,9
0.01683836,3,27,16,37,34,82602,76963,9
0.01675441,3,27,16,37,34,82602,76963,9
0.01610777,3,27,16,37,34,82602,76963,9
0.01656602,3,27,16,37,34,82602,76963,9
0.01656685,3,27,16,37,34,82602,76963,9
0.01657017,3,27,16,37,34,82602,76963,9
0.01677353,3,27,17,37,34,82602,76963,9
0.01655327,3,28,16,39,35,85634,79303,9
0.0169949,3,27,16,38,34,75030,69405,9
0.01594181,3,27,16,38,34,75030,69405,9
0.01656602,3,27,15,38,34,75030,69405,9
0.01701069,3,25,15,35,32,63756,62655,9
0.01612605,3,25,15,35,32,63756,62655,9
0.01656768,3,28,15,38,35,69666,67036,9
0.01656352,3,28,15,39,35,69666,67036,9
0.01702676,3,28,15,39,35,69666,67036,9
0.01614129,3,28,15,39,35,69666,67036,9
0.01697661,3,27,15,38,34,69666,67036,9
0.01612079,3,27,15,38,34,69666,67036,9
0.01687521,3,25,15,36,32,61236,61428,9
0.01625848,3,25,15,36,32,61236,61428,9
0.01677935,3,27,15,38,34,69666,67036,9
0.01635351,3,27,15,38,34,69666,67036,9
0.01664775,3,27,15,38,34,69666,67036,9
0.01692647,3,27,15,38,34,69666,67036,9
0.01612633,3,27,15,38,34,69666,67036,9
0.01685305,3,27,15,38,34,69666,67036,9
0.01627982,3,27,15,38,34,69666,67036,9
0.0165674,3,29,15,40,36,79536,73586,9
0.01656602,3,29,15,40,36,79536,73586,9
0.01691261,3,29,15,40,36,79536,73586,9
0.01693561,3,29,15,40,36,79536,73586,9
0.01603961,3,29,15,40,36,79536,73586,9
0.01637873,3,29,15,40,36,79536,73586,9
0.01673197,3,29,15,40,36,79536,73586,9
0.01640505,3,29,15,40,36,79536,73586,9
0.01667989,3,29,14,40,36,79536,73586,9
0.01688186,3,29,14,38,35,79528,73570,9
0.01613741,3,29,14,38,35,79528,73570,9
0.01706694,3,29,14,38,35,79528,73570,9
0.01618008,3,29,14,38,35,79528,73570,9
0.01715975,3,29,14,38,35,79528,73570,9
0.01608726,3,29,16,38,35,79528,73570,10
0.01633689,3,47,16,60,55,117012,114532,10
0.01663971,3,47,15,60,55,117016,114540,10
0.01688463,3,29,15,41,37,79560,73634,10
0.01617537,3,29,15,41,37,79564,73642,10
0.01656657,3,29,15,41,37,79568,73650,10
0.01657045,3,29,15,41,37,79570,73654,10
0.01679376,3,29,15,41,37,79568,73650,10
0.01633689,3,29,15,41,37,79548,73610,10
0.01666188,3,43,15,55,51,108080,107831,10
0.01647043,3,41,14,52,49,93275,98006,10
0.01691622,3,23,14,34,31,60750,60367,10
0.01626791,3,23,14,34,31,60752,60371,10
0.01731296,3,23,14,34,31,60756,60379,10
0.01593433,3,23,14,34,31,60758,60383,10
0.0164056,3,23,14,34,31,60756,60379,10
0.01977183,3,23,15,34,31,60736,60339,10
0.01656657,3,40,15,51,48,90449,94445,10
0.01656629,3,41,14,52,49,93275,98006,10
0.01688408,3,23,14,34,31,60752,60371,10
0.01704532,3,23,14,34,31,60752,60371,10
0.01577031,3,24,14,35,32,60756,60379,10
0.01666686,3,24,14,35,32,60756,60379,10
0.01728165,3,24,14,35,32,60738,60343,10
0.01575147,3,24,15,35,32,60734,60335,10
0.01656685,3,42,15,53,50,93271,97998,10
0.01656685,3,42,14,52,50,93273,98002,10
0.01656629,3,24,15,34,32,60748,60363,10
0.01718551,3,26,15,37,34,72026,67121,10
0.01617149,3,26,15,37,34,72030,67129,10
0.01634603,3,26,16,37,34,72032,67133,10
0.0172617,3,29,16,40,37,103842,96823,10
0.01656629,3,29,17,40,37,103822,96783,10
0.01656602,3,47,17,58,55,136361,134450,10
0.01657239,3,47,16,58,55,136361,134450,10
0.01656048,3,29,16,40,37,103838,96815,10
0.01656657,3,29,16,40,37,103838,96815,10
