RenderTime,NumberOfLight,SetPass,RendererInView,DrawCalls,Batches,Triangeles,Vertices,RenderTextureCount
0.00106667,3,30,0,42,42,103810,96759,3
0.00106667,3,30,0,42,42,103810,96759,3
0.00264866,3,30,15,42,42,103810,96759,11
0.00234389,3,29,15,39,36,98875,93484,13
0.00039397,3,29,15,39,36,98875,93484,15
0.00037458,3,29,15,39,36,98875,93484,17
0.0003779,3,29,15,39,36,98875,93484,22
0.00041254,3,29,15,39,36,98875,93484,22
0.00045825,3,29,15,39,36,98875,93484,22
0.00089157,3,29,15,39,36,98875,93484,22
0.0004311,3,29,15,39,36,98875,93484,20
0.0017352,3,29,15,39,36,98875,93484,18
0.00141493,3,29,15,39,36,98875,93484,16
0.00041863,3,29,15,39,36,98875,93484,14
0.00050369,3,29,15,39,36,98875,93484,9
0.00044301,3,29,15,39,36,98875,93484,9
0.00041974,3,29,15,39,36,98875,93484,9
0.00042833,3,29,15,39,36,98875,93484,9
0.0004383,3,29,15,39,36,98875,93484,9
0.00045049,3,29,15,39,36,98875,93484,9
0.00040478,3,29,15,39,36,98875,93484,9
0.00045409,3,29,15,39,36,98875,93484,9
0.0017014,3,29,15,39,36,98875,93484,9
0.00164294,3,29,15,39,36,98875,93484,9
0.00049233,3,29,15,39,36,98875,93484,9
0.00118358,3,29,15,39,36,98875,93484,9
0.00089711,3,29,15,39,36,98875,93484,9
0.00042251,3,29,15,39,36,98875,93484,9
0.00084613,3,29,15,39,36,98875,93484,9
0.0004588,3,29,15,39,36,98875,93484,9
0.00044745,3,29,15,39,36,98875,93484,9
0.00176125,3,29,15,39,36,98875,93484,9
0.00066549,3,29,15,39,36,98875,93484,9
0.00186597,3,29,15,39,36,98875,93484,9
0.00075886,3,29,16,39,36,98875,93484,9
0.00158698,3,29,16,39,36,103810,96759,9
0.00103868,3,29,16,39,36,103810,96759,9
0.00077631,3,29,16,39,36,103810,96759,9
0.00050784,3,29,16,39,36,103810,96759,9
0.00041503,3,29,16,39,36,103810,96759,9
0.00046102,3,29,16,39,36,103810,96759,9
0.00044274,3,29,16,39,36,103810,96759,9
0.00183134,3,29,16,39,36,103810,96759,9
0.0013645,3,29,16,39,36,103810,96759,9
0.00096305,3,29,16,39,36,103810,96759,9
0.00069984,3,29,16,39,36,103810,96759,9
0.00045326,3,29,16,39,36,103810,96759,9
0.00040478,3,29,16,39,36,103810,96759,9
0.00041863,3,29,16,39,36,103810,96759,9
0.00173299,3,29,16,39,36,103810,96759,9
0.00056409,3,29,16,39,36,103810,96759,9
0.00041004,3,29,16,39,36,103810,96759,9
0.00046047,3,29,16,39,36,103810,96759,9
0.00045603,3,29,16,39,36,103810,96759,9
0.00046185,3,29,16,39,36,103810,96759,9
0.00042417,3,29,16,39,36,103810,96759,9
0.00045243,3,27,16,37,34,82602,76963,9
0.00043304,3,27,16,37,34,82602,76963,9
0.00042113,3,27,16,37,34,82602,76963,9
0.00168727,3,27,16,37,34,82602,76963,9
0.00124648,3,27,16,37,34,82602,76963,9
0.00084613,3,27,16,37,34,82602,76963,9
0.0005289,3,27,16,37,34,82602,76963,9
0.0004419,3,27,16,37,34,82602,76963,9
0.00043138,3,27,16,37,34,82602,76963,9
0.00049482,3,27,16,37,34,82602,76963,9
0.00046906,3,27,16,37,34,82602,76963,9
0.00041614,3,27,16,37,34,82602,76963,9
0.00041171,3,27,16,37,34,82602,76963,9
0.0004552,3,27,17,37,34,82602,76963,9
0.00172384,3,28,16,39,35,85634,79303,9
0.00179061,3,27,16,38,34,75030,69405,9
0.00087771,3,27,16,38,34,75030,69405,9
0.00054275,3,27,15,38,34,75030,69405,9
0.00042694,3,25,15,35,32,63756,62655,9
0.00044218,3,25,15,35,32,63756,62655,9
0.00041891,3,28,15,38,35,69666,67036,9
0.00160914,3,28,15,39,35,69666,67036,9
0.00158642,3,28,15,39,35,69666,67036,9
0.00083726,3,28,15,39,35,69666,67036,9
0.00045437,3,27,15,38,34,69666,67036,9
0.00157922,3,27,15,38,34,69666,67036,9
0.001431,3,25,15,36,32,61236,61428,9
0.0005217,3,25,15,36,32,61236,61428,9
0.00048651,3,27,15,38,34,69666,67036,9
0.0003768,3,27,15,38,34,69666,67036,9
0.00044966,3,27,15,38,34,69666,67036,9
0.00041974,3,27,15,38,34,69666,67036,9
0.00048457,3,27,15,38,34,69666,67036,9
0.00041586,3,27,15,38,34,69666,67036,9
0.00042473,3,27,15,38,34,69666,67036,9
0.00047377,3,29,15,40,36,79536,73586,9
0.00042722,3,29,15,40,36,79536,73586,9
0.00046074,3,29,15,40,36,79536,73586,9
0.00042916,3,29,15,40,36,79536,73586,9
0.00049621,3,29,15,40,36,79536,73586,9
0.00042722,3,29,15,40,36,79536,73586,9
0.0004685,3,29,15,40,36,79536,73586,9
0.0004045,3,29,15,40,36,79536,73586,9
0.0004782,3,29,14,40,36,79536,73586,9
0.00085832,3,29,14,38,35,79528,73570,9
0.00176734,3,29,14,38,35,79528,73570,9
0.00167924,3,29,14,38,35,79528,73570,9
0.0011725,3,29,14,38,35,79528,73570,9
0.00069569,3,29,14,38,35,79528,73570,9
0.00060177,3,29,16,38,35,79528,73570,10
0.00096609,3,47,16,60,55,117012,114532,10
0.00054469,3,47,15,60,55,117016,114540,10
0.00046435,3,29,15,41,37,79560,73634,10
0.00198123,3,29,15,41,37,79564,73642,10
0.00112236,3,29,15,41,37,79568,73650,10
0.00037652,3,29,15,41,37,79570,73654,10
0.00035519,3,29,15,41,37,79568,73650,10
0.00170639,3,29,15,41,37,79548,73610,10
0.00153212,3,43,15,55,51,108080,107831,10
0.00092537,3,41,14,52,49,93275,98006,10
0.00067325,3,23,14,34,31,60750,60367,10
0.00036932,3,23,14,34,31,60752,60371,10
0.00041198,3,23,14,34,31,60756,60379,10
0.00045105,3,23,14,34,31,60758,60383,10
0.00040893,3,23,14,34,31,60756,60379,10
0.00040893,3,23,15,34,31,60736,60339,10
0.00252592,3,40,15,51,48,90449,94445,10
0.00137309,3,41,14,52,49,93275,98006,10
0.0005192,3,23,14,34,31,60752,60371,10
0.00041614,3,23,14,34,31,60752,60371,10
0.00046435,3,24,14,35,32,60756,60379,10
0.00048762,3,24,14,35,32,60756,60379,10
0.00039231,3,24,14,35,32,60738,60343,10
0.00044911,3,24,15,35,32,60734,60335,10
0.00075609,3,42,15,53,50,93271,97998,10
0.00057157,3,42,14,52,50,93273,98002,10
0.0005048,3,24,15,34,32,60748,60363,10
0.00048845,3,26,15,37,34,72026,67121,10
0.00045881,3,26,15,37,34,72030,67129,10
0.00042861,3,26,16,37,34,72032,67133,10
0.00042002,3,29,16,40,37,103842,96823,10
0.0021084,3,29,17,40,37,103822,96783,10
0.00204107,3,47,17,58,55,136361,134450,10
0.00090791,3,47,16,58,55,136361,134450,10
0.00065662,3,29,16,40,37,103838,96815,10
0.00060675,3,29,16,40,37,103838,96815,10
0.00045326,3,29,16,40,37,103842,96823,10
0.00041337,3,29,16,40,37,103842,96823,10
0.0005458,3,27,17,38,35,82632,77023,10
0.00042223,3,28,18,40,36,85644,79323,10
0.00054026,3,46,18,58,54,118183,116990,10
0.00259602,3,46,16,58,54,118183,116990,10
0.00141548,3,27,16,39,35,75054,69453,10
0.00070816,3,27,16,39,35,75058,69461,10
0.00061506,3,27,16,39,35,75062,69469,10
0.00044883,3,27,16,39,35,75064,69473,10
0.00043498,3,27,15,39,35,75062,69469,10
0.00042916,3,28,16,39,36,69678,67060,10
0.00048014,3,45,16,56,53,102213,104719,10
0.00053804,3,45,15,56,53,102213,104719,10
0.00059567,3,28,15,40,36,69692,67088,10
0.00045465,3,28,15,40,36,69694,67092,10
0.00055633,3,28,15,40,36,69698,67100,10
0.00046185,3,28,15,40,36,69700,67104,10
0.00040644,3,28,15,40,36,69698,67100,10
0.00040035,3,27,16,39,35,69678,67060,10
0.0005494,3,42,16,54,50,93783,99111,10
0.000704,3,42,15,54,50,93783,99111,10
0.0004419,3,25,15,37,33,61262,61480,10
0.00042334,3,25,15,37,33,61264,61484,10
0.00041309,3,25,15,37,33,61268,61492,10
0.0005893,3,25,15,37,33,61270,61496,10
0.00043221,3,25,15,37,33,61268,61492,10
0.00047681,3,25,16,37,33,61248,61452,10
0.00048208,3,41,16,53,49,93031,98651,10
0.00054608,3,41,16,53,49,93031,98651,10
0.00045132,3,27,16,40,35,64478,64456,10
0.0005048,3,29,16,42,37,74350,71010,10
0.00052668,3,29,16,42,37,74354,71018,10
0.00046296,5,29,21,42,37,74356,71022,10
0.00052807,5,36,21,44,39,76398,72319,10
0.00045853,5,36,21,44,39,76378,72279,10
0.00052087,5,52,17,60,55,118023,116012,10
0.00052059,5,47,16,60,55,118023,116012,10
0.00182885,5,31,16,42,38,76386,72295,10
0.00043332,5,31,16,42,38,76388,72299,10
0.00048263,5,31,16,42,38,76390,72303,10
0.00038123,5,31,16,42,38,76390,72303,10
0.00040616,5,31,17,42,38,76370,72263,10
0.00269437,5,47,17,60,55,118023,116012,10
0.00204246,5,50,16,64,58,124087,120692,10
0.00072229,5,31,15,42,38,76386,72295,10
0.00045216,5,31,15,41,38,74552,69161,10
0.00043636,5,31,15,41,38,74556,69169,10
0.00049011,5,31,15,41,38,74556,69169,10
0.00046268,5,31,16,41,38,74536,69129,10
0.00046989,5,50,16,63,58,122253,117558,10
0.00053195,5,50,15,63,58,122253,117558,10
0.00041503,5,31,15,41,38,74552,69161,10
0.00049371,5,31,15,41,38,74552,69161,10
0.00045714,5,31,15,41,38,74554,69165,10
0.00048042,5,31,15,41,38,74556,69169,10
0.000471,5,31,15,41,38,74554,69165,10
0.0004987,5,31,16,41,38,74534,69125,10
0.00065829,5,50,15,63,58,122251,117554,10
0.00052613,5,48,14,60,56,119035,114578,10
0.00043692,5,29,14,38,36,71332,66177,10
0.0004854,5,29,14,38,36,71334,66181,10
0.00051394,5,29,14,38,36,71338,66189,10
0.00044828,5,29,14,38,36,71340,66193,10
0.00044357,5,29,14,38,36,71322,66157,10
0.00048291,5,29,15,38,36,71318,66149,10
0.00058237,5,48,15,60,56,119035,114578,10
0.0004879,5,48,14,60,56,119035,114578,10
0.00041586,5,29,14,38,36,71332,66177,10
0.00047127,5,29,14,38,36,71334,66181,10
0.00046712,5,29,14,38,36,71338,66189,10
0.00046767,5,29,14,38,36,71340,66193,10
0.00044052,5,29,14,38,36,71338,66189,10
0.00044107,5,29,15,38,36,71318,66149,10
0.00053943,5,47,15,58,55,113383,107456,10
0.00054885,5,47,14,58,55,113383,107456,10
0.00052031,5,29,14,38,36,71332,66177,10
0.00046296,5,29,14,38,36,71334,66181,10
0.00050036,5,29,14,38,36,71338,66189,10
0.0004419,5,29,14,38,36,71340,66193,10
0.00049067,5,29,14,38,36,71338,66189,10
0.00045354,5,29,15,38,36,71318,66149,10
0.00062199,5,47,15,58,55,113383,107456,10
0.00063557,5,47,14,58,55,113383,107456,10
0.00046407,5,29,14,38,36,71332,66177,10
0.00044052,5,29,14,38,36,71334,66181,10
0.0005494,5,29,14,38,36,71338,66189,10
0.00043969,5,29,14,38,36,71340,66193,10
0.00042362,5,29,14,38,36,71322,66157,10
0.0004552,5,29,15,38,36,71318,66149,10
0.00057572,5,47,15,58,55,113383,107456,10
0.00053333,5,47,14,58,55,113383,107456,10
0.00044911,5,29,14,38,36,71334,66181,10
0.00181915,5,29,14,38,36,71334,66181,10
0.001129,5,29,14,38,36,71338,66189,10
0.00057378,5,29,14,38,36,71338,66189,10
0.00046573,5,29,15,38,36,71320,66153,10
0.0005253,5,48,15,59,56,118318,110731,10
0.00054996,5,48,14,59,56,118318,110731,10
0.00046518,5,29,14,38,36,71334,66181,10
0.00111792,5,29,14,38,36,71334,66181,10
0.0004915,5,29,14,38,36,71338,66189,10
0.00045742,5,29,14,38,36,71340,66193,10
0.00048512,5,29,14,38,36,71338,66189,10
0.00045243,5,29,15,38,36,71318,66149,10
0.00085167,5,50,14,61,58,121350,113071,10
0.0004915,5,29,14,38,36,71336,66185,10
0.00080152,5,29,15,38,36,71316,66145,10
0.00064055,5,50,15,61,58,121348,113067,10
0.00055467,5,50,14,61,58,121348,113067,10
0.00048485,5,29,14,38,36,71330,66173,10
0.00045077,5,29,14,38,36,71334,66181,10
0.00050978,5,29,14,38,36,71338,66189,10
0.00046213,5,29,14,38,36,71340,66193,10
0.00064637,5,29,14,38,36,71338,66189,10
0.00044551,5,29,15,38,36,71318,66149,10
0.00210064,5,50,15,61,58,121350,113071,10
0.00073752,5,50,14,61,58,121350,113071,10
0.00051643,5,29,14,38,36,71334,66181,10
0.00042168,5,30,14,39,37,71334,66181,10
0.00042888,5,30,14,39,37,71338,66189,10
0.0004239,5,30,14,39,37,71338,66189,10
0.00041115,5,29,14,38,36,71320,66153,10
0.00046462,5,29,15,38,36,71316,66145,10
0.00055384,5,50,15,61,58,121346,113063,10
0.00050535,5,50,14,61,58,121348,113067,10
0.00047321,5,27,14,36,34,69826,65253,10
0.0004275,5,30,14,39,37,77254,74903,10
0.00060869,5,30,14,39,37,77258,74911,10
0.00055467,5,30,14,39,37,77260,74915,10
0.00042528,5,30,14,39,37,77258,74911,10
0.00042223,5,30,14,39,37,77238,74871,10
0.00211283,5,50,14,61,58,126518,121333,10
0.0007281,5,50,13,61,58,126516,121329,10
0.00045437,5,29,13,38,36,76502,74443,10
0.0004516,5,29,13,38,36,76504,74447,10
0.00043138,5,29,13,38,36,76506,74451,10
0.00046102,5,29,13,38,36,76506,74451,10
0.00047183,5,29,14,38,36,76486,74411,10
0.00047792,5,50,14,61,58,126518,121333,10
0.00058791,5,50,13,61,58,126518,121333,10
0.00045797,5,29,13,38,36,76500,74439,10
0.00062088,5,29,13,38,36,76502,74443,10
0.00045548,5,29,13,38,36,76506,74451,10
0.00044107,5,29,13,38,36,76508,74455,10
0.00048291,5,29,13,38,36,76506,74451,10
0.00180253,5,29,14,38,36,76486,74411,10
0.00124454,5,50,14,61,58,126518,121333,10
0.00095224,5,50,14,61,58,126518,121333,10
0.0005494,5,35,14,46,44,84708,79535,10
0.0004915,5,35,14,46,44,84710,79539,10
0.00046047,5,35,14,46,44,84714,79547,10
0.00045132,5,35,14,46,44,84716,79551,10
0.00049455,5,35,14,46,44,84714,79547,10
0.00045603,5,35,15,46,44,84694,79507,10
0.00052724,5,56,15,67,65,122896,117747,10
0.00077631,5,56,14,67,65,122896,117747,10
0.00047681,5,35,14,46,44,84708,79535,10
0.00045493,5,35,14,46,44,84710,79539,10
0.00042777,5,35,14,46,44,84714,79547,10
0.00046296,5,35,14,46,44,84716,79551,10
0.00056076,5,35,14,46,44,84714,79547,10
0.00050369,5,35,15,46,44,84694,79507,10
0.00051422,5,58,15,69,67,124948,119021,10
0.00261679,5,58,14,69,67,124948,119021,10
0.00148253,5,35,14,46,44,84708,79535,10
0.00082396,5,35,13,46,44,84712,79543,10
0.00102899,5,35,14,44,42,82672,78250,10
0.00062947,5,35,13,46,44,84716,79551,10
0.00046379,5,35,14,44,42,82652,78210,10
0.00340918,5,58,14,67,65,122904,117720,10
0.00126005,5,58,13,67,65,122906,117724,10
0.00063086,5,35,13,44,42,82668,78242,10
0.00045797,5,35,13,44,42,82666,78238,10
0.00045382,5,35,13,44,42,82670,78246,10
0.00184963,5,35,13,44,42,82672,78250,10
0.00152021,5,35,13,44,42,82670,78246,10
0.00081898,5,35,14,44,42,82650,78206,10
0.00171913,5,58,15,67,65,122904,117720,10
0.00139719,5,61,14,71,69,143734,132940,10
0.00058791,5,37,14,46,44,95162,87366,10
0.00154542,5,37,15,46,44,95164,87370,10
0.00048651,5,37,15,48,46,97212,88679,10
0.0004347,5,38,15,49,47,98360,89333,10
0.00058597,5,38,15,49,47,98358,89329,10
0.00047266,5,39,17,50,48,100347,90517,10
0.00066466,5,69,17,73,71,140601,130031,10
0.00067712,5,69,16,79,77,140661,130151,10
0.00044828,5,42,16,53,51,100391,90605,10
0.00044329,5,42,16,53,51,100393,90609,10
0.00051145,5,42,16,53,51,100397,90617,10
0.00050674,5,42,16,53,51,100399,90621,10
0.0004854,5,42,16,53,51,100397,90617,10
0.00047294,5,42,17,53,51,100377,90577,10
0.00054081,5,68,17,78,76,135786,126996,10
0.00059096,5,68,16,78,76,135786,126996,10
0.00050286,5,42,16,53,51,100421,90665,10
0.00049371,5,42,16,53,51,100423,90669,10
0.00074279,5,42,16,53,51,100427,90677,10
0.00046739,5,42,16,53,51,100429,90681,10
0.00046684,5,43,16,54,52,100427,90677,10
0.00045825,5,42,17,53,51,98398,89409,10
0.00055577,5,68,17,78,76,133837,125888,10
0.00055356,5,68,16,78,76,133837,125888,10
0.00057406,5,42,16,53,51,98444,89501,10
0.00059595,5,41,16,52,50,98444,89501,10
0.00046296,5,41,16,52,50,98418,89449,10
0.0005929,7,40,17,51,49,97274,88803,10
0.00200921,7,43,18,56,54,106740,99742,10
0.00152935,7,69,18,81,79,142163,136189,10
0.00095557,7,69,17,81,79,142161,136185,10
0.0005832,7,43,17,56,54,106768,99798,10
0.00060426,7,43,17,56,54,106740,99742,10
0.00043969,7,43,17,56,54,106740,99742,10
0.00048235,7,43,17,56,54,106740,99742,10
0.00206324,7,43,17,56,54,106736,99734,10
0.00145593,7,43,18,56,54,106716,99694,10
0.00106306,7,69,18,81,79,142155,136173,10
0.00074944,7,69,17,81,79,142155,136173,10
0.0004649,7,43,16,56,54,106762,99786,10
0.00047127,7,41,16,54,52,94238,90602,10
0.00053749,7,41,16,54,52,94242,90610,10
0.00043082,7,41,16,54,52,94244,90614,10
0.00049898,7,41,16,54,52,94242,90610,10
0.00056409,7,42,18,54,52,94222,90570,10
0.00053943,7,71,18,84,82,136417,132069,10
0.0008259,7,71,17,84,82,136417,132069,10
0.00050203,7,43,17,55,53,94958,90998,10
