FrameTime,RenderTime,NumberOfLight,SetPass,RendererInView,DrawCalls,Batches,Triangeles,Vertices,RenderTextureCount,Resolution
0.02,0.003058423,1,39,0,393,393,686782,439400,4,1045x588
0.02,0.003058423,1,39,0,393,393,686782,439400,4,1045x588
0.1675802,0.005418387,1,39,10,393,393,686782,439400,38,2260x1271
0.0165674,0.0159576,1,76,9,360,358,310522,244023,38,2260x1271
0.0166519,0.002037194,1,69,9,293,293,250656,198095,38,2260x1271
0.01648207,0.0009882592,1,68,8,288,288,245878,194265,38,2260x1271
0.01656657,0.001419359,1,67,8,276,276,235250,186027,38,2260x1271
0.01672699,0.00518843,1,44,8,253,253,222684,164101,38,2260x1271
0.01695085,0.001133713,1,73,8,282,282,238536,198015,38,2260x1271
0.0160216,0.001112935,1,69,8,297,293,247520,208091,38,2260x1271
0.01692342,0.001270579,1,69,8,294,292,247064,207677,37,2260x1271
0.01621,0.001215168,1,69,9,292,292,247120,207552,37,2260x1271
0.01670482,0.001002666,1,71,9,301,299,277552,236712,37,2260x1271
0.01642804,0.0009442071,1,48,9,278,276,264986,214786,37,2260x1271
0.01656713,0.001224588,1,75,9,312,310,282080,239313,37,2260x1271
0.01686468,0.001068328,1,72,9,282,278,247406,219003,37,2260x1271
0.01626874,0.001123739,1,68,9,279,276,246582,218477,37,2260x1271
0.01665218,0.001065835,1,69,9,295,293,256236,235201,37,2260x1271
0.01648096,0.0009868741,1,46,10,272,270,243670,213275,37,2260x1271
0.01656657,0.00116696,1,69,10,315,313,269356,246183,37,2260x1271
0.01656685,0.001457038,1,69,10,325,325,275492,249526,37,2260x1271
0.01716723,0.002743133,1,78,11,530,528,412954,348382,37,2260x1271
0.01610112,0.002297349,1,76,17,573,569,438782,364886,37,2260x1271
0.01706804,0.003423306,1,76,17,638,629,502160,407742,37,2260x1271
0.01594403,0.001114874,1,53,29,615,606,489594,385816,37,2260x1271
0.01655272,0.003357643,1,76,33,682,682,561664,441634,37,2260x1271
0.0165904,0.00214857,1,76,36,735,731,618920,474978,37,2260x1271
0.01706167,0.002002838,1,76,36,767,762,634560,483931,37,2260x1271
0.0185611,0.002090389,1,76,36,795,790,648760,492023,37,2260x1271
0.01733679,0.004764811,1,76,36,817,812,659896,498381,37,2260x1271
0.01595455,0.00179283,1,76,36,837,833,670560,504325,37,2260x1271
0.01703092,0.001234562,1,53,36,814,810,657994,482399,37,2260x1271
0.0161399,0.001639618,1,76,36,855,852,680468,509996,37,2260x1271
0.01637152,0.002046891,1,76,36,875,869,693354,519128,37,2260x1271
0.01657156,0.001581436,1,76,36,893,886,709748,528718,37,2260x1271
0.01804854,0.001502753,1,76,36,905,898,715958,532276,37,2260x1271
0.01674638,0.003579289,1,76,36,914,909,729500,539991,37,2260x1271
0.0170021,0.00217212,1,53,36,891,886,716934,518065,37,2260x1271
0.01604598,0.001626042,1,76,36,921,917,741676,546929,37,2260x1271
0.01686967,0.00150109,1,76,36,924,920,751332,552547,37,2260x1271
0.01616955,0.001506354,1,76,36,930,927,754884,554570,37,2260x1271
0.01684169,0.001521315,1,76,36,935,931,764890,560512,37,2260x1271
0.01629145,0.001340675,1,76,36,938,934,766418,561254,37,2260x1271
0.01690707,0.001547359,1,53,36,915,911,753852,539328,37,2260x1271
0.01622635,0.001416311,1,76,36,941,936,767434,562082,37,2260x1271
0.01672255,0.001331809,1,72,36,939,934,767442,561957,37,2260x1271
0.01641031,0.00135896,1,72,36,938,934,767442,561832,37,2260x1271
0.01656685,0.002362457,1,72,36,943,937,778242,568104,37,2260x1271
0.01656713,0.001455376,1,72,36,943,936,777730,567815,37,2260x1271
0.01656657,0.00126864,1,49,36,920,913,765164,545889,37,2260x1271
0.01656657,0.001386943,1,72,36,948,938,778738,568643,37,2260x1271
0.01656629,0.001502199,1,72,36,951,941,780266,569510,37,2260x1271
0.01657156,0.001385281,1,72,36,947,941,780266,569260,37,2260x1271
0.02073128,0.001335965,1,72,36,950,942,780794,569674,37,2260x1271
0.01656657,0.004158612,1,49,36,927,919,768228,547748,37,2260x1271
0.01704643,0.002353315,1,76,36,953,946,781818,570127,37,2260x1271
0.02061048,0.001206025,1,53,36,930,923,769252,548201,37,2260x1271
0.01656629,0.003396431,1,76,36,953,946,775088,563499,37,2260x1271
0.016827,0.00147754,1,76,36,955,946,775096,563624,37,2260x1271
0.01630642,0.001324328,1,76,36,955,946,775096,563624,37,2260x1271
0.01671424,0.001360346,1,76,36,955,946,775592,563913,37,2260x1271
0.01689239,0.001465904,1,76,36,956,947,776104,564202,37,2260x1271
0.01609336,0.001388051,1,76,36,956,947,776104,564202,37,2260x1271
0.01681758,0.001318787,1,53,36,933,924,763538,542276,37,2260x1271
0.01721904,0.001398025,1,76,36,956,947,776104,564202,37,2260x1271
0.01609779,0.001347878,1,76,36,956,947,776104,564202,37,2260x1271
0.01613215,0.001464796,1,76,36,952,945,775096,563499,37,2260x1271
0.01680539,0.001476986,1,76,36,951,945,783054,568160,37,2260x1271
0.01831563,0.001362839,1,76,36,949,942,781542,567293,37,2260x1271
0.0166181,0.003389228,1,53,36,926,920,769480,545656,37,2260x1271
0.01801114,0.002131393,1,76,36,951,942,772262,562138,37,2260x1271
0.0168741,0.002870857,1,76,36,944,938,770238,560857,37,2260x1271
0.01718524,0.001368657,1,76,36,944,938,770238,560857,37,2260x1271
0.01592685,0.001317125,1,76,36,944,938,770238,560857,37,2260x1271
0.01628093,0.001458701,1,76,36,944,938,770238,560857,37,2260x1271
0.01656657,0.001381956,1,76,36,944,938,770238,560857,37,2260x1271
0.01721377,0.001251462,1,53,36,921,915,757672,538931,37,2260x1271
0.01591964,0.00139193,1,76,36,941,937,769734,560443,37,2260x1271
0.01719687,0.001363394,1,76,36,941,937,769734,560443,37,2260x1271
0.01609557,0.001483635,1,76,36,941,935,768726,559990,37,2260x1271
0.02180459,0.001445679,1,76,36,941,935,768726,559990,37,2260x1271
0.01722319,0.003139601,1,53,36,918,912,756160,538064,37,2260x1271
0.0159479,0.001401627,1,76,36,941,934,768214,559826,37,2260x1271
0.0171362,0.00125922,1,53,36,918,911,755648,537900,37,2260x1271
