Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),Context,,,,,,,,
25,9.16,9.17,3.08,9.02,0,,,,,,,,
50,9.34,9.35,3.43,9.36,0,,,,,,,,
75,9.53,9.54,3.68,9.71,0,,,,,,,,
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),Context,DrawPrimitiveCalls,MeshDrawCalls,LastRendered,LightsInScene,ShadowedLight,UnshadowedLight,StaticMeshTriangles,Triangles
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.03,8.34,4.64,2.02,8.34,0,39913208,30,0,237,not valid frame,1,14878,222
0.03,8.33,5.09,1.98,8.66,0,39913208,30,14,237,not valid frame,1,14878,222
0.04,9.19,5.24,1.98,8.66,0,39913208,30,14,237,not valid frame,1,14878,222
0.05,9.52,9.14,7.26,8.58,0,39913208,30,14,237,not valid frame,1,14878,350
0.06,9.37,9.37,6.34,15.28,0,39913208,30,14,237,not valid frame,1,14878,351
0.07,9.04,9.44,2.79,8.28,0,39913208,30,14,237,not valid frame,1,14878,352
0.08,8.96,8.95,2.73,5.36,0,39913208,30,14,237,not valid frame,1,14878,352
0.09,9.27,9.17,2.75,9.11,0,39913208,30,14,237,not valid frame,1,14878,352
0.1,9.19,9.25,2.71,8.73,0,39913208,30,14,237,not valid frame,1,14878,352
0.11,9.08,9.04,2.71,9.64,0,39913208,30,14,237,not valid frame,1,14878,352
0.12,9.06,9.06,2.71,9.03,0,39913208,30,0,237,not valid frame,1,14878,352
0.12,9.98,9.45,2.74,9.07,0,39913208,30,14,237,not valid frame,1,14878,352
0.13,8.85,9.58,2.79,9.15,0,39913208,30,14,237,not valid frame,1,14878,352
0.14,8.91,8.78,2.57,9.8,0,39913208,30,0,237,not valid frame,1,14878,352
0.15,8.97,8.93,2.65,9.41,0,39913112,30,14,237,not valid frame,1,14878,352
0.16,8.84,8.95,2.69,8.43,0,39913016,30,14,237,not valid frame,1,14878,352
0.17,8.97,8.78,2.61,8.97,0,39912920,30,0,237,not valid frame,1,14878,352
0.18,8.72,8.94,2.83,8.8,0,39912824,30,14,237,not valid frame,1,14878,352
0.19,8.89,8.74,2.68,9.09,0,39912728,30,14,237,not valid frame,1,14878,352
0.2,9.75,8.88,2.64,8.59,0,39912728,30,14,237,not valid frame,1,14878,352
0.21,8.8,9.81,2.7,8.97,0,39912728,30,14,237,not valid frame,1,14878,352
0.22,8.77,8.74,2.65,9.64,0,39912728,30,0,237,not valid frame,1,14878,352
0.22,8.92,8.83,2.72,9.01,0,39912728,30,0,237,not valid frame,1,14878,352
0.23,8.81,8.92,2.64,8.44,0,39912728,30,0,237,not valid frame,1,14878,352
0.24,8.86,8.78,2.68,9.14,0,39912728,30,0,237,not valid frame,1,14878,353
0.25,8.86,8.89,2.75,9.19,0,39912728,30,14,237,not valid frame,1,14878,352
0.26,8.97,8.89,2.65,8.3,0,39912728,30,14,237,not valid frame,1,14878,352
0.27,8.86,8.93,2.71,9.49,0,39912728,30,14,237,not valid frame,1,14878,352
0.28,8.8,8.91,2.67,8.35,0,39912728,30,14,237,not valid frame,1,14878,352
0.29,8.92,8.76,2.69,9.18,0,39912728,30,0,237,not valid frame,1,14878,352
0.29,8.73,8.85,2.64,8.58,0,39912728,30,14,237,not valid frame,1,14878,352
0.3,8.94,8.76,2.59,8.83,0,39912728,30,0,237,not valid frame,1,14878,352
0.31,8.8,8.98,2.65,8.9,0,39912728,30,14,237,not valid frame,1,14878,352
0.32,8.94,8.8,2.66,8.75,0,39912728,30,14,237,not valid frame,1,14878,352
0.33,8.75,8.96,2.71,8.93,0,39912728,30,14,237,not valid frame,1,14878,352
0.34,9.02,8.82,2.65,8.93,0,39912728,30,14,237,not valid frame,1,14878,352
0.35,8.83,8.92,2.69,8.73,0,39912728,30,0,237,not valid frame,1,14878,352
0.36,8.66,8.8,2.53,9.24,0,39912728,30,14,237,not valid frame,1,14878,352
0.37,8.7,8.71,2.64,8.52,0,39912536,30,0,237,not valid frame,1,14878,352
0.37,8.62,8.63,2.58,8.84,0,39912344,30,0,237,not valid frame,1,14878,352
0.38,8.65,8.64,2.53,8.55,0,39912152,30,0,237,not valid frame,1,14878,352
0.39,8.76,8.63,2.52,8.73,0,39911960,30,0,237,not valid frame,1,14878,352
0.4,8.78,8.84,2.56,9.19,0,39911768,30,14,237,not valid frame,1,14878,352
0.41,9.12,8.73,2.52,8.08,0,352,30,14,237,not valid frame,1,14878,30162
0.42,8.79,9.22,2.58,9.45,0,352,30,14,237,not valid frame,1,14878,30162
0.43,8.92,8.74,2.48,8.44,0,352,30,0,237,not valid frame,1,14878,30162
0.44,8.77,8.79,2.6,9.11,0,352,30,14,237,not valid frame,1,14878,30162
0.44,8.87,8.94,2.57,8.75,0,352,30,0,237,not valid frame,1,14878,30162
0.45,8.8,8.77,2.6,8.81,0,352,30,0,237,not valid frame,1,14878,30162
0.46,8.89,8.78,2.54,8.8,0,352,30,14,237,not valid frame,1,14878,30162
0.47,10.66,9.07,2.57,8.8,0,352,30,0,237,not valid frame,1,14878,30162
0.48,8.82,10.53,2.5,8.85,0,352,30,14,237,not valid frame,1,14878,30162
