Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),Context,,,,,,,,
25,10.68,10.69,5.6,10.67,0,,,,,,,,
50,10.97,10.97,5.93,11.02,0,,,,,,,,
75,11.24,11.25,6.26,11.34,0,,,,,,,,
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),Context,DrawPrimitiveCalls,MeshDrawCalls,LastRendered,LightsInScene,ShadowedLight,UnshadowedLight,StaticMeshTriangles,Triangles
0,8.33,6.2,5.19,10.51,0,not valid frame,not valid frame,197,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.01,8.33,5.95,5.17,7.12,0,not valid frame,not valid frame,195,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.02,8.33,5.65,5.3,8.37,0,not valid frame,not valid frame,196,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.03,8.33,5.6,5.18,8.15,0,56289252,881,196,299,not valid frame,1,37935,2802224
0.03,8.33,6.13,5.19,8.96,0,56289252,927,194,299,not valid frame,1,37935,2808368
0.04,10.95,6.31,5.19,8.96,0,56289252,919,195,299,not valid frame,1,37935,2809392
0.05,10.18,10.98,6.7,8.71,0,56289252,894,194,299,not valid frame,1,37935,2812464
0.06,10.14,10.13,6.06,10.35,0,56289252,842,0,299,not valid frame,1,37935,1224
0.07,10.37,10.19,6.02,10.22,0,56289252,836,0,299,not valid frame,1,37935,1226
0.08,10.5,10.47,6.11,10.22,0,56289252,880,0,299,not valid frame,1,37935,1259
0.09,10.44,10.39,5.85,10.37,0,56289252,876,187,299,not valid frame,1,37935,1261
0.1,10.82,10.46,6.25,10.42,0,56289252,874,184,299,not valid frame,1,37935,1259
0.12,10.4,10.82,6.19,10.28,0,56289252,871,0,299,not valid frame,1,37935,1254
0.13,10.23,10.25,5.94,11.09,0,56289252,864,0,299,not valid frame,1,37935,1245
0.14,10.29,10.31,5.88,10.18,0,56289252,908,183,299,not valid frame,1,37935,1289
0.15,10.17,10.23,6.06,10.42,0,56289252,908,183,299,not valid frame,1,37935,1289
0.16,10.1,10.1,6.05,10.13,0,56289252,908,0,299,not valid frame,1,37935,2812464
0.17,10.2,10.16,6.06,10.06,0,56289252,908,182,299,not valid frame,1,37935,2812976
0.18,10.42,10.29,5.95,10.23,0,56289252,908,0,299,not valid frame,1,37935,1294
0.19,10.4,10.46,5.9,10.32,0,56289252,902,179,299,not valid frame,1,37935,1286
0.2,10.44,10.4,5.89,10.39,0,56289252,902,0,299,not valid frame,1,37935,1288
0.21,10.33,10.38,5.97,10.49,0,56289252,895,174,299,not valid frame,1,37935,1281
0.22,11.08,10.64,5.97,10.31,0,56289252,873,0,299,not valid frame,1,37935,1258
0.23,10.5,10.76,6.14,10.61,0,56289252,873,0,299,not valid frame,1,37935,1258
0.24,10.93,10.49,5.64,10.65,0,56289252,897,170,299,not valid frame,1,37935,1294
0.25,10.79,11.19,5.91,10.58,0,56289252,783,164,299,not valid frame,1,37935,1171
0.26,10.76,10.95,5.75,11.15,0,56289252,850,0,299,not valid frame,1,58787,1251
0.27,10.63,10.52,5.49,10.94,0,56289252,670,0,299,not valid frame,1,37935,1039
0.28,10.35,10.52,5.3,10.51,0,56289252,670,122,299,not valid frame,1,37935,1039
0.29,12.68,10.91,5.24,10.8,0,56289252,549,0,299,not valid frame,1,17083,914
0.31,10.49,12.14,4.97,10.57,0,56289252,549,98,299,not valid frame,1,17083,914
0.32,10.71,10.76,4.97,12.23,0,56289204,555,0,299,not valid frame,1,17083,916
0.33,10.45,10.5,5.17,11.16,0,56289156,562,0,299,not valid frame,1,17083,919
0.34,10.35,10.37,5.1,9.97,0,56289108,550,86,299,not valid frame,1,17083,907
0.35,10.41,10.37,5.13,10.62,0,56289060,542,0,299,not valid frame,1,17083,896
0.36,10.42,10.41,5.14,10.79,0,56289012,538,80,299,not valid frame,1,17083,891
0.37,10.25,10.36,4.95,9.97,0,56289012,520,78,299,not valid frame,1,17083,874
0.38,10.62,10.39,4.9,10.36,0,56289012,455,0,299,not valid frame,1,17083,806
0.39,10.45,10.52,4.97,10.29,0,56288916,457,77,299,not valid frame,1,17083,808
0.4,11.14,11.12,4.87,10.48,0,56288820,454,0,299,not valid frame,1,17083,804
0.41,10.3,10.43,4.87,10.91,0,56288820,454,73,299,not valid frame,1,17083,804
0.42,10.5,10.39,4.81,10.61,0,56288628,433,0,299,not valid frame,1,17083,780
0.43,10.59,10.59,4.95,10.35,0,56288532,433,71,299,not valid frame,1,48361,793
0.44,10.97,10.71,4.86,10.93,0,56288532,419,68,299,not valid frame,1,27509,772
0.45,10.44,10.73,4.71,10.18,0,56288532,368,0,299,not valid frame,1,37935,724
0.46,10.6,10.47,4.68,11.01,0,56288532,370,67,299,not valid frame,1,17083,720
0.47,10.85,10.73,4.71,10.81,0,56288532,370,0,299,not valid frame,1,17083,720
0.49,10.54,10.76,4.67,10.12,0,56288532,371,0,299,not valid frame,1,27509,724
0.5,10.65,10.66,4.57,11.01,0,56288532,371,65,299,not valid frame,1,27509,725
0.51,10.62,10.63,4.49,10.53,0,56288532,323,66,299,not valid frame,1,27509,678
0.52,11.11,10.46,4.68,10.74,0,56288532,322,0,299,not valid frame,1,17083,676
0.53,10.72,11.14,4.65,10.62,0,56288532,323,0,299,not valid frame,1,17083,676
0.54,10.77,10.62,4.5,10.84,0,56288532,323,0,299,not valid frame,1,17083,676
0.55,10.68,10.82,4.73,10.78,0,56288532,323,65,299,not valid frame,1,17083,676
0.56,10.59,10.79,4.59,10.89,0,56288532,319,0,299,not valid frame,1,17083,672
0.57,10.46,10.48,4.5,10.58,0,56288532,319,65,299,not valid frame,1,17083,672
0.58,10.37,10.39,4.61,10.57,0,56288532,319,0,299,not valid frame,1,17083,673
0.59,10.44,10.39,4.61,11.15,0,56288532,319,0,299,not valid frame,1,17083,672
0.6,10.48,10.53,4.53,9.59,0,56288532,319,0,299,not valid frame,1,17083,672
0.61,11.4,10.39,4.57,10.57,0,56288532,319,0,299,not valid frame,1,17083,672
0.62,10.48,11.42,4.5,10.68,0,56288532,319,65,299,not valid frame,1,17083,673
0.63,10.44,10.54,4.7,11.26,0,56288532,315,0,299,not valid frame,1,17083,668
0.65,10.38,10.35,4.48,10.52,0,56288532,315,64,299,not valid frame,1,17083,669
0.66,10.5,10.37,4.48,10.2,0,56288532,315,64,299,not valid frame,1,17083,670
0.67,10.74,10.82,4.58,10.47,0,56288532,310,64,299,not valid frame,1,17083,663
0.68,10.44,10.44,4.59,11.14,0,56288532,310,0,299,not valid frame,1,17083,663
0.69,10.39,10.44,4.47,10.21,0,56288532,310,64,299,not valid frame,1,17083,663
0.7,10.6,10.49,4.47,10.37,0,56288532,310,0,299,not valid frame,1,17083,663
0.71,10.49,10.49,4.62,10.78,0,56288532,310,64,299,not valid frame,1,17083,664
0.72,10.81,10.46,4.45,10.19,0,56288532,308,64,299,not valid frame,1,17083,661
0.73,11.07,11.53,4.37,10.56,0,56288532,308,0,299,not valid frame,1,17083,662
0.74,10.3,10.33,4.54,11.14,0,56288532,308,0,299,not valid frame,1,17083,662
0.75,10.79,10.35,4.65,10.85,0,56288532,308,64,299,not valid frame,1,17083,661
0.76,10.6,10.92,4.45,10.22,0,56288532,308,0,299,not valid frame,1,17083,661
0.77,10.45,10.5,4.39,10.76,0,56288532,308,64,299,not valid frame,1,17083,661
0.78,10.48,10.47,4.62,10.57,0,56288532,308,65,299,not valid frame,1,17083,660
0.79,10.62,10.61,4.64,10.88,0,56288532,308,65,299,not valid frame,1,17083,660
0.8,11.54,10.63,4.67,9.98,0,56288532,356,0,299,not valid frame,1,17083,708
0.82,10.22,11.36,5.37,10.69,0,56288532,356,63,299,not valid frame,1,17083,708
0.83,12.63,10.89,4.95,12.06,0,56288532,350,63,299,not valid frame,1,17083,2751952
0.84,10.27,11.99,5.85,10.12,0,56288532,350,67,299,not valid frame,1,17083,2751952
0.85,10.43,10.27,4.64,12.17,0,56288532,353,69,299,not valid frame,1,17083,706
0.86,10.69,10.61,4.66,10.92,0,56288532,369,71,299,not valid frame,1,17083,721
0.87,10.5,10.63,4.67,9.74,0,56288532,378,79,299,not valid frame,1,17083,730
0.88,10.37,10.39,4.88,10.81,0,56288532,380,83,299,not valid frame,1,17083,733
0.89,11.4,11.36,4.81,10.47,0,56288532,412,93,299,not valid frame,1,17083,766
0.9,10.44,10.44,4.91,11.22,0,56288532,421,0,299,not valid frame,1,17083,773
0.91,10.5,10.44,5.2,10.56,0,56288532,490,123,299,not valid frame,1,17083,2747984
0.92,10.65,10.6,5.2,10.4,0,56288532,546,129,299,not valid frame,1,17083,2748624
0.93,13.27,11.35,5.27,10.46,0,56288532,562,134,299,not valid frame,1,17083,918
0.95,10.67,12.4,5.25,11.46,0,56288532,554,137,299,not valid frame,1,17083,912
0.96,10.5,10.83,5.48,12.46,0,56288532,554,0,299,not valid frame,1,17083,912
0.97,10.38,10.39,5.2,10.66,0,56288532,659,140,299,not valid frame,1,17083,2749264
0.98,10.45,10.4,5.3,10.5,0,56288532,621,138,299,not valid frame,1,17083,981
0.99,10.61,10.5,5.35,10.4,0,56288532,617,0,299,not valid frame,1,17083,2749904
1,10.71,10.7,5.24,10.54,0,56288532,601,0,299,not valid frame,1,17083,964
1.01,10.42,10.42,5.19,11.15,0,56288532,585,0,299,not valid frame,1,17083,945
1.02,10.21,10.44,5.21,9.94,0,56288532,585,0,299,not valid frame,1,17083,945
1.03,10.53,10.34,5.01,10.49,0,56288532,562,112,299,not valid frame,1,17083,924
1.04,10.35,10.44,5.32,10.82,0,56288532,546,0,299,not valid frame,1,17083,907
1.05,10.19,10.3,5.07,9.91,0,56288532,546,102,299,not valid frame,1,17083,907
1.06,10.47,10.3,4.95,10.39,0,56288532,536,100,299,not valid frame,1,17083,898
1.07,10.29,10.37,5.05,10.16,0,56288532,525,99,299,not valid frame,1,17083,884
1.08,11.62,10.35,5.03,10.57,0,56288532,518,0,299,not valid frame,1,17083,877
1.09,10.55,11.59,6.09,10.75,0,56288532,514,0,299,not valid frame,1,17083,873
1.1,10.42,10.54,4.95,11.07,0,56288532,507,94,299,not valid frame,1,17083,867
1.11,10.4,10.4,5.04,10.62,0,56288532,499,0,299,not valid frame,1,17083,857
1.13,10.72,10.44,5.06,10.98,0,56288532,499,93,299,not valid frame,1,17083,856
1.14,10.38,10.6,4.95,9.64,0,56288532,499,0,299,not valid frame,1,17083,858
1.15,11.09,10.37,5.05,10.91,0,56288532,495,91,299,not valid frame,1,17083,853
1.16,10.42,11.24,5.18,10.3,0,56288532,493,90,299,not valid frame,1,17083,2751568
1.17,10.3,10.32,4.97,11.21,0,56288532,490,0,299,not valid frame,1,17083,850
1.18,10.36,10.29,5.01,10.36,0,56288532,488,0,299,not valid frame,1,17083,848
1.19,10.43,10.48,4.89,10.29,0,56288532,486,0,299,not valid frame,1,17083,845
1.2,10.47,10.38,4.9,10.21,0,56288532,484,86,299,not valid frame,1,17083,845
1.21,10.41,10.45,4.88,11.15,0,56288532,478,86,299,not valid frame,1,17083,836
1.22,10.35,10.39,4.92,9.87,0,56288532,478,86,299,not valid frame,1,17083,837
1.23,10.33,10.37,5.05,10.49,0,56288532,478,85,299,not valid frame,1,17083,836
1.24,10.33,10.27,4.92,10.77,0,56288340,478,0,299,not valid frame,1,17083,837
1.25,10.43,10.46,4.96,9.75,0,56288148,475,0,299,not valid frame,1,17083,835
1.26,10.44,10.53,5.12,10.47,0,56287956,466,87,299,not valid frame,1,17083,824
1.27,10.3,10.29,4.92,10.44,0,56287764,469,0,299,not valid frame,1,17083,827
1.28,11.28,10.87,5.13,10.46,0,56287572,472,0,299,not valid frame,1,17083,831
1.29,10.49,10.82,5.16,11.01,0,56287572,490,117,299,not valid frame,1,17083,848
1.3,10.23,10.35,5.22,10.46,0,56287572,490,0,299,not valid frame,1,17083,848
1.31,10.57,10.36,5.52,10.64,0,56287572,689,189,299,not valid frame,1,17083,2760144
1.32,10.37,10.56,6.19,10.55,0,56287572,689,210,299,not valid frame,1,17083,2760144
1.34,13.12,10.9,6.21,10.3,0,56287572,880,0,299,not valid frame,1,37935,2794544
1.35,10.48,12.53,6.96,11.06,0,56287572,1209,0,299,not valid frame,1,100491,2821392
1.36,10.65,10.64,6.8,12.59,0,56287572,1209,263,299,not valid frame,1,100491,2821392
1.37,10.64,10.63,6.73,10.67,0,56287572,1095,0,299,not valid frame,1,37935,2833552
1.38,10.63,10.62,6.79,10.4,0,56287764,1254,0,299,not valid frame,1,58787,2837360
1.39,10.67,10.68,7.02,11.06,0,56287956,1198,0,299,not valid frame,1,58787,2845168
1.4,10.61,10.62,7.02,10.33,0,56288148,1212,0,299,not valid frame,1,58787,2849232
1.41,10.59,10.62,7.07,10.92,0,56288340,1207,266,299,not valid frame,1,58787,2851088
1.42,10.49,10.53,7.18,10.55,0,56288532,1336,0,299,not valid frame,1,37935,2854096
1.43,13.42,11.14,7,10.19,0,56288532,1143,0,299,not valid frame,1,37935,2854992
1.45,10.39,12.63,6.57,11.34,0,56288532,1143,239,299,not valid frame,1,37935,2854992
1.46,10.9,10.65,6.57,12.6,0,56288532,1114,0,299,not valid frame,1,37935,1509
1.47,10.81,10.85,6.72,10.73,0,56288532,1099,216,299,not valid frame,1,37935,1500
1.48,10.74,10.87,6.41,10.75,0,56288532,1116,211,299,not valid frame,1,37935,1535
1.49,10.84,10.82,6.39,10.86,0,56288532,1025,210,299,not valid frame,1,37935,1420
1.5,10.78,10.77,6.36,10.91,0,56288532,1060,0,299,not valid frame,1,37935,1468
1.51,10.68,10.67,6.28,10.73,0,56288532,1058,206,299,not valid frame,1,37935,1465
1.52,10.69,10.69,6.31,10.67,0,56288532,1051,206,299,not valid frame,1,37935,1457
1.53,10.75,10.62,6.47,10.53,0,56288532,992,203,299,not valid frame,1,37935,1385
1.54,10.57,10.69,6.27,10.49,0,56288532,1101,0,299,not valid frame,1,37935,1526
1.55,10.61,10.67,6.24,10.92,0,56288532,971,0,299,not valid frame,1,37935,1369
1.56,10.5,10.51,6.05,10.63,0,56288532,988,0,299,not valid frame,1,37935,1397
1.57,11.01,10.71,6.12,10.6,0,56288532,912,0,299,not valid frame,1,17083,1307
1.59,10.63,10.85,6.28,10.56,0,56288724,953,186,299,not valid frame,1,23341,1363
1.6,10.9,10.7,6.01,10.93,0,56288820,895,181,299,not valid frame,1,23341,1290
1.61,10.67,10.69,6.14,10.61,0,56288820,895,177,299,not valid frame,1,23341,1290
1.62,10.65,10.92,5.95,10.49,0,56288820,935,176,299,not valid frame,1,23341,1342
1.63,10.73,10.55,5.87,11.06,0,56288820,862,169,299,not valid frame,1,23341,1256
1.64,10.31,10.58,6.09,10.6,0,56288820,862,0,299,not valid frame,1,23341,1256
1.65,11.01,10.75,6.07,10.52,0,56288820,959,159,299,not valid frame,1,23341,1398
1.66,10.33,10.6,6.28,10.84,0,56288820,959,160,299,not valid frame,1,23341,1398
1.67,10.67,10.47,6.29,10.59,0,56288820,964,0,299,not valid frame,1,23341,1399
1.68,10.38,10.56,6.25,10.55,0,56288820,964,0,299,not valid frame,1,23341,1399
1.69,10.93,10.51,6.1,10.45,0,56288820,835,167,299,not valid frame,1,23341,1225
1.7,10.51,10.88,6.38,10.58,0,56288820,929,0,299,not valid frame,1,23341,1350
1.71,10.89,10.47,6.1,10.81,0,56288820,902,169,299,not valid frame,1,23341,1313
1.72,11.16,11.08,6.06,10.78,0,56288820,851,0,299,not valid frame,1,23341,1244
1.74,10.73,11.15,5.85,10.75,0,56288820,851,0,299,not valid frame,1,23341,1245
1.75,11.06,10.71,6.12,11.21,0,56288820,861,0,299,not valid frame,1,23341,1256
1.76,10.83,11.2,6.14,10.66,0,56288820,864,184,299,not valid frame,1,23341,1259
1.77,10.81,10.67,6.17,11.1,0,56288820,894,0,299,not valid frame,1,23341,1292
