Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),Context,,,,,,,,
25,9.67,9.66,2.76,9.58,0,,,,,,,,
50,10.02,10.02,2.97,10.05,0,,,,,,,,
75,10.47,10.47,3.32,10.57,0,,,,,,,,
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),Context,DrawPrimitiveCalls,MeshDrawCalls,LastRendered,LightsInScene,ShadowedLight,UnshadowedLight,StaticMeshTriangles,Triangles
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.02,8.33,4.69,1.61,8.29,0,245,72,0,201,not valid frame,not valid frame,184434,186373
0.03,8.34,4.59,1.62,8.6,0,243,72,0,201,not valid frame,not valid frame,184434,186349
0.04,11.53,4.5,1.62,8.6,0,244,72,46,201,not valid frame,not valid frame,184434,186361
0.05,10.51,11.65,7.5,8.34,0,245,72,46,201,not valid frame,not valid frame,184434,186373
0.06,12.48,10.68,7.88,19.28,0,361,72,45,201,not valid frame,not valid frame,184434,198603
0.08,11.59,12.59,3.2,11.78,0,361,72,0,201,not valid frame,not valid frame,184434,198603
0.09,11,11.68,2.83,4.22,0,360,71,0,201,not valid frame,not valid frame,184434,198601
0.1,9.63,10.94,3.23,13.68,0,364,72,46,201,not valid frame,not valid frame,184434,198697
0.11,9.05,9.71,3.04,10.36,0,362,71,46,201,not valid frame,not valid frame,184434,198681
0.12,8.47,8.78,2.82,10.17,0,361,70,46,201,not valid frame,not valid frame,184434,198667
0.13,8.33,8.26,2.27,9.04,0,361,69,0,201,not valid frame,not valid frame,184434,198679
0.13,10.12,8.17,2.23,7.95,0,362,69,46,201,not valid frame,not valid frame,184434,198679
0.14,8.82,10.36,2.52,7.87,0,364,69,0,201,not valid frame,not valid frame,184434,198703
0.15,10.12,8.57,2.3,10.32,0,362,69,0,201,not valid frame,not valid frame,184434,198679
0.16,11.49,10.27,2.23,9.36,0,358,68,0,201,not valid frame,not valid frame,184434,198653
0.17,8.87,11.35,2.36,9.88,0,360,69,46,201,not valid frame,not valid frame,184434,198667
0.18,8.33,8.88,2.21,11.41,0,362,69,0,201,not valid frame,not valid frame,184434,198691
0.19,8.33,8.3,2.25,8.48,0,362,69,0,201,not valid frame,not valid frame,184434,198691
0.2,8.33,8.21,2.4,8.51,0,364,69,0,201,not valid frame,not valid frame,184434,198715
0.21,8.48,8.32,2.34,8.13,0,364,69,46,201,not valid frame,not valid frame,184434,198715
0.22,8.63,8.45,2.6,8.49,0,359,69,45,201,not valid frame,not valid frame,184434,198667
0.23,8.43,8.66,2.26,8.29,0,360,69,46,201,not valid frame,not valid frame,184434,198679
0.23,8.36,8.45,2.34,8.68,0,362,68,0,201,not valid frame,not valid frame,184434,198713
0.24,8.33,8.29,2.24,8.43,0,363,69,0,201,not valid frame,not valid frame,184434,198715
0.25,8.45,8.29,2.25,8.49,0,361,69,46,201,not valid frame,not valid frame,184434,198679
0.26,8.33,8.48,2.21,8.01,0,362,69,0,201,not valid frame,not valid frame,184434,198703
0.27,8.33,8.3,2.23,8.62,0,361,69,0,201,not valid frame,not valid frame,184434,198691
0.28,8.33,8.22,2.24,8.27,0,361,69,0,201,not valid frame,not valid frame,184434,198691
0.28,8.5,8.36,2.18,8.47,0,361,69,0,201,not valid frame,not valid frame,184434,198691
0.29,8.33,8.53,2.21,8.36,0,360,69,0,201,not valid frame,not valid frame,184434,198679
0.3,8.33,8.32,2.24,8.36,0,359,68,0,201,not valid frame,not valid frame,184434,198677
0.31,8.33,8.24,2.25,8.35,0,359,68,0,201,not valid frame,not valid frame,184434,198677
0.32,8.33,8.17,2.2,8.35,0,361,68,0,201,not valid frame,not valid frame,184434,198701
0.33,8.33,8.3,2.24,8.27,0,359,68,0,201,not valid frame,not valid frame,184434,198677
0.33,8.59,8.3,2.15,8.47,0,360,68,46,201,not valid frame,not valid frame,184434,198689
0.34,8.67,8.64,2.31,7.97,0,360,68,46,201,not valid frame,not valid frame,184434,198689
0.35,8.75,8.73,2.39,8.89,0,360,68,0,201,not valid frame,not valid frame,184434,198689
0.36,8.44,8.67,2.33,8.71,0,361,68,46,201,not valid frame,not valid frame,184434,198701
0.37,8.45,8.43,2.31,8.92,0,357,67,0,201,not valid frame,not valid frame,184434,198663
0.38,8.73,8.61,2.3,8.11,0,358,68,46,201,not valid frame,not valid frame,184434,198669
0.39,9.9,8.63,2.27,8.68,0,358,68,46,201,not valid frame,not valid frame,184434,198669
0.4,8.52,9.85,2.22,9.15,0,358,68,46,201,not valid frame,not valid frame,184434,198669
0.4,10.23,8.88,2.74,9.48,0,364,68,46,201,not valid frame,not valid frame,184434,198743
0.41,8.99,10.05,2.78,9.31,0,358,68,0,201,not valid frame,not valid frame,184434,198671
0.42,8.81,8.81,2.41,9.71,0,362,68,0,201,not valid frame,not valid frame,184434,198721
0.43,8.73,8.86,2.24,8.77,0,358,68,0,201,not valid frame,not valid frame,184434,198673
0.44,8.48,8.81,2.25,8.67,0,359,68,0,201,not valid frame,not valid frame,184434,198685
0.45,8.78,8.38,2.35,9.08,0,361,68,0,201,not valid frame,not valid frame,184434,198711
0.46,8.58,8.83,2.21,8.13,0,361,68,0,201,not valid frame,not valid frame,184434,198711
0.47,8.93,8.54,2.23,8.75,0,361,68,0,201,not valid frame,not valid frame,184434,198711
0.48,8.45,8.96,2.24,8.57,0,364,68,46,201,not valid frame,not valid frame,184434,198747
0.48,8.54,8.53,2.3,9.12,0,361,67,0,201,not valid frame,not valid frame,184434,198721
0.49,8.73,8.59,2.42,8.41,0,357,67,0,201,not valid frame,not valid frame,184434,198673
0.5,8.64,8.7,2.21,8.46,0,357,67,46,201,not valid frame,not valid frame,184434,198673
0.51,8.56,8.5,2.28,8.65,0,356,67,0,201,not valid frame,not valid frame,184434,198661
0.52,8.47,8.58,2.25,8.8,0,670192,71,0,201,not valid frame,not valid frame,185090,363
0.53,8.57,8.51,2.25,8.55,0,355,64,0,201,not valid frame,not valid frame,184430,198679
0.54,8.68,8.63,2.31,8.38,0,671216,69,47,201,not valid frame,not valid frame,185086,362
0.54,8.66,8.55,2.23,8.89,0,671984,69,0,201,not valid frame,not valid frame,185086,364
0.55,8.42,8.69,2.2,8.33,0,365,69,0,201,not valid frame,not valid frame,185086,199427
0.56,8.39,8.43,2.22,9.25,0,360,69,0,201,not valid frame,not valid frame,185086,199367
0.57,8.43,8.44,2.29,8.04,0,362,69,0,201,not valid frame,not valid frame,185086,199391
0.58,8.38,8.35,2.27,8.78,0,359,69,47,201,not valid frame,not valid frame,185086,199355
0.59,8.84,8.57,2.25,7.77,0,361,69,0,201,not valid frame,not valid frame,185086,199379
0.6,8.9,8.83,3.59,9.08,0,360,69,47,201,not valid frame,not valid frame,185086,199369
0.6,9.05,9.08,2.23,8.95,0,362,69,46,201,not valid frame,not valid frame,185086,199379
0.61,8.68,8.77,2.26,8.6,0,361,69,46,201,not valid frame,not valid frame,185086,199367
0.62,8.69,8.72,2.29,8.63,0,360,67,0,201,not valid frame,not valid frame,185082,199387
0.63,8.71,8.66,2.28,8.7,0,360,67,46,201,not valid frame,not valid frame,185082,199387
0.64,8.88,8.79,2.34,8.66,0,358,67,0,201,not valid frame,not valid frame,185082,199363
0.65,8.52,8.86,2.25,8.93,0,360,67,0,201,not valid frame,not valid frame,185082,199387
0.66,9.29,8.44,2.27,8.73,0,359,67,46,201,not valid frame,not valid frame,185082,199375
0.67,8.52,9.36,2.16,8.48,0,359,67,0,201,not valid frame,not valid frame,185082,199375
0.68,8.35,8.39,2.22,9.19,0,364,69,0,201,not valid frame,not valid frame,185086,199415
0.68,8.47,8.37,2.18,8.65,0,361,67,46,201,not valid frame,not valid frame,185082,199411
0.69,8.37,8.48,2.31,8.35,0,360,67,46,201,not valid frame,not valid frame,185082,199399
