Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),Context,,,,,,,,
25,9.79,9.77,5.02,9.67,0,,,,,,,,
50,9.94,9.91,5.63,9.95,0,,,,,,,,
75,10.09,10.06,6.27,10.25,0,,,,,,,,
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),Context,DrawPrimitiveCalls,MeshDrawCalls,LastRendered,LightsInScene,ShadowedLight,UnshadowedLight,StaticMeshTriangles,Triangles
0,8.33,5.55,4.97,9.49,0,not valid frame,not valid frame,0,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.01,8.33,5.08,4.98,7.91,0,not valid frame,not valid frame,156,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.02,8.33,5.02,5.1,8.43,0,not valid frame,not valid frame,156,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.03,8.33,4.89,4.98,8.29,0,1201,933,156,6,1,1,60687,584512
0.03,9.34,5.39,4.98,8.29,0,1285,997,156,6,1,1,60687,593166
0.04,9.79,9.59,5.8,8.76,0,1322,933,0,6,1,1,60687,597432
0.05,9.39,9.43,6.13,9.68,0,1322,933,156,6,1,1,60687,597432
0.06,9.58,9.48,5.79,9.18,0,1429,997,156,6,1,1,60687,606374
0.07,9.58,9.53,5.91,9.56,0,1386,965,0,6,1,1,60687,621710
0.08,9.49,9.43,5.76,9.56,0,1428,995,0,6,1,1,60687,606452
0.09,9.61,9.56,5.58,9.53,0,1383,967,156,6,1,1,60687,599294
0.1,9.41,9.52,5.74,9.8,0,1339,933,156,6,1,1,60687,599190
0.11,9.49,9.42,5.61,9.1,0,1350,936,0,6,1,1,60687,599370
0.12,9.38,9.43,5.84,9.73,0,1350,936,156,6,1,1,60687,599370
0.13,9.57,9.43,5.76,9.47,0,1388,966,156,6,1,1,60687,597946
0.14,9.59,9.48,5.89,9.63,0,1388,966,0,6,1,1,60687,605130
0.15,9.46,9.54,5.8,9.44,0,1420,998,156,6,1,1,60687,622206
0.16,9.52,9.47,5.65,9.57,0,1389,968,156,6,1,1,60687,605110
0.17,9.52,9.46,5.63,9.19,0,1341,936,156,6,1,1,60687,597754
0.18,9.49,9.52,5.8,9.75,0,1342,936,156,6,1,1,60687,597768
0.19,9.58,9.51,5.79,9.7,0,1340,936,156,6,1,1,60687,597744
0.2,9.47,9.42,5.77,9.18,0,1340,936,156,6,1,1,60687,597744
0.2,10.03,9.42,5.7,9.68,0,1333,936,156,6,1,1,60687,597660
0.21,9.47,10.03,5.83,9.55,0,1396,968,156,6,1,1,60687,605196
0.22,9.66,9.47,5.71,10.03,0,1390,968,0,6,1,1,60687,622220
0.23,9.64,9.66,5.81,9.19,0,1342,936,156,6,1,1,60687,597768
0.24,9.57,9.62,5.66,9.83,0,1378,968,0,6,1,1,60687,604980
0.25,9.37,9.48,5.84,9.91,0,1342,938,0,6,1,1,60687,597752
0.26,9.93,9.69,5.66,9.41,0,1340,934,0,6,1,1,60687,597792
0.27,9.72,9.84,5.92,9.46,0,1340,934,156,6,1,1,60687,597792
0.28,9.53,9.41,5.77,9.88,0,1382,964,0,6,1,1,60687,597924
0.29,9.55,9.44,5.82,9.55,0,1428,996,156,6,1,1,60687,605168
0.3,9.52,9.51,6.06,9.63,0,1377,964,156,6,1,1,60687,622152
0.31,9.9,9.54,5.78,9.47,0,1440,996,0,6,1,1,60687,605312
0.32,9.55,9.79,5.93,9.89,0,1339,934,157,6,1,1,60687,597788
0.33,9.51,9.58,5.76,9.3,0,5338352,965,0,6,1,1,60687,1385
0.34,9.63,9.49,5.79,9.78,0,5340016,966,157,6,1,1,60687,1388
0.35,9.63,9.57,6.53,9.76,0,1340,937,0,6,1,1,60687,598858
0.36,9.45,9.54,6.1,9.57,0,1340,937,157,6,1,1,60687,598858
0.37,9.47,9.43,5.65,9.81,0,1389,969,157,6,1,1,60687,606226
0.38,9.55,9.51,5.61,8.83,0,1342,937,0,6,1,1,60687,598884
0.39,9.55,9.5,5.64,9.78,0,1337,935,157,6,1,1,60687,598856
0.4,9.51,9.54,5.73,9.64,0,1382,967,0,6,1,1,60687,606176
0.41,9.53,9.49,5.58,9.11,0,1394,966,0,6,1,1,60687,602152
0.42,10.32,10.2,5.71,9.61,0,5340656,966,0,6,1,1,60687,1388
0.43,9.36,9.49,5.63,10.27,0,5340656,966,0,6,1,1,60687,1388
0.44,9.51,9.42,5.82,9.75,0,1326,935,0,6,1,1,60687,598724
0.45,9.57,9.54,5.76,9.37,0,1481,1029,0,6,1,1,60687,630772
0.45,9.61,9.54,6.11,9.63,0,1382,965,0,6,1,1,60687,599012
0.46,9.53,9.55,5.59,9.61,0,1579,1101,157,6,1,1,60687,795824
0.47,9.56,9.53,5.51,9.4,0,1342,937,157,6,1,1,60687,598880
0.48,9.54,9.55,5.83,9.82,0,1338,935,157,6,1,1,60687,598864
0.49,9.73,9.55,5.71,9.56,0,1349,939,157,6,1,1,60687,599052
0.5,9.5,9.57,5.9,9.28,0,1349,939,0,6,1,1,60687,599052
0.51,9.58,9.53,5.73,9.72,0,1345,939,0,6,1,1,60687,599004
0.52,9.73,9.71,5.64,9.61,0,1393,971,157,6,1,1,60687,606360
0.53,9.96,9.9,5.57,9.36,0,1331,939,157,6,1,1,60687,598836
0.54,9.61,9.58,5.84,10.25,0,1347,939,0,6,1,1,60687,599028
0.55,9.7,9.56,5.99,9.8,0,1386,969,157,6,1,1,60687,606308
0.56,9.45,9.63,5.64,9.53,0,1385,968,157,6,1,1,60687,602032
0.57,11.11,9.47,5.72,9.7,0,5341168,968,0,6,1,1,60687,1385
0.58,9.68,11.17,5.73,9.17,0,1342,939,0,6,1,1,60687,598874
0.59,9.47,9.49,5.69,11.39,0,1342,939,0,6,1,1,60687,598874
0.6,9.5,9.46,5.85,9.6,0,1398,971,0,6,1,1,60687,606338
0.61,9.66,9.56,5.63,8.99,0,1344,939,157,6,1,1,60687,598898
0.62,9.59,9.49,5.97,10.03,0,1343,939,0,6,1,1,60687,598874
0.63,9.85,9.81,5.76,9.53,0,1380,971,0,6,1,1,60687,623748
0.64,9.57,9.69,5.67,9.92,0,1347,939,157,6,1,1,60687,598922
0.65,9.46,9.53,5.55,9.3,0,1387,971,157,6,1,1,60687,623832
0.66,11.18,9.46,5.79,9.83,0,1388,969,0,6,1,1,60687,599042
0.67,9.34,11.06,5.78,9.53,0,1388,969,157,6,1,1,60687,599042
0.68,10.84,9.46,5.51,11.05,0,1338,935,0,6,1,1,60687,598878
0.69,10.34,10.87,5.95,9.33,0,1488,1031,0,6,1,1,60687,624204
0.7,9.51,10.12,5.79,10.83,0,1488,1031,0,6,1,1,60687,624204
0.71,9.59,9.52,5.75,10.25,0,1350,939,0,6,1,1,60687,600466
0.72,9.6,9.62,5.75,9.77,0,1383,971,157,6,1,1,60687,600426
0.73,9.6,9.55,5.62,9.61,0,1335,941,157,6,1,1,60687,600266
0.74,9.61,9.54,5.64,9.28,0,1350,941,0,6,1,1,60687,600446
0.75,9.49,9.59,5.55,9.72,0,1341,941,157,6,1,1,60687,600338
0.76,9.47,9.5,5.54,9.73,0,1342,941,0,6,1,1,60687,600350
0.77,10.48,9.62,5.62,9.25,0,1336,939,0,6,1,1,60687,600300
0.78,9.78,10.55,5.66,9.94,0,1336,939,157,6,1,1,60687,600300
0.79,9.7,9.47,5.86,10.25,0,1347,939,157,6,1,1,60687,600432
0.8,9.5,9.72,5.74,9.42,0,5344496,967,0,6,1,1,60687,1390
0.81,9.51,9.44,5.96,9.92,0,1399,971,157,6,1,1,60687,620682
0.82,9.56,9.56,6.09,9.43,0,5351152,967,157,6,1,1,60687,1372
0.83,9.53,9.51,5.65,9.77,0,1534,1075,0,6,1,1,60687,792696
0.83,9.98,9.89,5.84,9.38,0,1348,941,157,6,1,1,60687,600412
0.84,9.68,9.69,5.95,10.13,0,1390,973,157,6,1,1,60687,621518
0.85,9.7,9.6,5.8,9.4,0,1347,941,0,6,1,1,60687,600398
0.86,9.43,9.57,6.48,9.88,0,1347,941,157,6,1,1,60687,600398
0.87,9.5,9.43,5.53,9.63,0,1630,1144,0,6,1,1,60687,881772
0.88,9.95,9.86,5.7,9.02,0,1350,941,0,6,1,1,60687,600434
0.89,9.91,9.9,5.79,10.18,0,1346,941,0,6,1,1,60687,600386
0.9,9.55,9.53,5.99,10.36,0,1356,941,0,6,1,1,60687,600506
0.91,9.49,9.56,5.56,8.82,0,1376,973,157,6,1,1,60687,621350
0.92,10.22,9.99,5.59,9.68,0,1339,941,0,6,1,1,60687,600302
0.93,9.66,9.81,5.46,10.29,0,1351,941,157,6,1,1,60687,600446
